,Company,Gross Direct Premium ,Inward Reinsurance_x000D_,Outward Reinsurance ,Net Premium Written,UPR B/F, Unexpired Risk Reserve (B/F) ,UPR C/F_x000D_, Unexpired Risk Reserve (B/F) .1,Net Earned Premium Income,Incurred Claims,Net Commisions,Expense of Management ,Underwriting Profit /(Loss),Investment Income,Profit transferred to P&L,years
20,KENINDIA ASSURANCE COMPANY ,2407913.0,62843.0,869376.0,1601380.0,519173.0,0.0,485764.0,63821.0,1570968.0,1303900.0,63102.0,585898.0,-381931.0,424807.0,42876.0,2020
21,KENYA ORIENT INSURANCE,1435684.0,8576.0,314743.0,1129516.0,373280.0,11655.0,507463.0,0.0,1006988.0,488498.0,87721.0,461733.0,-30965.0,0.0,-30965.0,2020
22,MADISON GENERAL INSURANCE COMPANY,4222652.0,6045.0,415928.0,3812769.0,1615301.0,0.0,1694969.0,0.0,3733101.0,2561003.0,393981.0,944818.0,-166701.0,207108.0,40407.0,2020
23,MAYFAIR INSURANCE COMPANY,3122336.0,178081.0,1632218.0,1668199.0,669536.0,302.0,645332.0,5628.0,1687077.0,1056547.0,19378.0,418047.0,193106.0,0.0,193106.0,2020
24,METROPOLITAN CANNON GENERAL ,1125926.0,4903.0,150925.0,979904.0,281395.0,55181.0,392624.0,74250.0,849606.0,487091.0,72685.0,400514.0,-110684.0,0.0,-110684.0,2020
25,MUA INSURANCE COMPANY,818572.0,9574.0,365051.0,463094.0,257590.0,0.0,244902.0,16703.0,459079.0,231602.0,35005.0,460740.0,-268268.0,72508.0,-195760.0,2020
26,OCCIDENTAL INSURANCE COMPANY ,2808131.0,3955.0,714294.0,2097792.0,714784.0,0.0,760728.0,0.0,2051848.0,1567913.0,214342.0,582235.0,-312642.0,248380.0,-64262.0,2020
27,PACIS INSURANCE COMPANY,1445893.0,0.0,262649.0,1183244.0,475946.0,0.0,555451.0,0.0,1103738.0,556109.0,105933.0,469115.0,-27418.0,67955.0,40537.0,2020
28,PIONEER GENERAL INSURANCE COMPANY,867508.0,16308.0,203119.0,680697.0,292928.0,0.0,263391.0,0.0,710234.0,419223.0,73057.0,259625.0,-41670.0,0.0,-41670.0,2020
29,RESOLUTION INSURANCE COMPANY,4287042.0,0.0,2577231.0,1709811.0,987298.0,92245.0,745180.0,92089.0,1952085.0,1234893.0,-537357.0,1214217.0,40332.0,175142.0,215474.0,2020
30,SAHAM INSURANCE COMPANY ,2016949.0,18662.0,974263.0,1061348.0,487025.0,77041.0,535190.0,50382.0,1039841.0,622723.0,6827.0,462815.0,-52524.0,130773.0,78249.0,2020
31,SANLAM INSURANE COMPANY,4066095.0,0.0,1694336.0,2371759.0,915582.0,0.0,1240582.0,0.0,2046759.0,1167648.0,102624.0,774677.0,1810.0,184891.0,186701.0,2020
32,TAKAFUL INSURANCE OF AFRICA,796594.0,0.0,348695.0,447899.0,608155.0,0.0,381557.0,0.0,674497.0,208909.0,64856.0,377091.0,23640.0,0.0,23640.0,2020
33,TAUSI ASSURANCE COMPANY,1171708.0,8498.0,384414.0,795792.0,235006.0,0.0,223802.0,0.0,806997.0,238903.0,76520.0,329448.0,162125.0,0.0,162125.0,2020
34,THE KENYAN ALLIANCE INSURANCE ,2136880.0,0.0,698964.0,1437917.0,816690.0,0.0,942807.0,0.0,1311800.0,617579.0,29057.0,775038.0,-109875.0,187912.0,78037.0,2020
35,THE MONARCH INSURANCE ,1444444.0,51917.0,123136.0,1373224.0,565536.0,0.0,579646.0,0.0,1359113.0,744395.0,117803.0,477956.0,18960.0,0.0,18960.0,2020
36,TRIDENT INSURANCE COMPANY ,705287.0,525.0,43592.0,662220.0,358666.0,0.0,347704.0,0.0,673183.0,154403.0,66826.0,374232.0,77721.0,0.0,77721.0,2020
37,UAP INSURANCE COMPANY,10442123.0,163220.0,1387743.0,9217600.0,3048338.0,67176.0,3357825.0,43365.0,8931923.0,5817527.0,805903.0,2234600.0,73892.0,593824.0,667716.0,2020
38,XPLICO INSURANCE COMPANY,1074558.0,0.0,33516.0,1041042.0,338030.0,0.0,241630.0,0.0,1137442.0,856920.0,117973.0,455462.0,-292913.0,18755.0,-274159.0,2020
39,TOTAL,131057473.0,1640267.0,40171652.0,92526084.0,36108613.0,744555.0,37111044.0,648631.0,91619580.0,58311446.0,5364008.0,29791851.0,-1847726.0,7111331.0,5263606.0,2020
40,REINSURERS,,,,,,,,,,,,,,,,2020
41,CONTINENTAL REINSURANCE,0.0,3485512.0,751790.0,2733723.0,698613.0,0.0,801341.0,0.0,2630995.0,1365193.0,713976.0,318401.0,233424.0,200078.0,433503.0,2020
42,EAST AFRICAN REINSURANCE ,0.0,2866323.0,214575.0,2651748.0,1312551.0,0.0,1129088.0,0.0,2835210.0,1663636.0,831708.0,297246.0,42620.0,0.0,42620.0,2020
43,GHANA REINSURANCE COMPANY,0.0,1095268.0,114204.0,981064.0,125928.0,0.0,186679.0,0.0,920313.0,341014.0,322984.0,152902.0,103412.0,95478.0,198890.0,2020
44,KENYA REINSURANCE CORPORATION,0.0,15197744.0,552394.0,14645350.0,5409247.0,0.0,2592440.0,0.0,17462157.0,11714822.0,4291108.0,1591589.0,-135363.0,2698292.0,2562929.0,2020
45,WAICA REINSURANCE KENYA LIMITED,0.0,721245.0,186114.0,535131.0,101024.0,0.0,229681.0,0.0,406474.0,50270.0,113129.0,211113.0,31962.0,0.0,31962.0,2020
46,TOTAL,0.0,23366092.0,1819077.0,21547016.0,7647363.0,0.0,4939229.0,0.0,24255149.0,15134935.0,6272905.0,2571251.0,276055.0,2993848.0,3269904.0,2020
47,Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2020
0,INSURERS,,,,,,,,,,,,,,,,2019
1,AAR INSURANCE KENYA,5861920.0,0.0,2942083.0,2919837.0,1708428.0,0.0,1494294.0,0.0,3133971.0,1682818.0,-136087.0,1086493.0,500746.0,256112.0,756858.0,2019
2,AFRICAN MERCHANT ASSURANCE ,1474182.0,0.0,324446.0,1149736.0,544621.0,0.0,354162.0,0.0,1340195.0,735126.0,21932.0,776475.0,-193338.0,117121.0,-76217.0,2019
3,AIG INSURANCE COMPANY,3530310.0,87961.0,2693826.0,924444.0,300424.0,0.0,302832.0,0.0,922037.0,482551.0,-524606.0,965719.0,-1627.0,0.0,-1627.0,2019
4,ALLIANZ INSURANCE COMPANY,910744.0,0.0,451649.0,459094.0,115285.0,0.0,170252.0,0.0,404127.0,219121.0,53113.0,280335.0,-148442.0,85527.0,-62915.0,2019
5,APA INSURANCE COMPANY,9337232.0,0.0,2602205.0,6735027.0,2480032.0,54795.0,2399996.0,86910.0,6782949.0,4748195.0,490020.0,1534654.0,10079.0,0.0,10079.0,2019
6,BRITAM GENERAL INSURANCE,8208739.0,0.0,1761706.0,6447032.0,2207159.0,77413.0,2235883.0,95319.0,6400402.0,4298563.0,629402.0,2627371.0,-1154934.0,848587.0,-306347.0,2019
7,CIC GENERAL INSURANCE COMPANY,10536834.0,117259.0,1595268.0,9058825.0,3526159.0,0.0,3584470.0,0.0,9000514.0,6472105.0,944713.0,2041898.0,-458201.0,797823.0,339622.0,2019
8,CORPORATE INSURANCE COMPANY,490739.0,128574.0,67253.0,552060.0,114641.0,0.0,332281.0,0.0,334419.0,231250.0,55396.0,238031.0,-190257.0,102438.0,-87820.0,2019
9,DIRECTLINE ASSURANCE COMPANY,3353253.0,0.0,106820.0,3246433.0,591651.0,0.0,647510.0,0.0,3190575.0,2288487.0,326928.0,830066.0,-254907.0,88187.0,-166720.0,2019
10,FIDELITY SHIELD INSURANCE  ,2406861.0,2299.0,674882.0,1734277.0,666914.0,0.0,595854.0,0.0,1805337.0,1315619.0,153692.0,395081.0,-59056.0,0.0,-59056.0,2019
11,FIRST ASSURANCE COMPANY,3596967.0,75402.0,1487947.0,2184422.0,785598.0,49209.0,765608.0,35846.0,2217774.0,1282134.0,123876.0,829286.0,-17522.0,0.0,-17522.0,2019
12,GA INSURANCE COMPANY,6520029.0,85831.0,3214637.0,3391223.0,1242800.0,0.0,1419347.0,0.0,3214676.0,1760933.0,76574.0,897888.0,479280.0,768574.0,1247854.0,2019
13,GEMINIA INSURANCE COMPANY ,4871078.0,311998.0,815227.0,4367849.0,1786374.0,0.0,1813474.0,0.0,4340749.0,2646818.0,315707.0,1245928.0,132296.0,274236.0,406532.0,2019
14,HERITAGE INSURANCE COMPANY,5562586.0,71749.0,2014239.0,3620096.0,1305962.0,0.0,1519808.0,0.0,3406250.0,1475576.0,148259.0,1448123.0,334292.0,570455.0,904748.0,2019
15,ICEA LION GENERAL INSURANCE,5783450.0,72362.0,2736313.0,3119499.0,1027437.0,0.0,1305955.0,0.0,2840981.0,1255384.0,168026.0,1150900.0,266672.0,0.0,266672.0,2019
16,INTRA-AFRICA ASSURANCE ,1201248.0,15520.0,155016.0,1061753.0,431995.0,0.0,424575.0,0.0,1069173.0,585274.0,108732.0,296605.0,78561.0,110642.0,189203.0,2019
17,INVESCO ASSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
18,JUBILEE GENERAL INSURANCE,4293340.0,47788.0,1367095.0,2974033.0,1284629.0,71911.0,1390414.0,92402.0,2847757.0,2495998.0,197483.0,1196470.0,-1042195.0,294064.0,-748132.0,2019
19,JUBILEE HEALTH INSURANCE,7884054.0,69794.0,2377082.0,5576767.0,1624495.0,0.0,1940951.0,0.0,5260310.0,3701399.0,102825.0,943438.0,512648.0,492276.0,1004923.0,2019
20,KENINDIA ASSURANCE COMPANY ,2423362.0,45105.0,863711.0,1604756.0,661831.0,0.0,519173.0,0.0,1747415.0,1700192.0,100729.0,628013.0,-681519.0,422212.0,-259307.0,2019
21,KENYA ORIENT INSURANCE,1293472.0,9567.0,227250.0,1075788.0,430359.0,0.0,373280.0,11655.0,1121213.0,620603.0,91045.0,570903.0,-161338.0,0.0,-161338.0,2019
22,MADISON GENERAL INSURANCE COMPANY,4202334.0,9251.0,416038.0,3795548.0,1939329.0,0.0,1615301.0,0.0,4119576.0,3060141.0,365592.0,959326.0,-265483.0,272561.0,7078.0,2019
23,MAYFAIR INSURANCE COMPANY,2891392.0,125912.0,1262078.0,1755226.0,637351.0,0.0,669536.0,302.0,1722739.0,941177.0,60606.0,450931.0,270025.0,0.0,270025.0,2019
24,METROPOLITAN CANNON GENERAL ,884760.0,703.0,134018.0,751444.0,345863.0,48612.0,279742.0,56834.0,809344.0,537183.0,80800.0,334365.0,-143004.0,0.0,-143004.0,2019
25,MUA INSURANCE COMPANY,709649.0,86498.0,285644.0,510503.0,196786.0,0.0,257590.0,0.0,449698.0,196721.0,29137.0,294671.0,-70831.0,79204.0,8374.0,2019
26,OCCIDENTAL INSURANCE COMPANY ,2810253.0,0.0,725738.0,2084516.0,727140.0,0.0,717620.0,0.0,2094037.0,1327622.0,189528.0,557733.0,19153.0,328376.0,347529.0,2019
27,PACIS INSURANCE COMPANY,1480965.0,0.0,306772.0,1174193.0,408583.0,0.0,475946.0,0.0,1106830.0,779880.0,128831.0,530554.0,-332435.0,96326.0,-236109.0,2019
28,PIONEER GENERAL INSURANCE COMPANY,847497.0,12996.0,167064.0,693429.0,232320.0,0.0,292928.0,0.0,632821.0,358103.0,56177.0,238937.0,-20396.0,0.0,-20396.0,2019
29,RESOLUTION INSURANCE COMPANY,5357625.0,0.0,3092825.0,2264801.0,1315803.0,92089.0,983212.0,74417.0,2615064.0,1768199.0,45831.0,1125708.0,-324674.0,89560.0,-235114.0,2019
30,SAHAM INSURANCE COMPANY ,2195213.0,58801.0,1168543.0,1085471.0,503749.0,73358.0,487025.0,77041.0,1098513.0,639639.0,4276.0,482806.0,-28208.0,108291.0,80083.0,2019
31,SANLAM INSURANE COMPANY,2859045.0,0.0,909205.0,1949840.0,660832.0,0.0,915582.0,0.0,1695090.0,1026512.0,127832.0,632488.0,-91743.0,114785.0,23042.0,2019
32,TAKAFUL INSURANCE OF AFRICA,1272336.0,0.0,485501.0,786835.0,517700.0,0.0,608155.0,0.0,696380.0,366185.0,-34765.0,422547.0,-57587.0,0.0,-57587.0,2019
33,TAUSI ASSURANCE COMPANY,1191812.0,11808.0,363455.0,840165.0,235509.0,0.0,235006.0,0.0,840667.0,300104.0,90829.0,331337.0,118397.0,0.0,118397.0,2019
34,THE KENYAN ALLIANCE INSURANCE ,1634568.0,0.0,147226.0,1487342.0,581756.0,0.0,816690.0,0.0,1252409.0,461394.0,81179.0,771883.0,-62047.0,172459.0,110411.0,2019
35,THE MONARCH INSURANCE ,1265080.0,43917.0,76160.0,1232837.0,553284.0,0.0,565536.0,0.0,1220586.0,624233.0,105616.0,470034.0,20703.0,0.0,20703.0,2019
36,TRIDENT INSURANCE COMPANY ,653680.0,3829.0,48017.0,609492.0,238919.0,0.0,326160.0,0.0,522250.0,375858.0,46311.0,239289.0,-139208.0,0.0,-139208.0,2019
37,UAP INSURANCE COMPANY,9278624.0,93223.0,1212759.0,8159089.0,3139386.0,113713.0,3048338.0,67176.0,8296675.0,5548699.0,724512.0,1909644.0,113820.0,1213814.0,1327633.0,2019
38,XPLICO INSURANCE COMPANY,1440828.0,0.0,32127.0,1408701.0,191737.0,0.0,338030.0,0.0,1262408.0,651785.0,129799.0,603949.0,-123125.0,16347.0,-106778.0,2019
39,TOTAL,130516061.0,1588147.0,39311825.0,92792383.0,35262841.0,581100.0,36222516.0,597902.0,91815911.0,58961581.0,5679850.0,30339879.0,-3165405.0,7719977.0,4554569.0,2019
40,REINSURERS,,,,,,,,,,,,,,,,2019
41,CONTINENTAL REINSURANCE,0.0,2944837.0,317084.0,2627753.0,489823.0,0.0,698613.0,0.0,2418963.0,1065646.0,877208.0,332979.0,143130.0,94347.0,237477.0,2019
42,EAST AFRICAN REINSURANCE ,0.0,3382290.0,201697.0,3180593.0,1096998.0,0.0,1312551.0,0.0,2965040.0,1703641.0,817732.0,322972.0,120696.0,0.0,120696.0,2019
43,GHANA REINSURANCE COMPANY,0.0,604581.0,68994.0,535587.0,61706.0,0.0,125928.0,0.0,471365.0,186974.0,162584.0,103148.0,18660.0,79437.0,98097.0,2019
44,KENYA REINSURANCE CORPORATION,0.0,14332826.0,793553.0,13539273.0,4572660.0,0.0,5409247.0,0.0,12702685.0,9769489.0,3189774.0,2434852.0,-2691430.0,2818516.0,127086.0,2019
45,WAICA REINSURANCE KENYA LIMITED,0.0,341770.0,119811.0,221959.0,9667.0,0.0,101024.0,0.0,130603.0,18088.0,5537.0,159610.0,-52632.0,39760.0,-12873.0,2019
46,TOTAL,0.0,21606304.0,1501139.0,20105165.0,6230854.0,0.0,7647363.0,0.0,18688656.0,12743838.0,5052835.0,3353561.0,-2461576.0,3032060.0,570483.0,2019
47,Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2019
0,INSURERS,,,,,,,,,,,,,,,,2018
1,AAR INSURANCE KENYA,5608947.0,0.0,1269657.0,4339290.0,1676743.0,0.0,1708428.0,0.0,4307606.0,3304547.0,450217.0,1136949.0,-584107.0,249462.0,-334645.0,2018
2,AFRICAN MERCHANT ASSURANCE ,2173528.0,5734.0,569970.0,1609291.0,645412.0,0.0,544621.0,0.0,1710083.0,857095.0,46644.0,914259.0,-107915.0,147514.0,39599.0,2018
3,AIG INSURANCE COMPANY,3561401.0,73315.0,2792737.0,841978.0,295730.0,0.0,300424.0,0.0,837284.0,410688.0,-541599.0,714320.0,253875.0,0.0,253875.0,2018
4,ALLIANZ INSURANCE COMPANY,703858.0,0.0,424358.0,279499.0,85741.0,0.0,115285.0,0.0,249955.0,164284.0,47368.0,274328.0,-236025.0,45831.0,-190194.0,2018
5,APA INSURANCE COMPANY,9558670.0,0.0,2643274.0,6915395.0,2067579.0,50809.0,2480032.0,54795.0,6498956.0,4307013.0,504135.0,1677193.0,10615.0,0.0,10615.0,2018
6,BRITAM GENERAL INSURANCE,8048803.0,0.0,1554569.0,6494234.0,2397155.0,94336.0,2207159.0,77413.0,6701153.0,4037568.0,668811.0,2641012.0,-646238.0,606114.0,-40123.0,2018
7,CIC GENERAL INSURANCE COMPANY,10090041.0,120092.0,1259201.0,8950932.0,3712099.0,0.0,3526159.0,0.0,9136871.0,6023459.0,1147523.0,2004523.0,-38634.0,668703.0,630069.0,2018
8,CORPORATE INSURANCE COMPANY,233105.0,66054.0,29423.0,269737.0,107269.0,0.0,114641.0,0.0,262365.0,137483.0,46012.0,139065.0,-60195.0,39124.0,-21071.0,2018
9,DIRECTLINE ASSURANCE COMPANY,3002685.0,0.0,93780.0,2908905.0,693915.0,0.0,591651.0,0.0,3011169.0,1973201.0,318635.0,1025608.0,-306275.0,0.0,-306275.0,2018
10,FIDELITY SHIELD INSURANCE  ,2268608.0,5094.0,553961.0,1719741.0,686163.0,0.0,666914.0,0.0,1738990.0,1096218.0,163603.0,384550.0,94618.0,0.0,94618.0,2018
11,FIRST ASSURANCE COMPANY,3686957.0,102852.0,1607306.0,2182503.0,664752.0,27444.0,785598.0,53819.0,2035281.0,1496947.0,150836.0,909764.0,-522265.0,0.0,-522265.0,2018
12,GA INSURANCE COMPANY,5977062.0,65493.0,2969839.0,3072716.0,1157317.0,0.0,1242800.0,0.0,2987234.0,1758016.0,-8531.0,793914.0,443835.0,521559.0,965394.0,2018
13,GEMINIA INSURANCE COMPANY ,4305846.0,212196.0,654081.0,3863961.0,1310846.0,0.0,1786374.0,0.0,3388433.0,2075971.0,469237.0,721086.0,122140.0,268302.0,390442.0,2018
14,HERITAGE INSURANCE COMPANY,5366863.0,68777.0,2247852.0,3187789.0,1264377.0,0.0,1305962.0,0.0,3146204.0,1673685.0,87562.0,1366200.0,18757.0,537740.0,556497.0,2018
15,ICEA LION GENERAL INSURANCE,5565167.0,44111.0,2617442.0,2991836.0,1071633.0,0.0,1027437.0,0.0,3036033.0,1642077.0,185501.0,1085330.0,123125.0,0.0,123125.0,2018
16,INTRA-AFRICA ASSURANCE ,1209715.0,3973.0,178151.0,1035537.0,368795.0,0.0,431995.0,0.0,972337.0,527335.0,79550.0,348346.0,17107.0,19761.0,36868.0,2018
17,INVESCO ASSURANCE COMPANY ,1531029.0,0.0,49872.0,1481157.0,216827.0,0.0,150861.0,0.0,1547123.0,883511.0,159901.0,654980.0,-151268.0,0.0,-151268.0,2018
18,JUBILEE INSURANCE COMPANY,10961057.0,128452.0,3512241.0,7577268.0,2907014.0,0.0,2909123.0,0.0,7575159.0,4884210.0,224989.0,1789819.0,676141.0,777161.0,1453302.0,2018
19,KENINDIA ASSURANCE COMPANY ,2800230.0,54456.0,946814.0,1907872.0,679437.0,0.0,661831.0,0.0,1925478.0,1364837.0,127313.0,658003.0,-224675.0,479129.0,254454.0,2018
20,KENYA ORIENT INSURANCE,1433545.0,12969.0,205665.0,1240849.0,702279.0,0.0,430359.0,0.0,1512769.0,802242.0,141277.0,602969.0,-33719.0,0.0,-33719.0,2018
21,MADISON GENERAL INSURANCE COMPANY,4479093.0,1124.0,262636.0,4217581.0,1722429.0,0.0,1939329.0,0.0,4000681.0,3158270.0,375473.0,915661.0,-448724.0,279155.0,-169569.0,2018
22,MAYFAIR INSURANCE COMPANY,2918371.0,86221.0,1456922.0,1547671.0,495996.0,0.0,635705.0,1646.0,1406316.0,717853.0,-6704.0,421215.0,273952.0,0.0,273952.0,2018
23,METROPOLITAN CANNON GENERAL ,1017398.0,5790.0,213457.0,809731.0,418415.0,71008.0,345863.0,48612.0,904678.0,539013.0,72977.0,315536.0,-22848.0,0.0,-22848.0,2018
24,MUA INSURANCE COMPANY,658746.0,91449.0,342232.0,407962.0,122062.0,0.0,196786.0,0.0,333239.0,150925.0,17870.0,332512.0,-168068.0,70925.0,-97142.0,2018
25,OCCIDENTAL INSURANCE COMPANY ,2601370.0,990.0,640613.0,1961747.0,758729.0,0.0,727140.0,0.0,1993336.0,1224317.0,192924.0,548919.0,27176.0,357962.0,385138.0,2018
26,PACIS INSURANCE COMPANY,1307287.0,0.0,339223.0,968065.0,417039.0,0.0,408583.0,0.0,976521.0,403783.0,109361.0,445616.0,17762.0,85635.0,103397.0,2018
27,PIONEER GENERAL INSURANCE COMPANY,587719.0,4138.0,136018.0,455839.0,95990.0,0.0,232320.0,0.0,319509.0,199634.0,18747.0,176444.0,-75315.0,0.0,-75315.0,2018
28,RESOLUTION INSURANCE COMPANY,5701730.0,0.0,3001366.0,2700364.0,1304103.0,79414.0,1315803.0,92245.0,2675832.0,1916316.0,117365.0,1244578.0,-602426.0,98292.0,-504134.0,2018
29,SAHAM INSURANCE COMPANY ,2522958.0,9999.0,1426333.0,1106624.0,433802.0,55442.0,503749.0,73358.0,1018761.0,531496.0,-27366.0,522815.0,-8185.0,134712.0,126528.0,2018
30,SANLAM INSURANE COMPANY,2202961.0,0.0,599590.0,1603371.0,492768.0,0.0,660832.0,0.0,1435307.0,733139.0,83411.0,577829.0,40928.0,152692.0,193620.0,2018
31,TAKAFUL INSURANCE OF AFRICA,959848.0,0.0,381446.0,578402.0,474387.0,0.0,517700.0,0.0,535089.0,259242.0,16432.0,394807.0,-135392.0,0.0,-135392.0,2018
32,TAUSI ASSURANCE COMPANY,1145105.0,29072.0,356866.0,817311.0,219998.0,0.0,235509.0,0.0,801801.0,219125.0,80717.0,323503.0,178456.0,0.0,178456.0,2018
33,THE KENYAN ALLIANCE INSURANCE ,1250703.0,0.0,200894.0,1049808.0,564157.0,0.0,589397.0,0.0,1024568.0,539961.0,104373.0,776570.0,-396336.0,220289.0,-176046.0,2018
34,THE MONARCH INSURANCE ,1220931.0,36704.0,63491.0,1194143.0,476687.0,0.0,553284.0,0.0,1117546.0,567291.0,92854.0,447464.0,9937.0,0.0,9937.0,2018
35,TRIDENT INSURANCE COMPANY ,530158.0,7572.0,111961.0,425769.0,327057.0,0.0,238919.0,0.0,513908.0,361816.0,59252.0,274179.0,-181339.0,0.0,-181339.0,2018
36,UAP INSURANCE COMPANY,9150323.0,105024.0,1141024.0,8114323.0,3144164.0,135394.0,3139386.0,113713.0,8140782.0,5396151.0,711454.0,2042055.0,-8879.0,0.0,-8879.0,2018
37,XPLICO INSURANCE COMPANY,1169908.0,0.0,36517.0,1133391.0,171929.0,0.0,0.0,0.0,1305320.0,589284.0,111997.0,542496.0,61543.0,16970.0,78513.0,2018
38,TOTAL,127511726.0,1341651.0,36890782.0,91962592.0,34350795.0,513847.0,35227959.0,515601.0,91083677.0,56928003.0,6600121.0,30144417.0,-2588861.0,5777032.0,3188175.0,2018
39,REINSURERS,,,,,,,,,,,,,,,,2018
40,CONTINENTAL REINSURANCE,0.0,2221746.0,639112.0,1582634.0,415725.0,0.0,489823.0,0.0,1508536.0,700091.0,525535.0,246664.0,36246.0,95993.0,132239.0,2018
41,EAST AFRICAN REINSURANCE ,0.0,2884737.0,134418.0,2750319.0,871854.0,0.0,776062.0,0.0,2846112.0,1700764.0,739100.0,283609.0,122639.0,0.0,122639.0,2018
42,GHANA REINSURANCE COMPANY,0.0,438625.0,51010.0,387616.0,43619.0,0.0,61706.0,0.0,369528.0,188316.0,130972.0,110091.0,-59850.0,94793.0,34944.0,2018
43,KENYA REINSURANCE CORPORATION,0.0,12146618.0,698812.0,11447806.0,4781322.0,0.0,4572660.0,0.0,11656468.0,7674360.0,3119202.0,1457731.0,-594825.0,2955067.0,2360242.0,2018
44,TOTAL,0.0,17691726.0,1523352.0,16168375.0,6112520.0,0.0,5900251.0,0.0,16380644.0,10263531.0,4514809.0,2098095.0,-495790.0,3145853.0,2650064.0,2018
45,Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2018
