COMPANY,LIFE_FUND_BF,GROSS_PREMIUM,NET_PREMIUM,OTHER_(FEE)_INCOME,TOTAL_BENEFITS,CLAIMS,SURRENDERS,BONUSES_PAID,ANNUITIES_PAID,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,INVESTMENT_INCOME,INVESTMENT_EXPENSES,TRANSFER_TO_(FROM)_P_&_L,LIFE_FUND_CF,YEARS
KENINDIA ASSURANCE COMPANY,"21,944,132","3,947,010","3,910,842",-,"2,732,435","2,766,175",-,-,-,"133,474","349,475","2,810,421",-,"60,000","25,356,274",2016
KENYA ORIENT LIFE ASSURANCE,"283,345","290,023","228,250",-,"55,180","62,062",-,-,-,"(10,507)","137,096","49,723",-,-,"372,666",2016
LIBERTY LIFE ASSURANCE KENYA,"21,352,772","4,325,797","4,038,055",-,"4,574,231","4,665,361",-,-,-,"217,801","1,245,959","2,098,748",-,-,"21,360,453",2016
MADISON INSURANCE COMPANY,"7,538,505","2,381,168","2,348,363",-,"961,310",-,-,-,-,"189,742","664,634","1,017,207",-,-,"10,049,697",2016
METROPOLITAN LIFE ASSURANCE,"590,534","393,864","325,986",376,"127,537","147,076","21,787",-,-,"33,262","166,207","67,726",-,"(62,768)","679,058",2016
OLD MUTUAL ASSURANCE COMPANY,"9,540,667","2,038,363","1,837,236","422,497","2,289,399","563,616","1,716,029",-,"1,091","235,761","1,012,688","696,142","71,311","(1,658,201)","10,554,249",2016
PIONEER ASSURANCE COMPANY,"2,022,849","5,292,115","3,932,794",-,"3,140,126","3,388,244","37,669",-,-,"223,159","407,214","210,154",-,-,"2,109,509",2016
PRUDENTIAL LIFE ASSURANCE KENYA,"(384,520)","158,781","149,543","3,675","144,159","103,467","2,895",-,-,"46,972","317,424","29,832",416,-,"(672,642)",2016
SAHAM INSURANCE COMPANY,"968,806","250,594","195,161",-,"148,707","146,912","2,776",-,136,"4,834","74,657","123,940",-,-,"1,058,591",2016
SANLAM LIFE INSURANCE,"19,495,443","4,669,645","4,457,568","(159,342)","3,989,247","3,493,076","519,677",-,-,"530,863","809,330","2,703,424","216,058","629,942","20,298,148",2016
TAKAFUL INSURANCE OF AFRICA,-,"52,657","41,220",-,"1,987",-,-,-,-,-19,"14,115","16,232",-,-,"43,356",2016
THE KENYAN ALLIANCE INSURANCE,"1,257,821","812,718","710,984",-,"190,467","161,940",43,-,223,121,"102,536","161,708",-,"(8,305)","1,873,950",2016
THE MONARCH INSURANCE COMPANY,"37,927","43,695","30,598",-,"4,191","23,571",-,-,-,"4,922","49,814","31,919",-,-,"22,135",2016
UAP LIFE ASSURANCE COMPANY,"8,823,936","2,581,975","2,212,322",-,"1,708,590","690,926","955,686","1,086","146,524","67,842","559,618","859,825","34,087",-,"9,440,315",2016
TOTAL,"224,967,252","73,519,181","67,852,188","267,206","34,800,412","31,107,133","8,554,033","796,618","1,024,158","5,474,094","12,364,010","23,072,758","518,203","661,288","255,659,861",2016
REINSURERS,,,,,,,,,,,,,,,,2016
CONTINENTAL REINSURANCE,"65,660","111,477","94,755",-,"28,927","21,335",-,-,-,"17,349","14,198","48,355","1,319",-,"154,570",2016
EAST AFRICA REINSURANCE,-,"811,634","631,284","(43,277)","374,025","302,668",-,-,-,"168,502","72,345",-,-,-,"44,493",2016
KENYA REINSURANCE CORPORATION,"5,815,927","1,476,801","1,350,471",-,"632,886","632,886",-,-,-,"420,510","181,237","518,326",-,-,"6,450,091",2016
TOTAL,"5,881,587","2,399,912","2,076,510","(43,277)","1,035,838","956,889",-,-,-,"606,361","267,780","566,681","1,319",-,"6,649,154",2016
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2016
INSURERS,,,,,,,,,,,,,,,,2015
APA LIFE ASSURANCE COMPANY,2767369,1037048,696830,-,,164632,237906,-,57859,31627,212062,240901,14978,-,2986036,2015
BARCLAYS LIFE ASSURANCE,-,517844,504302,-,,57868,-,-,-,155907,111058,-,-,-,179468,2015
BRITISH AMERICAN INSURANCE,35479760,12159143,11874396,-,,2408481,1079624,1113267,-,1608519,2035616,1615057,113896,161574,40448240,2015
CANNON ASSURANCE COMPANY,1032757,138105,112393,-,,105764,-,-,-,4520,104802,48046,-,-23793,1001907,2015
CAPEX LIFE ASSURANCE COMPANY,79862,31055,27169,-,,3479,-,-,-,1360,46602,38662,-,-,94252,2015
CIC LIFE ASSURANCE COMPANY,970671,4248590,3576187,-,,1930822,-,-,-,246521,994252,539266,-,115000,1799531,2015
CORPORATE INSURANCE COMPANY,475359,267766,266883,-,,136504,2635,1325,-,77790,40842,86760,-,-,569906,2015
FIRST ASSURANCE COMPANY,287545,81246,23671,-,,31734,-,-,-,-16855,15515,26319,-,-,307139,2015
GA LIFE ASSURANCE LIMITED,1555512,721504,698382,-,,169618,-,-,-,-4650,42421,270782,-,-,2317289,2015
GEMINIA INSURANCE COMPANY,353240,92531,66512,-,,10623,174,80,-,4655,9844,58767,28505,-,424637,2015
ICEA LION LIFE ASSURANCE COMPANY,42272294,8243640,7946043,-,,4260166,-,-,539583,379013,971438,3610209,-,351999,47326347,2015
JUBILEE INSURANCE COMPANY,37163664,8979365,8684817,-,,899890,4001699,-,-,822488,793671,3333607,42900,647854,41973583,2015
KENINDIA ASSURANCE COMPANY,18146432,3283937,3260547,-,,1677341,-,-,-,137205,321181,2732880,-,60000,21944132,2015
KENYA ORIENT LIFE ASSURANCE,101566,513636,446131,-,,25710,-,-,-,29345,242109,32811,-,-,283345,2015
LIBERTY LIFE ASSURANCE KENYA,20800027,4682452,4398640,-,,3750327,-,-,-,236250,1297431,1536593,-,-,21451254,2015
MADISON INSURANCE COMPANY,5585583,2408803,2354990,-,,1014794,-,-,-,174108,527786,1314617,-,-,7538504,2015
METROPOLITAN LIFE ASSURANCE,524335,393518,230204,14386,,84969,18869,-,-,28471,162177,39385,-,-76713,590534,2015
OLD MUTUAL ASSURANCE COMPANY,10560314,2004537,1756126,400933,,593670,1412103,-,1575,236014,1166732,403169,78079,91704,9540667,2015
PAN AFRICA INSURANCE COMPANY,17095823,4903711,4636807,-,,2514953,52239,-,742493,716929,722333,1537460,72847,-,18448300,2015
PIONEER ASSURANCE COMPANY,1198258,4182235,2875515,-,,1471978,35499,-,89632,225152,351275,195612,-,73000,2022849,2015
PRUDENTIAL LIFE ASSURANCE KENYA,-153887,134633,132926,-,,94625,-,10851,-,32133,336019,110370,301,-,-384520,2015
SAHAM INSURANCE COMPANY,850136,297226,213011,-,,155611,1390,-,136,-65,63416,126147,-,-,968806,2015
TAKAFUL INSURANCE OF AFRICA,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,2015
THE KENYAN ALLIANCE INSURANCE,858949,562758,460728,-,,202165,-,-,-,-7844,103852,205848,-,30468,1196883,2015
THE MONARCH INSURANCE COMPANY,50334,22830,14481,-,,18820,-,-,-,2765,46798,36177,-,-,32609,2015
UAP LIFE ASSURANCE COMPANY,7834315,2156692,1823727,864375,,1132893,122058,85,148166,31385,559975,296079,-,-,8823936,2015
TOTAL,205890218,62064805,57081418,1279694,,22917437,6964196,1125608,1579444,5152743,11279207,18435524,351506,1431093,231885634,2015
REINSURERS,,,,,,,,,,,,,,,,2015
CONTINENTAL REINSURANCE,-,96134,81714,3242,,27177,37926,-,-,-,17448,7155,23014,1045,-,2015
EAST AFRICA REINSURANCE,259631,709516,566457,-,,151997,261696,-,-,-,136403,121454,113364,4965,48849,2015
KENYA REINSURANCE CORPORATION,5815927,1280417,1163602,-,,466199,466199,-,-,-,379287,201081,606854,-,-,2015
TOTAL,6075558,2086067,1811773,3242,,645373,765821,-,-,-,533138,329690,743232,6010,6292510,2015
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2015
INSURERS,,,,,,,,,,,,,,,,2014
APA LIFE ASSURANCE COMPANY,2250917,1024460,743907,-,,306776,76481,-,41793,5952,136764,325598,-,27081,2767368,2014
BRITISH AMERICAN INSURANCE,28888535,10113275,9843313,-,,1947023,58062,1043613,-,1393991,1727157,6291672,105338,1411254,36179762,2014
CANNON ASSURANCE COMPANY,828089,280698,130505,-,,103724,12001,-,4113,81016,100091,100653,-,-,1032757,2014
CAPEX LIFE ASSURANCE COMPANY,77349,21366,21366,-,,2840,-,-,-,926,50788,35700,-,-,79861,2014
CIC LIFE ASSURANCE COMPANY,830851,4102384,3872341,-,,2828215,3701,-,-,83106,1094127,482239,-,-,257611,2014
CORPORATE INSURANCE COMPANY,372487,240172,238490,-,,68919,9260,-,-,-331,292,583,-,-,475359,2014
FIRST ASSURANCE COMPANY,220748,132618,74736,-,,33971,-,-,-,-7079,7511,27159,-,-,287545,2014
GA LIFE ASSURANCE LIMITED,734298,746466,730146,-,,64781,-,-,-,-3057,13241,155246,-,100000,1555512,2014
GEMINIA INSURANCE COMPANY,-,77876,49778,-,,20180,-,17,-,1873,7938,48286,-,-,80996,2014
ICEA LION LIFE ASSURANCE COMPANY,36568600,6540652,6249289,-,,443025,-,-,493001,311189,713045,5132238,-,320000,42218117,2014
JUBILEE INSURANCE COMPANY,27435367,11057479,10750068,-,,2726980,1276167,-,-,612465,719572,4704639,34418,139646,37380826,2014
KENINDIA ASSURANCE COMPANY,15721337,2532797,2508840,-,,1842365,18152,-,-,116653,234064,2187489,-,60000,18146432,2014
KENYA ORIENT LIFE ASSURANCE,-,202317,173971,-,,-,-,-,-,8986,95955,18938,-,-,87968,2014
LIBERTY LIFE ASSURANCE KENYA,18514919,4395572,4281424,-,,2348591,354432,-,-,189845,1133473,2304937,-,-,21074939,2014
MADISON INSURANCE COMPANY,4773171,1453173,1412556,-,,434315,323032,-,-,147899,552308,857001,-,-,5596275,2014
METROPOLITAN LIFE ASSURANCE,380600,396534,300936,26942,,111754,-,-,-,38239,153993,55379,-,-106398,524335,2014
OLD MUTUAL ASSURANCE COMPANY,10170831,1645530,1428674,330638,,1941784,144946,-,1487,185386,969434,1645931,74337,-300128,10560314,2014
PAN AFRICA INSURANCE COMPANY,1923788,5569829,5314072,-,,2642240,-,-,-,723713,810332,2344591,7866,-,3794772,2014
PIONEER ASSURANCE COMPANY,573894,2700501,1740595,62621,,766138,-,-,27439,159246,310185,146392,-,56000,1198258,2014
PRUDENTIAL LIFE ASSURANCE KENYA,313350,153354,152774,-,,260431,-,-,-,20238,72232,10441,-,-,384095,2014
SAHAM INSURANCE COMPANY,754285,169253,166990,-,,117749,2042,-,-,11774,47020,102591,-,-,845278,2014
TAKAFUL INSURANCE OF AFRICA,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,2014
THE KENYAN ALLIANCE INSURANCE,629836,385456,234338,-,,59380,10823,-,-,-19314,39504,96420,-,11249,858949,2014
THE MONARCH INSURANCE COMPANY,60216,45586,19036,-,,18461,-,-,-,-2682,19233,59062,-,31396,71906,2014
UAP LIFE ASSURANCE COMPANY,5844017,2594032,2280772,14260,,699707,117291,-,-,65555,520522,1098342,-,-,7834315,2014
TOTAL,157867485,56581380,52718917,434461,,19789350,2406391,1043630,567833,4125589,9528781,28231527,221959,1750100,193293550,2014
REINSURERS,,,,,,,,,,,,,,,,2014
CONTINENTAL REINSURANCE,34889,77700,66045,-,,20747,-,-,-,12637,7067,32845,848,27851,64629,2014
EAST AFRICA REINSURANCE,205721,431706,341205,-,,172120,-,-,-,78389,58655,87695,4146,-,412737,2014
KENYA REINSURANCE CORPORATION,5190204,1109941,1014405,-,,409138,-,-,-,308565,180548,509568,-,-,5815927,2014
TOTAL,5430814,1619347,1421655,-,,602006,-,-,-,399591,246270,630108,4994,27851,6293293,2014
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2014
INSURERS,,,,,,,,,,,,,,,,2013
APA Life Assurance Company,1731684,733320.0,532892.0,-,70426.0,-104000.0,139277,-,35149,-7295.0,101506.0,373254.0,16036,28949,2253782.0,2013
British American Insurance,22707728,8027269.0,7668577.0,22825,2699857.0,1242129.0,582042,849304,26382,1102028.0,1330468.0,5982695.0,157461,1000000,28634283.0,2013
Cannon Assurance Company,742657,104398.0,97427.0,1180,67285.0,-16030.0,83315,-,-,10031.0,55390.0,299530.0,-,180000,744773.0,2013
Capex Life Assurance Company,78693,14778.0,14679.0,-,15181.0,15181.0,-,-,-,580.0,33511.0,33247.0,-,-,77347.0,2013
CFC Life Assurance Company,16473053,4140711.0,3932071.0,-,2661572.0,2661572.0,-,-,-,129173.0,952666.0,2044036.0,-,-15305,18721054.0,2013
CIC Life Assurance Company,-,3003131.0,2834661.0,-,1907000.0,1907000.0,-,-,-,176661.0,899253.0,586069.0,-,100000,337816.0,2013
Corporate Insurance Company,-,204805.0,202615.0,-,76383.0,76282.0,101,-,-,64334.0,34276.0,71879.0,-,-,99400.0,2013
First Assurance Company,220748,69624.0,6369.0,-,4396.0,4396.0,-,-,-,-5004.0,5695.0,32900.0,-,-,254930.0,2013
GA Life Assurance Company,-,727745.0,717857.0,-,1155.0,1155.0,-,-,-,-2290.0,4459.0,19403.0,-,-,733936.0,2013
Geminia Insurance Company,228505,55594.0,31457.0,-,9684.0,9547.0,137,-,-,1183.0,7038.0,43292.0,-,-,285212.0,2013
ICEA Lion Life Assurance,28744841,6455820.0,6221064.0,-,3058243.0,360549.0,2225509,-,472185,264059.0,539051.0,5651223.0,-,299999,33758082.0,2013
Jubilee Insurance Company,-,6816022.0,6461531.0,-,2700424.0,727557.0,1683077,-,289790,522792.0,609863.0,2534838.0,29359,-,3161064.0,2013
Kenindia Assurance Company,13570084,2118190.0,2073018.0,-,1706343.0,318565.0,1387778,-,-,91386.0,152205.0,2058169.0,-,30000,14333559.0,2013
Madison Insurance Company,3948660,1236073.0,1202488.0,-,808857.0,64289.0,704545,-,40023,138922.0,393566.0,963368.0,-,-,4028603.0,2013
Mercantile Insurance Company,659752,153524.0,147537.0,-,82200.0,82200.0,-,-,-,10613.0,37087.0,89289.0,-,12393,754285.0,2013
Metropolitan Insurance,335619,204328.0,160629.0,-8197,79209.0,57017.0,22192,-,-,13724.0,138641.0,37046.0,4266,-91341,358406.0,2013
Old Mutual Life As- surance,9134719,1441893.0,1253667.0,262027,1508785.0,388783.0,1117810,-,2192,146390.0,897785.0,1909004.0,86180,-250554,9050829.0,2013
Pan Africa Insurance Company,1923788,5570361.0,5348090.0,-,2076895.0,1894505.0,182390,-,-,668142.0,775404.0,2198881.0,6083,-,5761845.0,2013
Pioneer Assurance Company,491970,1018812.0,933179.0,12934,555296.0,255410.0,174849,99757,25280,125408.0,180923.0,67745.0,1074,35000,308241.0,2013
Shield Assurance Company,357356,124529.0,124074.0,-,118792.0,118792.0,-,-,-,17845.0,89341.0,25234.0,-,-,280686.0,2013
The Kenyan Alliance Insurance,492427,305443.0,152967.0,-,64011.0,64011.0,-,-,-,-21363.0,34015.0,71381.0,-,-,640112.0,2013
The Monarch Insurance,58211,41874.0,8057.0,-,7457.0,7457.0,-,-,-,-3442.0,17692.0,42641.0,-,26987,60215.0,2013
UAP Life Assurance Company,4214477,1856167.0,1568244.0,-,547140.0,516294.0,-,-,30846,-11713.0,347931.0,937083.0,-,-,5805600.0,2013
Total,106114972,44424411.0,41693150.0,290769,20826591.0,10652661.0,8303022,949061,921847,3432164.0,7637766.0,26072207.0,300459,1356128,130444060.0,2013
REINSURERS,,,,,,,,,,,,,,,,2013
Continental Reinsurance,-,67644.0,57497.0,-,22047.0,22047.0,-,-,-,11930.0,5720.0,18099.0,1009,-,34890.0,2013
East African Reinsurance,268920,335219.0,274441.0,-,152216.0,152216.0,-,-,-,57906.0,41772.0,78495.0,4390,89541,276031.0,2013
Kenya Reinsurance Corporation,4475662,1089859.0,995559.0,-,416692.0,416692.0,-,-,-,264607.0,200820.0,606953.0,-,-,5196055.0,2013
TOTAL,4744582,1492722.0,1327497.0,-,590955.0,590955.0,-,-,-,334443.0,248312.0,703547.0,5399,89541,5506976.0,2013
GRAND TOTAL,110859554,45917133.0,43020647.0,290769,21417546.0,11243616.0,8303022,949061,921847,3766607.0,7886078.0,26775754.0,305858,1445669,135951036.0,2013
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2013
