,Company,Life Fund BF,Gross Premium,Net Premium ,Other (Fee) Income,Total Benefits,Claims,Surrenders_x000D_,Bonuses Paid,Annuities Paid,Net Commisions,Expense of Management ,Investment Income,Investment Expenses,Transfer To (From) P & L,Life Fund CF
14,LIBERTY LIFE ASSURANCE COMPANY,22133047.0,5069693.0,4869163.0,0.0,4746438.0,4658607.0,0.0,0.0,0.0,300191.0,1177193.0,1435251.0,0.0,0.0,22301470.0
15,MADISON INSURANCE COMPANY,13786558.0,3971903.0,3887488.0,0.0,2453858.0,2453858.0,0.0,0.0,0.0,277445.0,764966.0,893106.0,0.0,0.0,15070883.0
16,METROPOLITAN CANNON INSURANCE ,1351338.0,336539.0,207475.0,-12646.0,148772.0,148772.0,59042.0,0.0,0.0,-13416.0,159283.0,110429.0,0.0,0.0,1302915.0
17,OLD MUTUAL LIFE ASSURANCE ,11837078.0,2211260.0,2021803.0,430927.0,2558238.0,932192.0,1616192.0,0.0,1123.0,280839.0,915759.0,-181176.0,52244.0,-777699.0,11087982.0
18,PIONEER ASSURANCE COMPANY ,3878481.0,4106018.0,3171719.0,0.0,2372874.0,2620438.0,50214.0,30599.0,26317.0,229652.0,526497.0,194550.0,0.0,-122257.0,3883290.0
19,PRUDENTIAL LIFE ASSURANCE,595539.0,775563.0,691069.0,30043.0,247191.0,240972.0,3879.0,224.0,0.0,102645.0,343948.0,108109.0,3792.0,0.0,729302.0
20,SAHAM ASSURANCE,375437.0,28832.0,27426.0,0.0,141069.0,136360.0,0.0,0.0,0.0,1938.0,20844.0,49668.0,0.0,0.0,293389.0
21,SANLAM LIFE INSURANCE,21812190.0,5910436.0,5501502.0,-203500.0,4014417.0,3127993.0,0.0,0.0,1130995.0,590341.0,1025672.0,2073906.0,0.0,649621.0,22659479.0
22,THE KENYAN ALLIANCE INSURANCE,2870862.0,959688.0,861255.0,0.0,687670.0,592115.0,0.0,0.0,115476.0,6849.0,142733.0,99900.0,0.0,0.0,2974846.0
23,THE MONARCH INSURANCE,49785.0,130733.0,69403.0,0.0,78908.0,90306.0,0.0,0.0,0.0,-3737.0,72801.0,35308.0,0.0,-54659.0,49785.0
24,UAP LIFE ASSURANCE COMPANY,11740796.0,1786005.0,1486148.0,0.0,1727456.0,1169698.0,290959.0,0.0,150207.0,79123.0,934055.0,790295.0,0.0,0.0,11393198.0
25,TOTAL,383676141.0,102078013.0,95326920.0,258432.0,65593740.0,41663647.0,20606322.0,2088082.0,3955718.0,5793085.0,14381760.0,34504426.0,416547.0,-1305074.0,426165838.0
26,REINSURERS,,,,,,,,,,,,,,,
27,CONTINENTAL REINSURANCE,0.0,161497.0,139719.0,0.0,114157.0,68878.0,0.0,0.0,0.0,35153.0,11930.0,81512.0,0.0,0.0,105271.0
28,EAST AFRICA REINSURANCE ,0.0,1137037.0,896879.0,158590.0,600113.0,666773.0,0.0,0.0,0.0,282019.0,62812.0,0.0,0.0,0.0,43866.0
29,KENYA REINSURANCE CORPORATION,8639593.0,1847058.0,1780716.0,0.0,1249822.0,1249822.0,0.0,0.0,0.0,506818.0,183871.0,1037369.0,0.0,0.0,9517167.0
30,TOTAL,8639593.0,3145592.0,2817314.0,158590.0,1964092.0,1985473.0,0.0,0.0,0.0,823990.0,258613.0,1118881.0,0.0,0.0,9666304.0
31,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,ABSA LIFE ASSURANCE KENYA ,-604758.0,2375712.0,1410018.0,0.0,387030.0,890294.0,0.0,0.0,0.0,224995.0,583965.0,357259.0,-8861.0,-786577.0,258704.0
2,APA LIFE ASSURANCE COMPANY ,4419570.0,1517723.0,1099656.0,0.0,694281.0,618032.0,0.0,0.0,59863.0,89980.0,239834.0,588745.0,25020.0,-32402.0,5107644.0
3,BRITAM LIFE INSURANCE COMPANY ,65796391.0,23941687.0,23687050.0,9700.0,10582054.0,6229228.0,1508299.0,1766709.0,787927.0,1457028.0,3509923.0,9741753.0,185720.0,3640221.0,80149838.0
4,CAPEX LIFE ASSURANCE COMPANY,411647.0,310511.0,280586.0,0.0,160469.0,73890.0,364.0,0.0,87930.0,680.0,150374.0,94459.0,0.0,0.0,473453.0
5,CIC LIFE ASSURANCE COMPANY,2711145.0,6072127.0,5103815.0,0.0,1905442.0,2887788.0,0.0,0.0,0.0,93306.0,1538407.0,603983.0,0.0,0.0,3899442.0
6,CORPORATE INSURANCE COMPANY,637871.0,294319.0,289727.0,0.0,228762.0,273764.0,0.0,0.0,0.0,59959.0,102395.0,122617.0,0.0,0.0,614099.0
7,FIRST ASSURANCE COMPANY ,410500.0,93236.0,9989.0,0.0,-14845.0,13760.0,0.0,0.0,0.0,-13426.0,8434.0,15951.0,0.0,0.0,427673.0
8,GA LIFE ASSURANCE COMPANY ,7508555.0,2924019.0,2889559.0,0.0,614450.0,614250.0,0.0,0.0,0.0,5933.0,71812.0,1153562.0,0.0,67294.0,10792388.0
9,GEMINIA INSURANCE COMPANY,1025019.0,996557.0,514954.0,0.0,765876.0,448671.0,0.0,0.0,0.0,-17621.0,163331.0,131513.0,8962.0,0.0,1068143.0
10,ICEA LION LIFE ASSURANCE ,68491250.0,13040900.0,12757319.0,0.0,8029632.0,1040061.0,5818385.0,0.0,1183684.0,607578.0,1296270.0,10729598.0,0.0,560000.0,81472188.0
11,JUBILEE INSURANCE COMPANY ,64303942.0,14133786.0,13539892.0,0.0,8902324.0,8279319.0,589048.0,0.0,0.0,892327.0,1091479.0,8905659.0,21722.0,1250594.0,74625001.0
12,KENINDIA ASSURANCE COMPANY,32823515.0,5612172.0,5578736.0,0.0,3471423.0,3525766.0,0.0,0.0,0.0,153657.0,447855.0,4213665.0,0.0,281709.0,38206932.0
13,KENYA ORIENT LIFE ASSURANCE,816874.0,697941.0,663873.0,0.0,159021.0,163488.0,1020.0,0.0,57383.0,35280.0,247916.0,31366.0,0.0,0.0,1007027.0
14,KUSCCO MUTUAL ASSURANCE LIMITED,0.0,449632.0,323604.0,0.0,14563.0,210916.0,0.0,0.0,0.0,5754.0,105045.0,10242.0,0.0,0.0,12131.0
15,LIBERTY LIFE ASSURANCE COMPANY,21084157.0,5064690.0,4859618.0,0.0,4772325.0,4639513.0,0.0,0.0,0.0,364349.0,1244067.0,2926062.0,0.0,0.0,22621908.0
16,MADISON INSURANCE COMPANY,12118569.0,3683018.0,3598310.0,0.0,1716373.0,1597883.0,0.0,0.0,0.0,296215.0,805355.0,887619.0,0.0,0.0,13905046.0
17,METROPOLITAN CANNON INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,OLD MUTUAL LIFE ASSURANCE ,11001928.0,2163140.0,1970732.0,445952.0,2311521.0,1102258.0,1168267.0,0.0,816.0,333420.0,786782.0,1799548.0,51652.0,-62110.0,11837078.0
19,PIONEER ASSURANCE COMPANY ,3933729.0,5479485.0,3658547.0,0.0,3489737.0,3107796.0,0.0,0.0,0.0,-73007.0,536517.0,0.0,0.0,142488.0,3878481.0
20,PRUDENTIAL LIFE ASSURANCE,565417.0,638775.0,582676.0,32119.0,206595.0,188410.0,3342.0,376.0,0.0,161436.0,320793.0,95006.0,5323.0,0.0,595539.0
21,SAHAM ASSURANCE,879089.0,58235.0,50404.0,0.0,600887.0,600887.0,0.0,0.0,0.0,2381.0,32466.0,101902.0,0.0,20225.0,375437.0
22,SANLAM LIFE INSURANCE,21086048.0,4579718.0,4143881.0,0.0,4348893.0,3337041.0,0.0,0.0,1044334.0,541683.0,1284859.0,2790178.0,0.0,0.0,21812190.0
23,TAKAFUL INSURANCE OF AFRICA,0.0,8560.0,3523.0,0.0,0.0,4511.0,0.0,0.0,0.0,4931.0,32870.0,18326.0,0.0,0.0,-20463.0
24,THE KENYAN ALLIANCE INSURANCE,2569525.0,788631.0,700719.0,0.0,433612.0,446045.0,0.0,0.0,0.0,4154.0,109084.0,126662.0,0.0,-27774.0,2865395.0
25,THE MONARCH INSURANCE,53780.0,71307.0,44746.0,0.0,55687.0,12584.0,0.0,0.0,0.0,2959.0,60655.0,32201.0,0.0,0.0,54529.0
26,UAP LIFE ASSURANCE COMPANY,10206616.0,2399629.0,2103965.0,88199.0,1714772.0,1239780.0,154519.0,0.0,144821.0,43761.0,591840.0,1516737.0,0.0,0.0,11740796.0
27,TOTAL,332250379.0,97395510.0,89865899.0,575970.0,55550884.0,41545935.0,9243244.0,1767085.0,3366758.0,5277712.0,15362328.0,46994613.0,289538.0,5053668.0,387780599.0
28,REINSURERS,,,,,,,,,,,,,,,
29,CONTINENTAL REINSURANCE,0.0,468193.0,377445.0,0.0,82138.0,162611.0,0.0,0.0,0.0,112325.0,42454.0,54554.0,0.0,0.0,114608.0
30,EAST AFRICA REINSURANCE ,0.0,1282676.0,1073066.0,-260.0,578746.0,581444.0,0.0,0.0,0.0,277621.0,98676.0,0.0,0.0,0.0,115066.0
31,KENYA REINSURANCE CORPORATION,7541877.0,2040656.0,1942254.0,0.0,897972.0,897972.0,0.0,0.0,0.0,569620.0,240060.0,863114.0,0.0,0.0,8639593.0
32,TOTAL,7541877.0,3791525.0,3392765.0,-260.0,1558856.0,1642027.0,0.0,0.0,0.0,959566.0,381190.0,917668.0,0.0,0.0,8869267.0
33,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,APA LIFE ASSURANCE COMPANY ,3934918.0,1493299.0,997486.0,0.0,699572.0,641705.0,0.0,0.0,58337.0,69416.0,256144.0,424219.0,19259.0,-107809.0,4419570.0
2,BARCLAYS LIFE,-519310.0,1776743.0,1091410.0,0.0,274254.0,642613.0,0.0,0.0,0.0,204904.0,465464.0,136125.0,0.0,0.0,-604758.0
3,BRITAM LIFE,55573188.0,20618666.0,20390651.0,0.0,9480278.0,6076432.0,1402469.0,1514262.0,487116.0,1461778.0,3081462.0,3258485.0,177527.0,-775114.0,65796391.0
4,CAPEX LIFE ASSURANCE COMPANY,314875.0,333912.0,315257.0,0.0,121106.0,124625.0,0.0,0.0,0.0,24295.0,126470.0,59259.0,0.0,0.0,414001.0
5,CIC LIFE ASSURANCE COMPANY,1862933.0,6074278.0,5142522.0,0.0,1837722.0,2734597.0,0.0,0.0,0.0,403281.0,1184805.0,327672.0,0.0,115000.0,2895444.0
6,CORPORATE INSURANCE COMPANY,654371.0,270642.0,268238.0,0.0,188414.0,223263.0,0.0,0.0,0.0,68585.0,67903.0,75013.0,0.0,0.0,637871.0
7,FIRST ASSURANCE COMPANY ,410500.0,109189.0,20516.0,0.0,17769.0,24336.0,0.0,0.0,0.0,-13708.0,14390.0,41686.0,0.0,0.0,447684.0
8,GA LIFE ASSURANCE COMPANY ,5702906.0,1671883.0,1638258.0,0.0,498902.0,498902.0,0.0,0.0,0.0,1290.0,65498.0,769147.0,0.0,36066.0,7508555.0
9,GEMINIA INSURANCE COMPANY,806106.0,594876.0,233843.0,0.0,75731.0,118906.0,1586.0,0.0,0.0,-5040.0,58930.0,117122.0,0.0,0.0,982687.0
10,ICEA LION LIFE ASSURANCE ,57442553.0,12113887.0,11833021.0,0.0,7055618.0,1120648.0,4961396.0,0.0,1121669.0,508302.0,1096514.0,7373583.0,0.0,500000.0,67340628.0
11,JUBILEE INSURANCE COMPANY ,57478514.0,12653249.0,12195945.0,0.0,8343337.0,7880486.0,390634.0,0.0,0.0,833854.0,1062448.0,6639665.0,21996.0,1162380.0,64962323.0
12,KENINDIA ASSURANCE COMPANY,29398990.0,5546763.0,5501683.0,0.0,4994960.0,5098145.0,0.0,0.0,0.0,150132.0,447934.0,3791822.0,0.0,172774.0,32823515.0
13,KENYA ORIENT LIFE ASSURANCE,544012.0,597857.0,558993.0,0.0,85470.0,55111.0,1199.0,0.0,29160.0,27377.0,219843.0,46557.0,0.0,0.0,816874.0
14,LIBERTY LIFE ASSURANCE COMPANY,21780771.0,4511721.0,4318770.0,0.0,5302993.0,5174397.0,0.0,0.0,0.0,233588.0,1155622.0,1548224.0,0.0,0.0,21084157.0
15,MADISON INSURANCE COMPANY,9950357.0,3387394.0,3331860.0,0.0,1328866.0,1328866.0,0.0,0.0,0.0,202530.0,666957.0,1034703.0,0.0,0.0,12118569.0
16,METROPOLITAN CANNON INSURANCE ,1684914.0,244642.0,187279.0,-15444.0,501455.0,501455.0,73053.0,0.0,0.0,-4845.0,129469.0,233737.0,0.0,28400.0,1362954.0
17,OLD MUTUAL LIFE ASSURANCE ,11702757.0,2024617.0,1804423.0,407491.0,2106218.0,888855.0,1120331.0,0.0,1407.0,223248.0,736034.0,340269.0,51672.0,231462.0,11001928.0
18,PIONEER ASSURANCE COMPANY ,3886535.0,5568988.0,3567173.0,0.0,2111170.0,2532544.0,0.0,0.0,0.0,7974.0,1091559.0,147357.0,0.0,35258.0,3933729.0
19,PRUDENTIAL LIFE ASSURANCE,561193.0,400873.0,374142.0,10031.0,208053.0,156737.0,3152.0,0.0,0.0,108895.0,177457.0,68708.0,2416.0,0.0,565417.0
20,SAHAM ASSURANCE,1091827.0,61568.0,50951.0,0.0,323579.0,320501.0,0.0,0.0,0.0,2947.0,36706.0,110471.0,6002.0,0.0,887090.0
21,SANLAM LIFE INSURANCE,22464383.0,4521343.0,4146916.0,-2183.0,4914912.0,3743880.0,0.0,0.0,950549.0,365186.0,944662.0,481212.0,0.0,0.0,21086048.0
22,TAKAFUL INSURANCE OF AFRICA,0.0,60262.0,19178.0,0.0,0.0,0.0,0.0,0.0,0.0,12578.0,61065.0,0.0,0.0,0.0,-54465.0
23,THE KENYAN ALLIANCE INSURANCE,2348184.0,458228.0,368730.0,0.0,348323.0,313938.0,0.0,0.0,0.0,-6567.0,91275.0,147956.0,0.0,-103298.0,2569525.0
24,THE MONARCH INSURANCE,24458.0,74102.0,36182.0,0.0,35307.0,65196.0,0.0,0.0,0.0,-2584.0,50682.0,113665.0,0.0,0.0,61011.0
25,UAP LIFE ASSURANCE COMPANY,9688292.0,2239370.0,1966183.0,0.0,1815895.0,1372254.0,156331.0,8.0,148894.0,10091.0,639147.0,878867.0,0.0,0.0,10206616.0
26,TOTAL,298788227.0,87408352.0,80359610.0,399895.0,52669904.0,41638392.0,8110151.0,1514270.0,2797132.0,4887507.0,13928440.0,28165524.0,278872.0,1295119.0,333263364.0
27,REINSURERS,,,,,,,,,,,,,,,
28,CONTINENTAL REINSURANCE,0.0,232313.0,197465.0,0.0,81424.0,116181.0,0.0,0.0,0.0,53811.0,22540.0,48737.0,0.0,0.0,53671.0
29,EAST AFRICA REINSURANCE ,0.0,1121269.0,926242.0,-228258.0,344634.0,293210.0,0.0,0.0,0.0,230423.0,68390.0,0.0,0.0,0.0,105962.0
30,KENYA REINSURANCE CORPORATION,6938435.0,1900423.0,1795277.0,0.0,867300.0,867300.0,0.0,0.0,0.0,496758.0,237953.0,410176.0,0.0,0.0,7541877.0
31,TOTAL,6938435.0,3254005.0,2918984.0,-228258.0,1293358.0,1276691.0,0.0,0.0,0.0,780992.0,328883.0,458913.0,0.0,0.0,7701510.0
32,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,APA LIFE ASSURANCE COMPANY ,3324588.0,1492952.0,944777.0,0.0,568996.0,510327.0,0.0,0.0,58669.0,30612.0,223025.0,428924.0,15585.0,13181.0,3846889.0
2,BARCLAYS LIFE,-476998.0,1380330.0,878992.0,0.0,181840.0,544582.0,0.0,0.0,0.0,126459.0,346409.0,96146.0,0.0,0.0,-519310.0
3,BRITAM LIFE,48014484.0,18297485.0,17928517.0,0.0,7835088.0,7835088.0,681806.0,1075528.0,284522.0,1776008.0,2452864.0,4379675.0,143172.0,500500.0,55573188.0
4,CANNON ASSURANCE COMPANY ,834827.0,81846.0,81055.0,0.0,156752.0,156752.0,0.0,0.0,0.0,2615.0,120228.0,-11502.0,0.0,0.0,624785.0
5,CAPEX LIFE ASSURANCE COMPANY,119406.0,313340.0,295336.0,0.0,59223.0,57543.0,0.0,0.0,0.0,43055.0,82255.0,82986.0,0.0,0.0,314875.0
6,CIC LIFE ASSURANCE COMPANY,1034837.0,4895175.0,4077006.0,0.0,1497543.0,2049439.0,0.0,0.0,0.0,339994.0,1227511.0,483034.0,0.0,115000.0,1862933.0
7,CORPORATE INSURANCE COMPANY,630286.0,278949.0,277380.0,0.0,189631.0,189631.0,0.0,0.0,0.0,73492.0,64255.0,77578.0,0.0,0.0,657868.0
8,FIRST ASSURANCE COMPANY ,0.0,168783.0,23203.0,0.0,12946.0,13758.0,0.0,0.0,0.0,-20070.0,19822.0,33780.0,0.0,0.0,43471.0
9,GA LIFE ASSURANCE COMPANY ,3886804.0,1618442.0,1589638.0,0.0,329139.0,329439.0,0.0,0.0,0.0,1716.0,38139.0,625726.0,0.0,29966.0,5702906.0
10,GEMINIA INSURANCE COMPANY,705421.0,178136.0,115922.0,0.0,66077.0,0.0,0.0,0.0,0.0,4306.0,48420.0,105767.0,0.0,0.0,874383.0
11,ICEA LION LIFE ASSURANCE ,48179611.0,13015715.0,12784384.0,0.0,6442982.0,1288278.0,4385229.0,0.0,932909.0,570324.0,997907.0,8216362.0,0.0,425920.0,60579790.0
12,JUBILEE INSURANCE COMPANY ,46409908.0,12643723.0,12142466.0,0.0,7164135.0,6799698.0,317789.0,0.0,0.0,898655.0,908257.0,8156415.0,44783.0,261092.0,57478515.0
13,KENINDIA ASSURANCE COMPANY,25356274.0,4641315.0,4600092.0,0.0,3340252.0,3361581.0,0.0,0.0,0.0,135888.0,351187.0,3424150.0,0.0,132870.0,29398990.0
14,KENYA ORIENT LIFE ASSURANCE,365154.0,422987.0,383582.0,0.0,23936.0,17476.0,0.0,0.0,6460.0,20363.0,168891.0,5364.0,0.0,0.0,540911.0
15,LIBERTY LIFE ASSURANCE COMPANY,21204941.0,4502800.0,4273820.0,0.0,4452210.0,4530971.0,0.0,0.0,0.0,196131.0,1185727.0,2515011.0,0.0,0.0,22080947.0
16,MADISON INSURANCE COMPANY,9075650.0,2604247.0,2560286.0,0.0,1268161.0,1268161.0,0.0,0.0,0.0,182806.0,610718.0,376104.0,0.0,0.0,9950357.0
17,METROPOLITAN CANNON INSURANCE ,1356541.0,609958.0,529280.0,26214.0,323403.0,302395.0,21008.0,0.0,0.0,49863.0,219918.0,76433.0,0.0,-169632.0,1564914.0
18,OLD MUTUAL LIFE ASSURANCE ,10554248.0,1919636.0,1732093.0,477305.0,2012003.0,690256.0,1347353.0,0.0,978.0,198786.0,901721.0,1849261.0,58726.0,-287670.0,11702757.0
19,PIONEER ASSURANCE COMPANY ,2109509.0,5213923.0,4196951.0,0.0,2712418.0,2586474.0,48598.0,0.0,0.0,248851.0,465891.0,179524.0,0.0,56431.0,3079741.0
20,PRUDENTIAL LIFE ASSURANCE,442649.0,318189.0,265231.0,17495.0,152472.0,115211.0,0.0,0.0,0.0,64178.0,75089.0,94730.0,4434.0,0.0,561193.0
21,SAHAM ASSURANCE,1066476.0,221543.0,203365.0,0.0,210017.0,207315.0,1479.0,0.0,136.0,3869.0,68612.0,119115.0,15718.0,0.0,1091827.0
22,SANLAM LIFE INSURANCE,23112796.0,4738729.0,4339407.0,0.0,4614032.0,4616396.0,0.0,0.0,0.0,427465.0,877353.0,1733756.0,0.0,800362.0,22464383.0
23,TAKAFUL INSURANCE OF AFRICA,0.0,58896.0,37482.0,0.0,1488.0,0.0,0.0,0.0,0.0,221.0,24409.0,14580.0,0.0,0.0,27431.0
24,THE KENYAN ALLIANCE INSURANCE,1873950.0,778597.0,654521.0,0.0,294736.0,285292.0,0.0,0.0,0.0,661.0,83002.0,188669.0,0.0,0.0,2348184.0
25,THE MONARCH INSURANCE,22135.0,46507.0,35811.0,0.0,9661.0,-9239.0,0.0,0.0,0.0,3546.0,53634.0,38847.0,17717.0,0.0,31133.0
26,UAP LIFE ASSURANCE COMPANY,9440315.0,2365623.0,1997191.0,0.0,2675547.0,2254265.0,166454.0,453.0,146873.0,68607.0,456789.0,1344228.0,0.0,0.0,9688292.0
27,TOTAL,258643812.0,82807826.0,76947788.0,521014.0,46594688.0,40001089.0,6969716.0,1075981.0,1430547.0,5448401.0,12072033.0,34634663.0,300135.0,1878020.0,301571353.0
28,REINSURERS,,,,,,,,,,,,,,,
29,CONTINENTAL REINSURANCE,135174.0,210572.0,178986.0,0.0,53998.0,83118.0,0.0,0.0,0.0,49133.0,34561.0,54882.0,2803.0,0.0,199427.0
30,EAST AFRICA REINSURANCE ,0.0,933848.0,774969.0,-33497.0,361942.0,377533.0,0.0,0.0,0.0,209408.0,76330.0,0.0,0.0,0.0,78202.0
31,KENYA REINSURANCE CORPORATION,6450091.0,1626735.0,1491357.0,0.0,842063.0,842063.0,0.0,0.0,0.0,413596.0,240834.0,493480.0,0.0,0.0,6938435.0
32,TOTAL,6585265.0,2771155.0,2445312.0,-33497.0,1258003.0,1302714.0,0.0,0.0,0.0,672137.0,351725.0,548362.0,2803.0,0.0,7216064.0
33,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
