COMPANY,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT_/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,YEARS
CORPORATE INSURANCE COMPANY,330452,35245,59872.0,305825.0,120291.0,-,155536.0,-,270580.0,76843.0,23941.0,116290.0,53506.0,151532,205038.0,2014
DIRECTLINE ASSURANCE COMPANY,2375184,-,49731.0,2325453.0,551559.0,-,660403.0,-,2216609.0,1338000.0,219219.0,739337.0,-79947.0,-,-79947.0,2014
FIDELITY SHIELD INSURANCE,1476526,16639,381560.0,1111605.0,353545.0,-,422930.0,-,1042219.0,554695.0,81081.0,304635.0,101808.0,-,101808.0,2014
FIRST ASSURANCE COMPANY,3393489,61801,1207366.0,2247925.0,816979.0,-,1006451.0,-,2058453.0,1479612.0,87720.0,423394.0,67728.0,-,67728.0,2014
GA INSURANCE COMPANY,3767837,48947,1779560.0,2037225.0,728519.0,-,888141.0,-,1877603.0,1230464.0,-43764.0,486215.0,204688.0,399174,603861.0,2014
GATEWAY INSURANCE COMPANY,706228,23098,154975.0,574351.0,144034.0,-,170666.0,-,547719.0,252505.0,27190.0,339468.0,-71444.0,96894,25450.0,2014
GEMINIA INSURANCE COMPANY,1469191,37849,497454.0,1009586.0,414501.0,-,469964.0,-,954123.0,453030.0,49889.0,283342.0,167862.0,177299,345161.0,2014
HERITAGE INSURANCE COMPANY,4017815,8736,1711321.0,2315231.0,816445.0,-,1044662.0,-,2087014.0,831500.0,-25022.0,1079262.0,201274.0,513529,714802.0,2014
ICEA LION GENERAL INSURANCE,5176407,77728,2149130.0,3105005.0,1218174.0,-,1234991.0,-,3088188.0,1601538.0,314065.0,872074.0,300512.0,-,300512.0,2014
INTRA-AFRICA ASSURANCE,874266,4469,168081.0,710654.0,286368.0,-,294634.0,-,702388.0,467269.0,41276.0,224514.0,-30672.0,18916,-11756.0,2014
INVESCO ASSURANCE COMPANY,2121097,-,49237.0,2071861.0,371525.0,-,398591.0,-,2044794.0,853637.0,201214.0,1018143.0,-28200.0,-,-28200.0,2014
JUBILEE INSURANCE COMPANY,9233271,880568,2815210.0,7298629.0,2582435.0,-,2706218.0,-,7174846.0,4740566.0,527610.0,1145079.0,761591.0,971327,1732918.0,2014
KENINDIA ASSURANCE COMPANY,2606200,39752,1093833.0,1552120.0,703121.0,-,627509.0,-,1627732.0,1451505.0,121727.0,584711.0,-530211.0,257011,-273201.0,2014
KENYA ORIENT INSURANCE,1926115,13551,239559.0,1700107.0,702602.0,-,854820.0,-,1547889.0,742846.0,54695.0,558149.0,192200.0,45561,237761.0,2014
MADISON INSURANCE COMPANY,1445764,72958,365191.0,1153530.0,257314.0,-,480218.0,-,930626.0,558301.0,83381.0,398628.0,-109684.0,122438,12754.0,2014
MAYFAIR INSURANCE COMPANY,1713163,41114,849196.0,905080.0,385324.0,-,360641.0,-,929764.0,469175.0,12840.0,259559.0,188190.0,-,188190.0,2014
OCCIDENTAL INSURANCE COMPANY,1828275,14248,616387.0,1226136.0,460287.0,-,510132.0,-,1176292.0,752628.0,111839.0,210299.0,101527.0,210384,311911.0,2014
PACIS INSURANCE COMPANY,984558,-,187207.0,797350.0,271966.0,-,337253.0,-,732063.0,259292.0,83986.0,328250.0,60535.0,59367,119902.0,2014
PHOENIX OF EAST AFRICA,420591,36897,254978.0,202510.0,109332.0,-,106246.0,-,205596.0,171924.0,-42.0,213356.0,-179641.0,-,-179641.0,2014
REAL INSURANCE COMPANY,3187383,35073,1186087.0,2036369.0,767065.0,-,912027.0,-,1891407.0,1117723.0,127528.0,704790.0,-58634.0,-,-58634.0,2014
RESOLUTION HEALTH INSURANCE,2526882,-,1509347.0,1017535.0,442844.0,-,478487.0,-,981892.0,640297.0,-70791.0,603806.0,-191420.0,53416,-138004.0,2014
SAHAM ASSURANCE,1040344,-,650457.0,389887.0,103263.0,-,145273.0,-,347877.0,150289.0,-9054.0,250746.0,-44104.0,65458,21354.0,2014
TAKAFUL INSURANCE OF AFRICA,677819,-,56096.0,621723.0,211265.0,-,290460.0,-,542528.0,281032.0,61056.0,265722.0,-65282.0,44795,-20487.0,2014
TAUSI ASSURANCE COMPANY,803499,8556,288035.0,524020.0,222131.0,-,192554.0,-,553597.0,287965.0,57263.0,172861.0,35509.0,-,35509.0,2014
THE KENYAN ALLIANCE INSURANCE,1282324,21813,157232.0,1146905.0,520535.0,-,532895.0,-,1134545.0,572498.0,110973.0,478426.0,-27351.0,203086,175734.0,2014
THE MONARCH INSURANCE,586256,20972,53351.0,553877.0,212555.0,-,258531.0,-,507902.0,138330.0,28627.0,241389.0,99555.0,-,99555.0,2014
TRIDENT INSURANCE COMPANY,987606,25265,333995.0,678875.0,236584.0,-,435452.0,-,480008.0,288292.0,-25526.0,170220.0,47022.0,-,47022.0,2014
UAP INSURANCE COMPANY,7392124,140876,1527496.0,6005503.0,2429421.0,-,2371976.0,-,6062948.0,4100385.0,427124.0,1232280.0,303159.0,-,303159.0,2014
XPLICO INSURANCE COMPANY,1386545,20572,159290.0,1247827.0,300538.0,-,401991.0,-,1146374.0,291384.0,116797.0,792522.0,-54329.0,-,-54329.0,2014
TOTAL,99176289,1974389,27536115.0,73614564.0,27040671.0,-,30551227.0,-,70104011.0,42677696.0,4803876.0,21017937.0,1604507.0,4942983,6547486.0,2014
REINSURERS,,,,,,,,,,,,,,,,2014
CONTINENTAL REINSURANCE,-,1260395,75281.0,1185114.0,268594.0,-,348301.0,-,1105407.0,519404.0,363841.0,74404.0,147757.0,39862,187619.0,2014
EAST AFRICA REINSURANCE,-,3046645,83729.0,2962917.0,685008.0,-,832018.0,-,2815906.0,1671711.0,795093.0,197474.0,151629.0,322940,474569.0,2014
KENYA REINSURANCE CORPORATION,-,10460149,432955.0,10027194.0,3282685.0,-,4010878.0,-,9299002.0,5545078.0,2683197.0,961374.0,109353.0,2136175,2245528.0,2014
TOTAL,-,14767189,591965.0,14175225.0,4236287.0,-,5191197.0,-,13220315.0,7736193.0,3842131.0,1233252.0,408739.0,2498977,2907716.0,2014
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2014
INSURERS,,,,,,,,,,,,,,,,2013
AAR Insurance Kenya,2619915,-,536163.0,2083752.0,386044,-,1074565.0,-,1395230.0,841299.0,159804.0,425449.0,-31321.0,93420,62099.0,2013
African Merchant Assurance,2190976,5666,495396.0,1701245.0,388995,-,479683.0,-,1610557.0,848537.0,94064.0,744853.0,-76897.0,221994,145097.0,2013
AIG Insurance Company,3452088,52621,1456482.0,2048226.0,675181,-,786463.0,-,1936944.0,941274.0,89054.0,773307.0,133309.0,-,133309.0,2013
APA Insurance Company,6553965,-,1430502.0,5123463.0,2372897,-,2438698.0,-,5057662.0,3493908.0,538999.0,970651.0,54104.0,-,54104.0,2013
British American Insurance,3826506,-,667661.0,3158845.0,1111786,-,1368239.0,13459,2888933.0,1533873.0,289112.0,772439.0,293509.0,343738,637247.0,2013
Cannon Assurance Company,995945,51416,311328.0,736033.0,321389,-,318147.0,-,739275.0,486815.0,63431.0,315399.0,-126370.0,318339,191969.0,2013
CIC General Insurance Company,8023273,34909,743511.0,7314671.0,2706298,-,3699946.0,-,6321023.0,4113060.0,436151.0,1363267.0,408545.0,570513,979058.0,2013
Corporate Insurance Company,291360,43993,109184.0,226169.0,120747,-,120291.0,-,226625.0,77039.0,18517.0,121435.0,9633.0,109123,118756.0,2013
Directline Assurance Company,2224887,-,39470.0,2185417.0,494400,-,551559.0,-,2128258.0,1336524.0,210135.0,740385.0,-158786.0,304724,145938.0,2013
Fidelity Shield Insurance,1226045,14128,325347.0,914826.0,272252,-,353545.0,-,833534.0,484742.0,60541.0,241667.0,46584.0,-,46584.0,2013
First Assurance Company,3161040,81714,1231180.0,2011575.0,864637,-,816979.0,-,2059232.0,1515015.0,30732.0,353500.0,159984.0,-,159984.0,2013
GA Insurance Company,3038729,49963,1446597.0,1642095.0,655376,-,728519.0,-,1568951.0,1075776.0,-16702.0,401704.0,108173.0,475621,583794.0,2013
Gateway Insurance Company,540968,-,77897.0,463072.0,96035,-,142965.0,-,416141.0,138864.0,35225.0,265725.0,-23672.0,195993,172321.0,2013
Geminia Insurance Company,1224689,26329,325535.0,925484.0,316722,-,414501.0,-,827704.0,378738.0,61443.0,205784.0,181739.0,150559,332298.0,2013
Heritage Insurance Company,3549062,-,1586182.0,1962880.0,789976,-,816445.0,-,1936410.0,710430.0,-2504.0,918076.0,310409.0,-,310409.0,2013
ICEA Lion General Insurance,4516664,46851,1779678.0,2783837.0,957674,-,1218174.0,-,2523336.0,1221400.0,192003.0,737081.0,372853.0,-,372853.0,2013
Intra-Africa Assurance,805214,9096,197879.0,616432.0,243071,-,286368.0,-,573135.0,385184.0,6660.0,199903.0,-18612.0,19853,1241.0,2013
Invesco Assurance Company,1787720,-,40986.0,1746734.0,202064,-,371525.0,-,1577273.0,590190.0,161613.0,900312.0,-74843.0,-,-74843.0,2013
Jubilee Insurance Company,7759282,904203,2408065.0,6255420.0,2328656,-,2582435.0,-,6001642.0,4078576.0,448357.0,902577.0,572131.0,783709,1355841.0,2013
Kenindia Assurance Company,2736867,38714,1050387.0,1725194.0,854634,-,703121.0,-,1876707.0,1040481.0,164790.0,497713.0,173723.0,409092,582815.0,2013
Kenya Orient Insurance,1435050,8732,155884.0,1287898.0,396843,-,436872.0,-,1247869.0,587261.0,100949.0,477310.0,82348.0,42411,124759.0,2013
Madison Insurance Company,1007084,89327,297142.0,799269.0,224991,-,257314.0,-,766947.0,435094.0,63781.0,279500.0,-11428.0,82806,71378.0,2013
Mayfair Insurance Company,1455643,47643,673038.0,830248.0,319544,-,385324.0,-,764468.0,479718.0,39199.0,194745.0,50806.0,-,50806.0,2013
Mercantile Insurance Company,846363,-,535931.0,310433.0,75436,-,103351.0,-,282518.0,172878.0,-1399.0,158094.0,-47055.0,56036,8982.0,2013
Occidental Insurance Company,1605137,19820,563190.0,1061767.0,401261,-,460287.0,-,1002740.0,647795.0,102121.0,187978.0,64845.0,138590,203435.0,2013
Pacis Insurance Company,813692,-,152591.0,661101.0,241180,-,271966.0,-,630315.0,310411.0,63294.0,246429.0,10180.0,44936,55116.0,2013
Phoenix of East Africa,414802,47982,225075.0,237709.0,89597,-,109300.0,-,218006.0,103200.0,-3256.0,175171.0,-57109.0,-,-57109.0,2013
Real Insurance Company,2489707,47722,812746.0,1724683.0,581258,-,767065.0,-,1538877.0,984205.0,75725.0,429559.0,49387.0,-,49387.0,2013
Resolution Health Insurance,2045814,-,1243229.0,802585.0,-,-,442844.0,-,359741.0,289061.0,-453607.0,482539.0,41748.0,34444,76192.0,2013
Takaful Insurance of Africa,476710,-,40461.0,436249.0,206652,-,211265.0,-,431636.0,143623.0,30517.0,302334.0,-44839.0,18844,-25995.0,2013
Tausi Assurance Company,799763,3438,279844.0,523357.0,202528,26416,222131.0,28856,501314.0,223651.0,40245.0,134621.0,102796.0,170838,273634.0,2013
The Kenyan Alliance Insurance,1166971,32077,110608.0,1088440.0,405519,-,520465.0,-,973495.0,419877.0,87229.0,413733.0,52656.0,878678,931334.0,2013
The Monarch Insurance,459805,9670,72234.0,397241.0,143744,-,212555.0,-,328430.0,117981.0,18529.0,191838.0,82.0,-,82.0,2013
Trident Insurance Company,748833,9985,299472.0,459346.0,222170,-,236584.0,-,444932.0,311029.0,-4449.0,188528.0,-50177.0,207853,157677.0,2013
UAP Insurance Company,7470328,215703,1544230.0,6141801.0,2032156,-,2429421.0,-,5744536.0,3478606.0,488107.0,1096178.0,681645.0,935858,1617503.0,2013
Xplico Insurance Company,1004726,-,71964.0,932762.0,149094,-,300538.0,-,781318.0,174030.0,83874.0,360723.0,162690.0,28731,191421.0,2013
