,Company,Profit Transferred from Revenue ,Investment Income,Other Income,Total Income,Loss Transferred From Revenue,Management Expenses,Total Outgo,Profit / (Loss) Before Taxation,Provision for Taxation,Profit/(Loss) After Taxation,Unappropriated Profit/(Loss) BF,Transfer To Reserves,Other Appropriations,Dividend,Unappropriated Profit /(Loss) CF
18,OLD MUTUAL LIFE ASSURANCE ,0,245596,0,245596,62110,7661,69771,175825,41208,134617,-2171124,0,0,0,-2036507
19,PIONEER ASSURANCE COMPANY ,142488,0,0,142488,0,0,0,142488,0,142488,211177,0,70229,0,283436
20,PRUDENTIAL LIFE ASSURANCE,0,67946,0,67946,0,178372,178372,-110426,41998,-152424,-1780950,0,13307,0,-1946681
21,SAHAM ASSURANCE,0,15472,0,15472,0,15472,15472,0,0,0,0,0,0,0,0
22,SANLAM LIFE INSURANCE,0,0,0,0,0,0,0,0,0,0,560253,0,0,0,560253
23,TAKAFUL INSURANCE OF AFRICA,0,0,30699,30699,20463,0,20463,10237,2456,7781,3496,0,0,0,11277
24,THE KENYAN ALLIANCE INSURANCE,0,0,0,0,105358,0,105358,-105358,0,-105358,72117,0,-5467,0,-27774
25,THE MONARCH INSURANCE,747,0,0,747,0,0,0,747,4742,-3996,212522,0,157628,0,50899
26,UAP LIFE ASSURANCE COMPANY,0,0,219708,219708,0,0,0,219708,52885,166822,262104,0,0,0,428926
27,TOTAL,5771904,814135,1895467,8481506,731501,240234,1018823,7462684,2120634,5342047,1122331,139490,-1123543,1610139,5838294
28,REINSURERS,,,,,,,,,,,,,,,
29,CONTINENTAL REINSURANCE,114608,0,0,114608,0,0,0,114608,10240,104368,156963,0,0,0,261331
30,EAST AFRICA REINSURANCE ,115066,169439,193,284698,0,848,145,284553,81616,202937,530345,236938,0,0,496345
31,KENYA REINSURANCE CORPORATION,1097716,315277,0,1412993,0,0,0,1412993,22539,1390454,4320953,0,0,0,5711407
32,TOTAL,1327390,484716,193,1812299,0,848,145,1812154,114395,1697759,5008261,236938,0,0,6469083
33,GRAND TOTAL,7099294,1298851,1895660,10293805,731501,241082,1018968,9274838,2235029,7039806,6130592,376428,-1123543,1610139,12307377
34,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,APA LIFE ASSURANCE COMPANY ,0,52564,0,52564,107805,1802,119316,-66752,0,-66752,-127894,0,0,0,-194646
2,BARCLAYS LIFE,0,125778,0,125778,0,0,0,125778,0,125778,0,0,0,0,125778
3,BRITAM LIFE,-775113,0,-185257,-960370,0,0,0,-960370,207545,-1167915,0,0,0,567000,-1734915
4,CAPEX LIFE ASSURANCE COMPANY,0,0,-13783,-13783,0,0,0,-13783,0,-13783,32225,0,0,0,18442
5,CIC LIFE ASSURANCE COMPANY,115000,0,0,115000,0,0,0,115000,35000,80000,0,0,0,0,80000
6,CORPORATE INSURANCE COMPANY,0,0,-61563,-61563,0,0,0,-61563,-12817,-48746,152205,0,0,0,103459
7,FIRST ASSURANCE COMPANY ,0,0,0,0,0,0,0,0,13108,-13108,0,-13108,0,0,0
8,GA LIFE ASSURANCE COMPANY ,36067,0,15936,52003,0,0,0,52003,11709,40295,4043,0,0,40000,4337
9,GEMINIA INSURANCE COMPANY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ICEA LION LIFE ASSURANCE ,500000,100367,0,600367,0,73,73,600295,173057,427237,2126549,0,0,250000,2303786
11,JUBILEE INSURANCE COMPANY ,1162380,246125,0,1408505,0,0,0,1408505,348714,1059791,0,0,0,0,1059791
12,KENINDIA ASSURANCE COMPANY,172774,0,0,172774,0,0,0,172774,0,172774,22379,112774,-2572,55737,29214
13,KENYA ORIENT LIFE ASSURANCE,0,8368,0,8368,0,2329,6798,1570,5845,-4275,0,0,0,0,-4275
14,LIBERTY LIFE ASSURANCE COMPANY,0,0,283311,283311,0,0,0,283311,165469,117842,-323314,-69297,0,370000,-506174
15,MADISON INSURANCE COMPANY,0,0,0,0,760882,0,760882,-760882,-250202,-510680,62000,-510680,0,0,62000
16,METROPOLITAN CANNON INSURANCE ,28400,0,0,28400,0,0,0,28400,13238,15162,-1104935,0,0,0,-1089774
17,OLD MUTUAL LIFE ASSURANCE ,231462,257489,0,488951,0,8219,8219,480732,29692,451040,-2412947,0,209217,0,-2171124
18,PIONEER ASSURANCE COMPANY ,0,0,0,0,35258,0,35258,-35258,22536,-57794,259258,-57925,0,0,259389
19,PRUDENTIAL LIFE ASSURANCE,0,74512,19614,94126,0,296348,316041,-221915,35502,-257417,-1523534,0,0,0,-1780950
20,SAHAM ASSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,-11998,0,11998
21,SANLAM LIFE INSURANCE,0,0,0,0,0,0,0,0,0,0,560253,0,0,0,560253
22,TAKAFUL INSURANCE OF AFRICA,0,16682,0,16682,54465,0,54465,-37783,0,-37783,41155,0,-5082,0,8454
23,THE KENYAN ALLIANCE INSURANCE,0,0,10262,10262,103299,0,103299,-93037,-18049,-74988,147104,0,0,0,72117
24,THE MONARCH INSURANCE,0,0,0,0,0,0,0,0,0,0,151510,0,0,0,151510
25,UAP LIFE ASSURANCE COMPANY,0,0,251120,251120,0,0,0,251120,75337,175784,129744,0,43424,0,262104
26,TOTAL,1470970,881885,319640,2672495,1061709,308771,1404351,1268145,855684,412462,-1804199,-538236,232989,1282737,-2369226
27,REINSURERS,,,,,,,,,,,,,,,
28,CONTINENTAL REINSURANCE,53671,0,0,53671,0,0,0,53671,6923,46747,131273,0,0,0,178020
29,EAST AFRICA REINSURANCE ,105961,171485,0,277447,0,1559,3344,274102,77843,196260,515349,181264,0,0,530345
30,KENYA REINSURANCE CORPORATION,603442,64586,0,668028,0,0,0,668028,232446,435582,0,0,0,0,435582
31,TOTAL,763074,236071,0,999146,0,1559,3344,995801,317212,678589,646622,181264,0,0,1143947
32,GRAND TOTAL,2234044,1117956,319640,3671641,1061709,310330,1407695,2263946,1172896,1091051,-1157577,-356972,232989,1282737,-1225279
33,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,APA LIFE ASSURANCE COMPANY ,13181,37543,0,50724,85000,10740,95740,-45016,0,-45016,-89450,0,0,0,-134467
2,BARCLAYS LIFE,0,77385,0,77385,0,0,0,77385,-194700,272085,0,0,0,0,272085
3,BRITAM LIFE,500500,0,0,500500,0,0,0,500500,0,500500,0,0,0,500500,0
4,CANNON ASSURANCE COMPANY ,0,0,0,0,0,0,0,0,4990,-4990,461946,0,0,0,456956
5,CAPEX LIFE ASSURANCE COMPANY,0,0,-12797,-12797,0,0,0,-12797,0,-12797,45023,0,0,0,32225
6,CIC LIFE ASSURANCE COMPANY,115000,0,0,115000,0,0,0,115000,35000,80000,0,0,0,80000,0
7,CORPORATE INSURANCE COMPANY,6930,0,0,6930,0,0,0,6930,5992,939,151264,0,0,0,152203
8,FIRST ASSURANCE COMPANY ,0,0,0,0,0,0,0,0,14540,-14540,0,-14540,0,0,0
9,GA LIFE ASSURANCE COMPANY ,29966,0,9855,39821,0,0,0,39821,9261,30560,8483,0,0,35000,4043
10,GEMINIA INSURANCE COMPANY,0,0,0,0,0,0,0,0,2201,-2201,0,0,0,0,-2201
11,ICEA LION LIFE ASSURANCE ,425920,151877,0,577797,0,125,125,577672,167651,410021,1916532,0,0,0,2326553
12,JUBILEE INSURANCE COMPANY ,261092,241546,0,502638,0,0,0,502638,78328,424310,1010866,0,0,0,1435177
13,KENINDIA ASSURANCE COMPANY,60000,0,0,60000,0,0,0,60000,0,60000,69440,0,50922,56139,22379
14,KENYA ORIENT LIFE ASSURANCE,0,18052,0,18052,0,5519,5519,12533,6908,5625,0,0,0,0,5625
15,LIBERTY LIFE ASSURANCE COMPANY,0,0,428017,428017,0,0,0,428017,36603,391414,-339121,370934,0,0,-318641
16,MADISON INSURANCE COMPANY,0,0,0,0,66204,0,66204,-66204,1139,-67343,62000,-67343,0,0,62000
17,METROPOLITAN CANNON INSURANCE ,0,0,0,0,169632,0,169632,-169632,13750,-183382,-921553,0,0,0,-1104935
18,OLD MUTUAL LIFE ASSURANCE ,0,310632,0,310632,287669,8686,296355,14277,43044,-28767,-2384181,0,0,0,-2412947
19,PIONEER ASSURANCE COMPANY ,56431,0,0,56431,0,0,0,56431,21837,34595,265300,40637,0,0,259258
20,PRUDENTIAL LIFE ASSURANCE,0,0,0,0,0,279696,294533,-294533,31541,-326074,-877025,0,0,0,-1203100
21,SAHAM ASSURANCE,0,0,0,0,0,0,0,0,0,0,0,-14360,0,0,14360
22,SANLAM LIFE INSURANCE,800362,0,0,800362,0,0,0,800362,240109,560253,0,0,0,0,560253
23,TAKAFUL INSURANCE OF AFRICA,27432,0,0,27432,0,11464,17564,9868,2758,7110,34045,0,0,0,41155
24,THE KENYAN ALLIANCE INSURANCE,40267,0,0,40267,0,0,0,40267,12706,27561,12468,0,0,0,40029
25,THE MONARCH INSURANCE,0,0,0,0,0,0,0,0,0,0,151510,0,0,0,151510
26,UAP LIFE ASSURANCE COMPANY,0,0,761377,761377,0,0,0,761377,291323,470054,-340309,0,0,0,129744
27,TOTAL,2337081,837035,1186452,4360568,608505,316230,945672,3414896,824981,2589917,-762762,315328,50922,671639,789264
28,REINSURERS,,,,,,,,,,,,,,,
29,CONTINENTAL REINSURANCE,64254,0,3829,68083,0,3002,3002,65080,12700,52381,122955,0,44063,0,131273
30,EAST AFRICA REINSURANCE ,78202,173083,632,251917,0,0,704,251213,78570,172643,428292,85586,0,0,515349
31,KENYA REINSURANCE CORPORATION,488344,117212,0,605556,0,0,0,605556,217054,388502,3496869,0,0,0,3885371
32,TOTAL,630800,290295,4461,925556,0,3002,3706,921849,308324,613526,4048116,85586,44063,0,4531993
33,GRAND TOTAL,2967881,1127330,1190913,5286124,608505,319232,949378,4336745,1133305,3203443,3285354,400914,94985,671639,5321257
34,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
