,Company,Profit Transferred from Revenue ,Investment Income,Other Income,Total Income,Loss Transferred From Revenue,Management Expenses,Total Outgo,Profit / (Loss) Before Taxation,Provision for Taxation,Profit/(Loss) After Taxation,Unappropriated Profit/(Loss) BF,Transfer To Reserves,Other Appropriations,Dividend,Unappropriated Profit /(Loss) CF
19,JUBILEE HEALTH INSURANCE,1004923,0,0,1004923,0,0,0,1004923,224859,780064,0,0,780064,0,0
20,KENINDIA ASSURANCE COMPANY ,0,0,794,794,259307,12800,551625,-550830,-163248,-387582,2234184,0,0,0,1846602
21,KENYA ORIENT INSURANCE,0,-45239,1270,-43969,161338,100748,262086,-306055,-714,-305340,-760641,0,0,0,-1065981
22,MADISON GENERAL INSURANCE COMPANY,7078,0,0,7078,0,0,0,7078,-7290,14368,551234,0,0,0,565602
23,MAYFAIR INSURANCE COMPANY,270025,281803,27791,579618,0,37923,70187,509432,149939,359493,1265037,0,0,175000,1449530
24,METROPOLITAN CANNON GENERAL ,0,200289,0,200289,143004,0,143004,57284,7726,49558,-192626,0,0,0,-143067
25,MUA INSURANCE COMPANY,8374,0,0,8374,0,0,0,8374,0,8374,545461,0,0,0,553834
26,OCCIDENTAL INSURANCE COMPANY ,347529,0,51835,399364,0,89666,92282,307083,58964,248119,588633,0,21311,85010,730430
27,PACIS INSURANCE COMPANY,0,0,0,0,236109,0,236109,-236109,17054,-253163,450127,0,86031,925,110008
28,PIONEER GENERAL INSURANCE COMPANY,0,52533,0,52533,20396,0,20396,32137,11035,21102,-23513,0,0,0,-2411
29,RESOLUTION INSURANCE COMPANY,0,0,0,0,235114,0,235114,-235114,-62243,-172871,-2070236,97109,0,0,-2340216
30,SAHAM INSURANCE COMPANY ,0,108291,0,108291,28208,0,28208,80083,19926,60157,263429,16700,0,0,306886
31,SANLAM INSURANE COMPANY,23042,0,0,23042,0,0,0,23042,18623,4419,-89247,0,0,0,-84829
32,TAKAFUL INSURANCE OF AFRICA,0,42922,40208,83130,57587,27052,84639,-1509,10375,-11884,-238903,0,0,0,-250787
33,TAUSI ASSURANCE COMPANY,118397,217986,3839,340222,0,2529,8016,332206,59588,272618,718609,3102,0,78000,910126
34,THE KENYAN ALLIANCE INSURANCE ,110411,0,0,110411,0,0,0,110411,47845,62566,949140,0,0,0,1011705
35,THE MONARCH INSURANCE ,20703,35516,15072,71291,0,3012,5499,65792,-23494,89286,154763,0,0,0,244049
36,TRIDENT INSURANCE COMPANY ,0,25055,130076,155131,139208,86816,226024,-70893,711,-71604,1080557,-4180,0,0,1013134
37,UAP INSURANCE COMPANY,1327633,0,15224,1342857,0,0,94255,1248602,278150,970453,5143356,0,-5192,0,6119001
38,XPLICO INSURANCE COMPANY,0,0,47800,47800,106778,0,106778,-58978,0,-58978,164740,0,0,0,105763
39,TOTAL,6098966,4920721,519313,11539000,2622214,974420,4644497,6894506,1878518,5015992,28174199,741396,381686,2889935,29177175
40,REINSURERS,,,,,,,,,,,,,,,
41,CONTINENTAL REINSURANCE,237477,0,0,237477,0,0,0,237477,72317,165160,346008,0,0,0,511169
42,EAST AFRICAN REINSURANCE ,120696,463884,12560,597140,0,14032,46522,550618,164218,386400,2251662,-256887,0,100000,2794949
43,GHANA REINSURANCE COMPANY,98097,0,1022,99119,0,0,0,99119,30365,68754,0,0,0,0,68754
44,KENYA REINSURANCE CORPORATION,127086,2448759,52969,2628814,0,0,0,2628814,158303,2470511,22165652,5249618,60119,314977,19011449
45,WAICA REINSURANCE KENYA LIMITED,-12873,0,0,-12873,0,23882,23882,-36755,-10060,-26695,-25626,0,0,0,-52321
46,TOTAL,570483,2912643,66551,3549677,0,37914,70404,3479273,415143,3064130,24737696,4992731,60119,414977,22334000
47,GRAND TOTAL,6669449,7833364,585864,15088677,2622214,1012334,4714901,10373779,2293661,8080122,52911895,5734127,441805,3304912,51511175
48,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,0,0,0,0,334645,0,334645,-334645,-82097,-252547,-344837,0,0,0,-597385
2,AFRICAN MERCHANT ASSURANCE ,39599,0,0,39599,0,0,0,39599,0,39599,506236,0,0,0,545835
3,AIG INSURANCE COMPANY,253875,339007,-36233,556649,0,0,0,556649,178894,377754,1332637,0,0,300000,1410391
4,ALLIANZ INSURANCE COMPANY,0,0,0,0,190194,0,190194,-190194,-55107,-135087,-154663,0,0,0,-289750
5,APA INSURANCE COMPANY,10615,841404,24988,877008,0,0,200316,676692,165842,510850,4452545,0,0,1500000,3463395
6,BRITAM GENERAL INSURANCE,0,0,0,0,40123,0,40123,-40123,11911,-52035,716566,0,331594,0,332938
7,CIC GENERAL INSURANCE COMPANY,-38634,668703,0,630069,0,0,0,630069,249779,380290,2469456,0,76084,204000,2569662
8,CORPORATE INSURANCE COMPANY,-21071,0,0,-21071,0,0,0,-21071,-9998,-11073,547938,0,0,16000,520865
9,DIRECTLINE ASSURANCE COMPANY,0,249816,43066,292883,306275,96700,408304,-115421,-28368,-87053,851153,0,0,0,764099
10,FIDELITY SHIELD INSURANCE  ,94618,107098,0,201716,0,35233,120980,80736,23728,57008,478844,0,0,0,535852
11,FIRST ASSURANCE COMPANY,0,221915,0,221915,522266,0,522266,-300351,-100324,-200026,274024,0,0,0,73998
12,GA INSURANCE COMPANY,965394,163243,45469,1174106,0,0,0,1174106,230513,943592,1846564,45469,33905,300000,2410783
13,GEMINIA INSURANCE COMPANY ,390442,0,1159,391602,0,2998,55026,336576,105078,231499,643461,0,172879,100625,601455
14,HERITAGE INSURANCE COMPANY,556497,0,0,556497,0,28984,28984,527513,146866,380647,2601768,0,68650,328000,2585766
15,ICEA LION GENERAL INSURANCE,123125,712639,0,835764,0,197765,202900,632864,190275,442590,2748505,-399206,143144,200000,3247157
16,INTRA-AFRICA ASSURANCE ,36868,26195,31528,94591,0,26039,58186,36405,10996,25409,110617,9500,100000,0,26526
17,INVESCO ASSURANCE COMPANY ,0,21538,65,21603,151268,0,151268,-129665,-36412,-93254,-1510511,0,0,0,-1603765
18,JUBILEE INSURANCE COMPANY,1453302,0,13715,1467017,0,0,0,1467017,417113,1049904,4116230,0,57935,0,5108199
19,KENINDIA ASSURANCE COMPANY ,254454,0,4406,258860,0,17284,79475,179385,-7857,187242,2045252,-1691,0,0,2234185
20,KENYA ORIENT INSURANCE,0,26633,730,27364,33719,35641,140126,-112762,-22498,-90264,-144987,0,0,0,-235251
21,MADISON GENERAL INSURANCE COMPANY,0,0,0,0,169569,0,169569,-169569,-62861,-106708,826660,0,0,0,719953
22,MAYFAIR INSURANCE COMPANY,273952,244438,36715,555105,0,12943,46761,508344,146518,361826,1055428,0,2216,150000,1265037
23,METROPOLITAN CANNON GENERAL ,0,128447,0,128447,22848,0,22848,105599,20691,84908,-265937,0,-1400,0,-179628
24,MUA INSURANCE COMPANY,0,0,0,0,97142,0,97142,-97142,0,-97142,695447,0,52844,0,545461
25,OCCIDENTAL INSURANCE COMPANY ,379611,0,5526,385138,0,90706,94432,290706,45827,244879,401758,0,0,58004,588633
26,PACIS INSURANCE COMPANY,103397,0,0,103397,0,0,0,103397,38087,65310,429324,477,30000,14029,450128
27,PIONEER GENERAL INSURANCE COMPANY,0,63619,0,63619,75315,0,75315,-11696,-3036,-8659,3143,0,0,0,-5516
28,RESOLUTION INSURANCE COMPANY,0,0,0,0,504134,0,504134,-504134,-146249,-357885,-1712351,0,0,0,-2070236
29,SAHAM INSURANCE COMPANY ,126528,0,0,126528,0,0,0,126528,30875,95652,228268,0,60490,0,263430
30,SANLAM INSURANE COMPANY,193620,0,0,193620,0,0,0,193620,77955,115665,-205593,0,-680,0,-89247
31,TAKAFUL INSURANCE OF AFRICA,-135392,25262,69495,-40635,186013,50537,236550,-277184,0,-277184,-136224,0,-23480,0,-389928
32,TAUSI ASSURANCE COMPANY,178456,191579,-24239,345796,0,3569,15215,330581,77854,252727,552348,-3102,17568,72000,718609
33,THE KENYAN ALLIANCE INSURANCE ,0,0,0,0,176046,0,176046,-176046,-33158,-142889,1092028,0,0,0,949140
34,THE MONARCH INSURANCE ,9937,29098,155063,194098,0,3440,92842,101256,-5482,106738,111277,0,0,0,218015
35,TRIDENT INSURANCE COMPANY ,0,17774,2591,20365,182875,94357,277231,-256867,0,-256867,1333242,-4181,0,0,1080557
36,UAP INSURANCE COMPANY,0,735159,-426463,308696,8879,0,8879,299817,128202,171615,4685317,-1604043,17619,1300000,5143356
37,XPLICO INSURANCE COMPANY,0,16970,17100,34070,130195,0,130195,-96124,-18074,-78051,242791,0,0,0,164740
38,TOTAL,5249193,4830537,-35319,10044416,3131506,696196,4479952,5564465,1685483,3878980,32923724,-1956777,1139368,4542658,33077459
39,REINSURERS,,,,,,,,,,,,,,,
40,CONTINENTAL REINSURANCE,132239,0,0,132239,0,0,0,132239,42503,89736,256273,0,0,0,346008
41,EAST AFRICAN REINSURANCE ,122639,505062,1258,628959,0,2877,80281,548678,129389,419289,1750744,-181630,0,100000,2251662
42,GHANA REINSURANCE COMPANY,34944,0,49,34993,0,8099,8099,26894,10805,16089,36616,0,0,0,52705
43,KENYA REINSURANCE CORPORATION,2360242,513490,54876,2928608,0,204884,563362,2365245,591122,1774123,21008791,0,22305,594957,22165652
44,TOTAL,2650064,1018552,56183,3724799,0,215860,651742,3073056,773819,2299237,23052424,-181630,22305,694957,24816027
45,GRAND TOTAL,7899257,5849089,20864,13769215,3131506,912056,5131694,8637521,2459302,6178217,55976148,-2138407,1161673,5237615,57893486
46,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,0,241139,50949,292088,709932,0,753366,-461279,-118796,-342483,-2354,0,0,0,-344837
2,AFRICAN MERCHANT ASSURANCE ,0,0,0,0,25421,0,25421,-25421,-8007,-17414,523649,0,0,0,506236
3,AIG INSURANCE COMPANY,264241,320928,-12477,572693,0,0,0,572693,155838,416855,1215782,0,0,300000,1332637
4,ALLIANZ INSURANCE COMPANY,0,0,0,0,176582,0,176582,-176582,-49525,-127057,-27606,0,0,0,-154663
5,APA INSURANCE COMPANY,66132,1062559,26066,1154757,0,0,362499,792258,132495,659764,3818038,0,0,200000,4277802
6,BRITAM GENERAL INSURANCE,544601,0,0,544601,0,0,0,544601,74992,469608,246958,0,0,0,716566
7,CANNON ASSURANCE COMPANY ,0,102383,0,102383,273201,0,273201,-170818,-9572,-161246,32810,0,137501,0,-265937
8,CIC GENERAL INSURANCE COMPANY,335212,0,0,335212,0,0,0,335212,63337,271875,2379582,0,0,182000,2469456
9,CORPORATE INSURANCE COMPANY,42883,0,0,42883,0,0,0,42883,13679,29204,526734,0,0,8000,547938
10,DIRECTLINE ASSURANCE COMPANY,103159,137966,35919,277044,0,105331,108268,168776,49103,119673,731479,0,0,0,851153
11,FIDELITY SHIELD INSURANCE  ,7744,146912,0,154656,0,39778,136910,17746,496,17251,461593,0,0,0,478844
12,FIRST ASSURANCE COMPANY,0,179263,0,179263,194248,0,194248,-14985,41971,-56955,811994,-160,41328,251477,462393
13,GA INSURANCE COMPANY,1041618,0,0,1041618,0,0,0,1041618,256731,784887,1089453,27776,0,0,1846564
14,GEMINIA INSURANCE COMPANY ,397677,0,2361,400038,0,2735,11335,388702,116383,272319,441141,0,0,70000,643461
15,HERITAGE INSURANCE COMPANY,889708,0,0,889708,0,118726,118726,770982,193892,577090,2024681,0,0,0,2601771
16,ICEA LION GENERAL INSURANCE,226828,954474,0,1181302,0,86913,137085,1044217,242371,801847,2146659,0,0,200000,2748506
17,INTRA-AFRICA ASSURANCE ,30554,24619,16514,71687,0,14425,23564,48123,15882,32240,88377,0,0,10000,110617
18,INVESCO ASSURANCE COMPANY ,0,34827,58,34885,262954,0,263384,-228499,-54351,-174148,-1336363,0,0,0,-1510511
19,JUBILEE INSURANCE COMPANY,1997129,0,0,1997129,0,0,0,1997129,411472,1585657,3530573,0,0,1000000,4116230
20,KENINDIA ASSURANCE COMPANY ,349183,0,63428,412611,0,17201,158816,253795,68621,185174,1858986,0,-1092,0,2045252
21,KENYA ORIENT INSURANCE,0,138198,4876,143074,14696,85327,134356,8718,-6555,15273,-160259,0,0,0,-144987
22,MADISON INSURANCE COMPANY,71608,0,0,71608,0,0,0,71608,8658,62950,761937,0,0,0,824887
23,MAYFAIR INSURANCE COMPANY,260755,218960,-33148,446568,0,3764,37027,409540,139024,270516,884909,0,0,250000,905425
24,OCCIDENTAL INSURANCE COMPANY ,194278,0,519,194797,0,63544,79768,115029,21618,93411,340918,0,0,32571,401758
25,PACIS INSURANCE COMPANY,69726,0,0,69726,0,0,0,69726,25800,43926,389461,0,0,25250,408138
26,PHOENIX OF EAST AFRICA,0,0,0,0,14867,0,14867,-14867,0,-14867,710314,0,0,0,695447
27,PIONEER GENERAL INSURANCE,0,58645,0,58645,53601,0,53601,5044,1901,3143,0,0,0,0,3143
28,RESOLUTION INSURANCE COMPANY,0,0,0,0,718628,0,718628,-718628,-193208,-525420,-1186931,0,0,0,-1712351
29,SAHAM INSURANCE COMPANY ,104803,0,0,104803,0,0,0,104803,26314,78489,149779,0,0,0,228268
30,SANLAM LIFE INSURANCE ,102508,0,0,102508,0,0,0,102508,33669,68839,-274293,0,0,0,-205454
31,TAKAFUL INSURANCE OF AFRICA,0,0,56211,56211,175533,37527,213060,-156849,-43779,-113070,-23154,0,0,0,-136224
32,TAUSI ASSURANCE COMPANY,106099,200749,23299,330148,0,7065,17250,312898,63962,248936,372332,0,-3080,72000,552348
33,THE KENYAN ALLIANCE INSURANCE ,273837,0,0,273837,0,0,0,273837,99597,174239,930673,0,0,12884,1092028
34,THE MONARCH INSURANCE ,68694,23484,37923,130100,0,9163,66130,63970,10006,53964,57312,0,0,0,111277
35,TRIDENT INSURANCE COMPANY ,0,35528,0,35528,119287,39408,158695,-123167,19114,-142281,1467160,-8363,0,0,1333242
36,UAP INSURANCE COMPANY,1324148,0,0,1324148,0,0,0,1324148,354933,969215,4787885,291783,0,780000,4685317
37,XPLICO INSURANCE COMPANY,0,0,70800,70800,9169,0,9169,61631,8914,52717,170404,0,0,0,223121
38,TOTAL,8873125,3880634,343298,13097059,2748119,630907,4245956,8851100,2166980,6684121,29940613,311036,174657,3394182,32744861
39,REINSURERS,,,,,,,,,,,,,,,
40,CONTINENTAL REINSURANCE,0,44063,0,44063,19215,113572,132786,-88723,-36418,-52305,308578,0,0,0,256273
41,EAST AFRICA REINSURANCE ,122595,485631,7788,616013,0,0,49828,566186,137261,428924,1223536,-98283,0,100000,1650744
42,KENYA REINSURANCE CORPORATION,3022873,1058934,61138,4142945,0,0,0,4142945,764156,3378789,18226843,0,36882,559959,21008791
43,TOTAL,3145468,1588628,68926,4803021,19215,113572,182614,4620408,864999,3755408,19758957,-98283,36882,659959,22915808
44,GRAND TOTAL,12018593,5469262,412224,17900080,2767334,744479,4428570,13471508,3031979,10439529,49699570,212753,211539,4054141,55660669
45,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
