,COMPANY,PROFIT TRANSFERRED FROM REVENUE,INVESTMENT INCOME,OTHER INCOME,TOTAL INCOME,LOSS TRANSFERRED FROM REVENUE,MANAGEMENT EXPENSES,TOTAL OUTGO,PROFIT /(LOSS) BEFORE TAXATION,PROVISION FOR TAXATION,PROFIT/(LOSS) AFTER TAXATION,UNAPPROPRIATED PROFIT/(LOSS) BF,TRANSFER TO RESERVES,OTHER APPROPRIATIONS,DIVIDEND,UNAPPROPRIATED PROFIT /(LOSS) CF
16,ICEA LION GENERAL INSURANCE,"141,720","802,101",-,"943,822",-,"468,647","536,548","407,274","94,125","313,149","2,033,510",-,-,"200,000","2,146,659"
17,INTRA-AFRICA ASSURANCE,"7,686","46,586","5,932","60,205",-,"12,046","18,688","41,517","14,632","26,885","67,724",-,-,"7,500","87,108"
18,INVESCO ASSURANCE COMPANY,"4,150","38,284","1,046","43,480",-,-,"37,174","6,306","21,356","( 15,050 )","( 1,321,314 )",-,-,-,"( 1,336,363 )"
19,JUBILEE INSURANCE COMPANY,"817,858",-,-,"817,858",-,-,-,"817,858","227,001","590,856","3,965,149",-,"695,432","330,000","3,530,573"
20,KENINDIA ASSURANCE COMPANY,"227,898",-,"75,829","303,727",-,"14,091","81,045","222,682","( 10,266 )","232,948","1,637,585","( 43,242 )","( 1,435 )","56,224","1,858,986"
21,KENYA ORIENT INSURANCE,"189,018",-,"2,042","191,060",-,"118,542","118,542","72,518","17,447","55,071","( 215,330 )",-,-,-,"( 160,259 )"
22,MADISON INSURANCE COMPANY,-,-,-,-,"2,014",-,"2,014","( 2,014 )","( 37,940 )","35,926","726,011",-,-,-,"761,937"
23,MAYFAIR INSURANCE COMPANY,"236,501","207,400","28,235","472,135",-,"1,173","68,257","403,878","118,756","285,123","719,888","( 4,898 )",-,"125,000","884,909"
24,OCCIDENTAL INSURANCE COMPANY,"227,158",-,"1,191","228,349",-,"40,639","42,403","185,946","48,576","137,369","278,594",-,-,"75,045","340,918"
25,PACIS INSURANCE COMPANY,"36,437","5,902","23,025","65,365",-,"6,153","6,153","59,211","14,905","44,306","345,155",-,-,-,"389,461"
26,PHOENIX OF EAST AFRICA,-,-,-,-,"262,046",-,"262,046","( 262,046 )","134,587","( 396,633 )","1,106,948",-,-,-,"710,315"
27,PIONEER GENERAL INSURANCE,-,"9,123",-,"9,123",-,"9,082","9,082",41,12,29,-,-,-,-,29
28,RESOLUTION INSURANCE COMPANY,-,-,-,-,"563,054",-,"563,054","( 563,054 )","( 138,166 )","( 424,888 )","( 479,189 )",-,-,-,"( 904,077 )"
29,SAHAM INSURANCE COMPANY,"62,018",-,-,"62,018",-,-,-,"62,018","12,313","49,705","152,074","22,000",-,"30,000","149,779"
30,SANLAM LIFE INSURANCE,-,-,-,-,"36,792",-,"36,792","( 36,792 )",-,"( 36,792 )","( 237,497 )",-,-,-,"( 274,289 )"
31,TAKAFUL INSURANCE OF AFRICA,"128,523",-,"106,140","234,663",-,"94,081","94,081","140,582","39,530","101,052",-,-,-,-,"101,052"
32,TAUSI ASSURANCE COMPANY,"117,911","146,786",929,"265,626",-,"18,544","28,809","236,818","65,209","171,609","257,984","( 2,739 )",-,"60,000","372,332"
33,THE KENYAN ALLIANCE INSURANCE,"67,740",-,-,"67,740",-,-,-,"67,740","25,510","42,230","1,164,110","250,000",-,"25,667","930,673"
34,THE MONARCH INSURANCE,-,"18,629","25,104","43,733","9,464","4,107","27,282","16,451","( 2,127 )","18,577","61,735",-,-,"23,000","57,312"
35,TRIDENT INSURANCE COMPANY,-,"122,600","16,992","139,592","60,082","57,042","124,759","14,833","35,490","( 20,657 )","1,487,817",-,"( 4,181 )",-,"1,471,341"
36,UAP INSURANCE COMPANY,-,"1,064,946","24,259","1,089,205","261,979",-,"261,979","827,226","205,732","621,494","5,336,622","170,232","400,000","600,000","4,787,884"
37,XPLICO INSURANCE COMPANY,-,"32,650",-,"32,650","30,512",-,"30,512","2,139","15,081","( 12,943 )",-,-,-,-,"( 12,943 )"
38,TOTAL,"5,042,692","4,745,161","303,616","10,091,471","2,321,579","1,086,723","4,049,625","6,041,846","1,921,743","4,120,099","30,830,540","659,589","1,344,398","2,979,936","29,966,713"
39,REINSURERS,,,,,,,,,,,,,,,
40,CONTINENTAL REINSURANCE,"178,099",-,"49,058","227,157",-,-,-,"227,157","70,605","156,552","152,026","3,066",-,-,"305,512"
41,EAST AFRICA REINSURANCE,"532,340",-,-,"532,340",-,"17,494","56,150","476,190","142,397","333,794","1,127,482","( 82,261 )","200,000","60,000","1,283,536"
42,KENYA REINSURANCE CORPORATION,"2,646,464","54,299","1,014,176","3,714,939",-,"171,369","171,369","3,543,571","667,317","2,876,254","15,760,396","( 2,685 )","( 112,470 )","524,962","18,226,843"
43,TOTAL,"3,356,903","54,299","1,063,234","4,474,436",-,"188,863","227,519","4,246,918","880,319","3,366,600","17,039,904","( 81,880 )","87,530","584,962","19,815,891"
44,GRAND TOTAL,"8,399,595","4,799,460","1,366,850","14,565,907","2,321,579","1,275,586","4,277,144","10,288,764","2,802,062","7,486,699","47,870,444","577,709","1,431,928","3,564,898","49,782,604"
45,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,410727,-,-,410727,-,-,-,410727.0,125533.0,285194.0,-505794,-,-,-,-220600.0
2,AFRICAN MERCHANT ASSURANCE,176987,-,-,176987,-,-,-,176987.0,37530.0,139458.0,421637,-,-,-,561094.0
3,AIG INSURANCE COMPANY,48958,227675,-,276633,-,-,-,276633.0,102428.0,174205.0,1288723,-,-,200000,1262928.0
4,ALLIANZ INSURANCE COMPANY,48607,-,4400,53006,-,-,-,53006.0,16637.0,36369.0,-,-,-,-,36369.0
5,APA INSURANCE COMPANY,78495,886289,131197,1095981,-,-128,232784,863197.0,128234.0,734963.0,2879216,500000,-54281,100000,3068460.0
6,BRITISH AMERICAN INSURANCE,-,-,-,-,269538,-,269538,-269538.0,-59500.0,-210038.0,34914,-,-,-,-175124.0
7,CANNON ASSURANCE COMPANY,-,121483,-,121483,126379,-,126379,-4896.0,-15253.0,10357.0,423150,-44949,7685,-,470772.0
8,CIC GENERAL INSURANCE COMPANY,121395,695364,-,816759,-,-,-,816759.0,160683.0,656076.0,1905501,-,-,-,2561577.0
9,CORPORATE INSURANCE COMPANY,220396,-,-,220396,-,-,-,220396.0,41614.0,178782.0,465560,-,100000,40000,504342.0
10,DIRECTLINE ASSURANCE COMPANY,-,541931,6155,548086,292531,3631,352214,195872.0,18817.0,177055.0,408992,-,-,-,586047.0
11,FIDELITY SHIELD INSURANCE,-,314583,-,314583,92450,181627,274077,40506.0,-17998.0,58503.0,492459,-,-,-,550963.0
12,FIRST ASSURANCE COMPANY,25496,395190,-,420685,-,-,-,420685.0,90287.0,330399.0,1156101,34873,31229,68451,1351946.0
13,GA INSURANCE COMPANY,579087,-,-,579087,-,-,-,579087.0,177986.0,401101.0,890806,45316,-,202500,1044092.0
14,GATEWAY INSURANCE COMPANY,-,-,-,-,254392,-,254392,-254392.0,-130602.0,-123791.0,-113709,-,-,-,-237500.0
15,GEMINIA INSURANCE COMPANY,191970,-,370,192339,-,656,40410,151929.0,44888.0,107041.0,552169,-,10598,45000,603611.0
16,HERITAGE INSURANCE COMPANY,215992,374209,7067,597269,-,5002,76205,521064.0,134166.0,386899.0,1569588,-,-,370000,1586487.0
17,ICEA LION GENERAL INSURANCE,131293,772772,7562,911627,-,297214,343016,568612.0,176716.0,391896.0,2233774,-,400000,250000,1975670.0
18,INTRA-AFRICA ASSURANCE,58621,28024,12479,99123,-,15793,24894,74229.0,36613.0,37615.0,37608,-,-,7500,67724.0
19,INVESCO ASSURANCE COMPANY,12662,35171,9497,57330,-,-,25600,31730.0,-20381.0,52111.0,-1307019,-,-,-,-1254908.0
20,JUBILEE INSURANCE COMPANY,1269667,-,647854,1917521,-,-,-,1917521.0,633265.0,1284256.0,2635029,-45863,-,-,3965149.0
21,KENINDIA ASSURANCE COMPANY,1145460,-,2021,1147482,-,341908,402802,744679.0,16314.0,728365.0,895324,-,-915,-,1624604.0
22,KENYA ORIENT INSURANCE,133721,-,15671,149391,-,117007,117007,32384.0,9336.0,23048.0,71569,-,-,-,94617.0
23,MADISON INSURANCE COMPANY,432772,-,717,433489,-,-,-,433489.0,29992.0,403497.0,322514,-,-,-,726011.0
24,MAYFAIR INSURANCE COMPANY,238417,193603,2651,434671,-,7961,32018,402653.0,24629.0,378024.0,513214,175000,-3649,-,719887.0
25,OCCIDENTAL INSURANCE COMPANY,336839,-,-,336839,-,37464,38932,297907.0,90343.0,207564.0,487724,-,346500,70194,278594.0
26,PACIS INSURANCE COMPANY,39019,-,57180,96199,-,2386,2386,93814.0,21398.0,72416.0,296979,-,-,-,369395.0
27,PHOENIX OF EAST AFRICA,-,170980,-,170980,28450,41868,70317,100663.0,25224.0,75440.0,1122007,-,-,90000,1107447.0
28,RESOLUTION HEALTH INSURANCE,-,27912,12255,40167,381899,-,381899,-341732.0,-95387.0,-246345.0,-143623,-,-,-,-389968.0
29,SAHAM ASSURANCE,27345,-,-,27345,-,-,-,27345.0,496.0,26849.0,140201,-,-,14965,152085.0
30,TAKAFUL INSURANCE OF AFRICA,9606,-,15006,24612,-,-,-,24612.0,6392.0,18220.0,-142426,-,-,-,-124206.0
31,TAUSI ASSURANCE COMPANY,73150,142911,-,216061,-,6126,15919,200142.0,58545.0,141596.0,262268,97756,-2100,50224,257984.0
32,THE KENYAN ALLIANCE INSURANCE,281136,-,-,281136,-,-,-,281136.0,65299.0,215836.0,1047171,-,-,98897,1164110.0
33,THE MONARCH INSURANCE,47906,14092,58650,120648,-,3309,35663,84985.0,14324.0,70661.0,53074,-,-,62000,61735.0
34,TRIDENT INSURANCE COMPANY,-,112583,147051,259633,53936,50933,109656,149978.0,17721.0,132257.0,1347197,-,-,-,1479454.0
35,UAP INSURANCE COMPANY,-,1040342,67328,1107670,292802,269886,562688,544982.0,113880.0,431102.0,5000602,-368010,63092,400000,5336622.0
36,XPLICO INSURANCE COMPANY,-,40607,-,40607,14924,-,14924,25682.0,15242.0,10441.0,55615,-,-,-,66056.0
37,TOTAL,6355724,6135721,1205111,13696552,1807301,1382643,3803720,9892833.0,2095411.0,7797422.0,26798115,394123,898159,2069731,31233526.0
38,REINSURERS,,,,,,,,,,,,,,,
39,CONTINENTAL REINSURANCE,158140,-,36337,194477,-,11417,14669,179808.0,65807.0,114001.0,91474,-,-26551,80000,152026.0
40,EAST AFRICA REINSURANCE,441325,-,20219,461544,-,-,60293,401252.0,124854.0,276398.0,1145941,-65143,300000,60000,1127482.0
41,KENYA REINSURANCE CORPORATION,2572526,211120,965325,3748971,-,-,-,3748971.0,733130.0,3015841.0,13441918,-3260,210659,489964,15760396.0
42,TOTAL,3171991,211120,1021881,4404992,-,11417,74962,4330031.0,923791.0,3406240.0,14679333,-68403,484108,629964,17039904.0
43,GRAND TOTAL,9527715,6346841,2226992,18101544,1807301,1394060,3878682,14222864.0,3019202.0,11203662.0,41477448,325720,1382267,2699695,48273430.0
44,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,130234,-,-,130234,-,-,-,130234.0,46204,84030.0,44501,634323,-,-,-505792.0
2,AFRICAN MERCHANT ASSURANCE,142654,-,-,142654,-,-,-,142654.0,39308,103346.0,318291,-,-,-,421637.0
3,AIG INSURANCE COMPANY,170766,670630,-,841396,-,-,-,841396.0,146702,694694.0,954171,-,-,400000,1248865.0
4,APA INSURANCE COMPANY,38749,1034052,-,1072800,-,-2138,234936,837864.0,61671,776193.0,2283021,-,-,80000,2979214.0
5,BRITISH AMERICAN INSURANCE,339613,251553,-,591166,-,-,-,591166.0,78039,513127.0,825170,-,-,-,1338298.0
6,CANNON ASSURANCE COMPANY,-,144953,46931,191885,70189,-,70189,121695.0,1928,119767.0,1084652,-,-,781269,423150.0
7,CIC GENERAL INSURANCE COMPANY,125132,719643,-,844775,-,-,-,844775.0,241425,603350.0,1877149,-,-,405000,2075499.0
8,CORPORATE INSURANCE COMPANY,205038,-,-,205038,-,-,-,205038.0,46383,158655.0,385905,-,-,39000,505560.0
9,DIRECTLINE ASSURANCE COMPANY,630915,7449,-,638365,79947,24146,187546,450818.0,70096,380723.0,-,-,-,-,380723.0
10,FIDELITY SHIELD INSURANCE,101808,179215,7034,288058,-,29416,86512,201545.0,51745,149800.0,537207,149548,-,45000,492459.0
11,FIRST ASSURANCE COMPANY,67728,447203,-,514930,-,-,-,514930.0,98026,416904.0,827541,-,8093,80251,1156101.0
12,GA INSURANCE COMPANY,603861,-,-,603861,-,-,-,603861.0,158971,444890.0,677157,6241,-,225000,890806.0
13,GATEWAY INSURANCE COMPANY,25450,-,-,25450,-,-,-,25450.0,5318,20132.0,279570,-,-,-,299702.0
14,GEMINIA INSURANCE COMPANY,345161,-,291,345452,-,633,6435,339017.0,103330,235686.0,409368,-,2886,90000,552169.0
15,HERITAGE INSURANCE COMPANY,201274,513529,1654,716456,-,4023,14466,701990.0,187852,514138.0,1285450,-,-,230000,1569588.0
16,ICEA LION GENERAL INSURANCE,300512,742458,-,1042969,-,174555,216797,826173.0,242956,583217.0,1850557,-,-,200000,2233774.0
17,INTRA-AFRICA ASSURANCE,-,25075,35589,60664,11756,6540,44468,16196.0,1648,14548.0,137625,28100,-21036,7500,137608.0
18,INVESCO ASSURANCE COMPANY,-,31010,1443,32453,28200,-,101914,-69461.0,26760,-96221.0,-1210798,-,-,-,-1307019.0
19,JUBILEE INSURANCE COMPANY,1732918,-,139646,1872564,-,-,-,1872564.0,412337,1460227.0,3374754,-48,1200000,1000000,2635029.0
20,KENINDIA ASSURANCE COMPANY,-,-,7636,7636,273201,14741,368270,-360634.0,-107940,-252694.0,1172502,-,-3585,28069,895324.0
21,KENYA ORIENT INSURANCE,237761,-,2666,240427,-,98497,98497,141930.0,52814,89116.0,-17547,-,-,-,71569.0
22,MADISON INSURANCE COMPANY,12753,-,21396,34149,-,-,-,34149.0,-,34149.0,381408,-,-,-,415557.0
23,MAYFAIR INSURANCE COMPANY,188190,192898,1359,382447,-,1286,22336,360110.0,102410,257701.0,275513,-,-,20000,513214.0
24,OCCIDENTAL INSURANCE COMPANY,101527,210384,34062,345973,-,32976,34373,311600.0,67905,243695.0,323724,-,-,79695,487724.0
25,PACIS INSURANCE COMPANY,60535,59367,70627,190529,-,19908,19908,170621.0,50513,120108.0,352876,-,-,-,472984.0
26,PHOENIX OF EAST AFRICA,-,113772,943479,1057251,179641,77166,256807,800444.0,21357,779087.0,647918,-,-,305000,1122005.0
27,REAL INSURANCE COMPANY,-58634,102770,58505,102640,-,5420,77089,25552.0,10450,15101.0,37508,-,-8204,25898,34916.0
28,RESOLUTION HEALTH INSURANCE,-,-,-,-,138004,-,138004,-138004.0,-37685,-100319.0,45411,-,-,-,-54908.0
29,SAHAM ASSURANCE,21354,-,-,21354,-,-,-,21354.0,2544,18810.0,139368,8988,-,9000,140190.0
30,TAKAFUL INSURANCE OF AFRICA,-,-,-,-,20487,-22351,-1864,1864.0,4966,-3102.0,-139324,-,-,-,-142426.0
31,TAUSI ASSURANCE COMPANY,35509,170757,-,206265,-,5631,19943,186323.0,53012,133310.0,176183,-,-2999,50224,262268.0
32,THE KENYAN ALLIANCE INSURANCE,175734,-,-,175734,-,-,-,175734.0,73633,102102.0,955596,-,-,10526,1047171.0
33,THE MONARCH INSURANCE,99555,9578,46957,156091,-,3702,27420,128672.0,36001,92671.0,10403,-,-,50000,53074.0
34,TRIDENT INSURANCE COMPANY,47022,155654,21399,224074,-,30356,38052,186022.0,43613,142409.0,1246161,-4181,-,-,1392751.0
35,UAP INSURANCE COMPANY,303159,1138224,6032,1447415,-,310003,343343,1104072.0,249503,854569.0,3178379,-1916845,-50810,1000000,5000603.0
36,XPLICO INSURANCE COMPANY,-54329,34591,-,-19739,-,-,-,-19739.0,-3519,-16220.0,71835,-,-,-,55615.0
37,TOTAL,6331949,6954765,1446706,14733416,801425,814510,2405441,12327975.0,2640276,9687699.0,24799205,-1093874,1124345,5161432,29295002.0
38,REINSURERS,,,,,,,,,,,,,,,
39,CONTINENTAL REINSURANCE,147757,52992,1081,201830,-,51501,71033,130797.0,39763,91034.0,53655,-,-,53215,91474.0
40,EAST AFRICA REINSURANCE,151629,322940,35273,509842,-,24718,63308,446534.0,125724,320810.0,880517,-,-,60000,1141326.0
41,KENYA REINSURANCE CORPORATION,2245528,144921,906884,3297333,-,-,-,3297333.0,569810,2727523.0,11098665,-35689,-,419959,13441918.0
42,TOTAL,2544914,520853,943238,4009005,-,76219,134341,3874664.0,735297,3139367.0,12032837,-35689,-,533174,14674718.0
43,GRAND TOTAL,8876863,7475618,2389944,18742421,801425,890729,2539782,16202639.0,3375573,12827066.0,36832042,-1129563,1124345,5694606,43969720.0
44,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR Insurance Kenya,62099,-,20556,82654.0,-,-,-,82654.0,36813,45841.0,-1340,-,-,-,44501.0
2,African Merchant Assurance,145097,-,-,145097.0,-,-,-,145097.0,12092,133005.0,-,-,-,-,133005.0
3,AIG Insurance Company,133309,299894,-,433203.0,-,-,-,433203.0,88754,344449.0,759722,150000,-,-,954171.0
4,APA Insurance Company,54104,681361,-,735465.0,-,-,176665,558801.0,116436,442365.0,1729491,-,-,130000,2041856.0
5,British American Insurance,637243,19097,348734,1005074.0,-,-,-,1005074.0,157109,847965.0,735105,57900,-,700000,825170.0
6,Cannon Assurance Company,191969,-,79633,271602.0,-,-,-,271602.0,10748,282350.0,847302,-,-,45000,1084652.0
7,CIC General Insurance Company,979058,-,-,979058.0,-,-,-,979058.0,251182,727876.0,1656773,-,-,507500,1877149.0
8,Corporate Insurance Company,9634,109123,-,118757.0,-,-,-,118757.0,14503,104254.0,-,-,-,-,104254.0
9,Directline Assurance Company,145938,-,-,145938.0,-,-,-,145938.0,25219,120719.0,-,-,-,-,120719.0
10,Fidelity Shield Insurance,46584,188249,4333,239166.0,-,33279,88193,150973.0,36387,114587.0,452666,-,-,30045,537207.0
11,First Assurance Company,159984,298429,25058,483472.0,-,-,-,483472.0,130354,353118.0,586979,-,-,112556,827541.0
12,Ga Insurance Company,583794,-,-,583794.0,-,-,-,583794.0,149264,434530.0,617627,-,150000,225000,677157.0
13,Gateway Insurance Company,172321,-,-,172321.0,-,-,-,172321.0,22405,149916.0,175446,-,-,-,325362.0
14,Geminia Insurance Company,332298,-,678,332976.0,-,278,6170,326806.0,97377,229429.0,279156,-,9217,90000,409368.0
15,Heritage Insurance Company,310409,419257,-,729666.0,-,8893,18539,711127.0,174215,536911.0,808343,140196,-,200000,1285450.0
16,ICEA Lion General Insurance,372853,672322,-,1045174.0,-,157190,172616,872558.0,232890,639668.0,1590888,-,-,180000,2050556.0
17,Intra-Africa Assurance,1241,26758,59357,87356.0,-,-5759,5337,82019.0,5502,76517.0,115308,-,-,7500,184325.0
18,Invesco Assurance Company,-,23721,12558,36278.0,74843,-,116877,-80598.0,396520,315922.0,-1438681,-,-,-,-1122759.0
19,Jubilee Insurance Company,882224,772,11,883007.0,-,-,-,883007.0,396366,486642.0,2756217,-,600000,500000,2142859.0
20,Kenindia Assurance Company,173723,409092,-11094,571721.0,-,14463,93701,478019.0,23402,454617.0,716125,-1760,-,-,1172502.0
21,Kenya Orient Insurance,124759,-,69750,194509.0,-,84231,84231,110278.0,19999,90278.0,85905,-,-,-,176184.0
22,Madison Insurance Company,-11428,82806,-,71378.0,-,-,-,71378.0,-,71378.0,310030,-,-,-,381408.0
23,Mayfair Insurance Company,50806,292012,8083,350901.0,-,1223,23164,327737.0,97614,230123.0,59390,-,-,14000,275513.0
24,Mercantile Insurance Company,-,58947,3087,62034.0,47055,2911,49965,12069.0,-,12069.0,135041,-,-,7500,139610.0
25,Occidental Insurance Company,64845,126459,72924,264229.0,-,28265,29605,234624.0,34673,199951.0,175748,-,-,51975,323724.0
26,Pacis Insurance Company,55116,-,233997,289113.0,-,-,6881,282232.0,30820,251412.0,-,-,8941,-,242471.0
27,Phoenix Of East Africa,-,232061,-,232061.0,57109,61662,118772,113289.0,-,113289.0,-,-,-,-,113289.0
28,Real Insurance Company,49387,83130,7743,140260.0,-,10933,10933,129327.0,26776,102551.0,347387,-,-,105000,344938.0
29,Resolution Health Insurance,76192,-,-,76192.0,-,-,-,76192.0,25780,50411.0,-,-,-,-,50411.0
30,Takaful Insurance of Africa,-,-,9744,9744.0,25995,-,25995,-16251.0,-,-16251.0,-,-,-,-,-16251.0
31,Tausi Assurance Company,102796,170838,-,273634.0,-,5234,14191,259443.0,71381,188063.0,144081,105736,-,50224,176183.0
32,The Kenyan Alliance Insurance,931334,-,-,931334.0,-,-,-,931334.0,35492,895842.0,765754,-,-,706000,955596.0
33,The Monarch Insurance,82,12410,32978,45470.0,-,3314,20062,25408.0,8474,16934.0,-6531,-,-,-,10403.0
34,Trident Insurance Company,157677,-,34800,192477.0,-,20967,29044,163433.0,42049,121384.0,-,-,-,-,121384.0
35,UAP Insurance Company,681645,935858,16330,1633832.0,-,400620,400620,1233213.0,199132,1034080.0,2595701,-,31402,420000,3178379.0
36,Xplico Insurance Company,191421,-,-,191421.0,-,55449,134779,56642.0,19129,37513.0,34322,-,-,-,71835.0
37,Total,7868514,5142596,1029260,14040368.0,205002,883153,1626340,12414030.0,2174321,10239708.0,17033955,171680,799560,4082300,22220122.0
38,REINSURERS,,,,,,,,,,,,,,,
39,Continental Reinsurance,31152,32305,168,63625.0,-,973,8724,54901.0,21986,32914.0,20741,-,-,-,53655.0
40,East African Reinsurance,108589,318513,76979,504081.0,-,-,27340,476741.0,122114,354627.0,765890,-,200000,40000,880517.0
41,Kenya Reinsurance Corporation,1859593,355346,333472,2548410.0,-,-,-,2548410.0,241197,2307213.0,-,-,-,-,2307213.0
42,Total,1999334,706164,410619,3116116.0,-,973,36064,3080052.0,385297,2694754.0,786631,-,200000,40000,3241385.0
43,Grand Total,9867848,5848760,1439879,17156484.0,205002,884126,1662404,15494082.0,2559618,12934462.0,17820586,171680,999560,4122300,25461507.0
44,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
