,SHARE CAPITAL,SHARE PREMIUM,REVALUATION RESERVES,STATUTORY RESERVES,RETAINED EARNINGS,OTHER RESERVES,TOTAL EQUITY,UNDERWRITING PROVISIONS,ACTUARIAL CONTRACT LIABILITIES,LONGTERM LIABILITIES,CURRENT LIABILITIES,TOTAL EQUITY AND LIABILITIES,LAND AND BUILDINGS,INVESTMENT PROPERTY,OTHER FIXED ASSETS,GOVERNMENT SECURITIES,OTHER SECURITIES,INVESTMENT IN RELATED COMPANIES,CORPORATE BONDS,COMMERCIAL PAPERS,DEBENTURES,ORDINARY SHARES QUOTED,ORDINARY SHARES UNQUOTED,PREFERENCE SHARES QUOTED,PREFERENCE SHARES UNQUOTED,LOANS SECURED & UNSECURED,MORTGAGES,TERM DEPOSITS,CASH AND CASH BALANCES,OUTSTANDING PREMIUMS,OTHER RECEIVABLES,OTHER ASSETS,INTANGIBLE ASSETS,TOTAL ASSETS
DIRECTLINE ASSURANCE COMPANY,"300,000",-,"-106,911",-,"731,479",-,"924,568","4,163,453",-,-,"88,060","5,176,081",-,"2,066,550",-,"972,055",-,"14,500",-,-,-,"118,372",-,-,-,"2,000",-,"312,350","1,396,305",-,-,"203,508","90,442","5,176,081"
EAST AFRICA REINSURANCE COMPANY,"1,000,000",-,"201,758",-,"1,223,536","68,460","2,493,753","2,050,577",-,"79,599","1,074,053","5,697,982","387,072","780,000","6,372","1,473,667",-,-,"358,846",-,-,"75,508",-,-,-,"8,724","43,929","1,468,657","74,744","611,478","70,375","40,041","298,570","5,697,982"
"FIDELITY SHIELD INSURANCE
COMPANY","600,000",-,"105,672",-,"461,593",-,"1,167,266","1,493,015",-,-,"103,245","2,763,526","274,034","1,121,766","33,296","234,751",-,-,-,-,-,"90,590",-,-,-,"5,666","26,240","150,465","80,016","557,570",-,"122,209","66,922","2,763,526"
FIRST ASSURANCE COMPANY,"660,000","512,139","244,357",-,"811,994",-,"2,228,489","2,233,046",-,-,"687,748","5,149,283","338,000","1,385,000","19,878","826,806",-,"52,929","56,229",-,-,"33,626",-,-,-,"17,666",-,"1,312,494","71,461","638,587","15,976","333,520","47,111","5,149,283"
GA GENERAL INSURANCE COMPANY,"700,000",-,"829,766",-,"1,089,453","224,093","2,843,312","4,245,563",-,-,"1,458,770","8,547,646","1,152,000","1,396,070","29,098","2,050,772",-,"356,109","269,515","10,162",-,"343,998","208,806",-,-,"211,637",-,"756,893","52,413","1,295,766","6,928","65,338","342,141","8,547,646"
"GEMINIA INSURANCE COMPANY
LIMITED","550,000",-,"578,992",-,"441,141","97,951","1,668,084","2,134,456",-,"1,904","265,259","4,069,704","19,206","973,000","34,841","817,200",-,-,"24,300",-,-,"132,563","6,849",-,-,"98,098",-,"819,635","124,806","463,454","15,997","538,577","1,179","4,069,704"
HERITAGE INSURANCE COMPANY,"500,000",-,-,-,"2,024,681",-,"2,524,681","2,793,259",-,-,"619,083","5,937,023",-,"14,563","103,448","2,662,602",-,"121,369","190,770",-,-,"97,826",-,-,-,"48,703","262,860","820,653","54,914","1,246,035","50,965","226,648","35,669","5,937,023"
"ICEA LION GENERAL INSURANCE
COMPANY","1,000,000",-,"174,133",-,"2,146,660","150,000","3,470,793","4,490,912",-,"471,116","1,264,625","9,697,446",-,"2,640,000","141,592","4,100,655","41,647","50,147","264,948",-,-,"755,877","12,339",-,-,"24,028",-,"270,223","24,346","768,509","137,829","197,399","267,907","9,697,446"
INTRA-AFRICA ASSURANCE COMPANY,"400,000",-,"328,452",-,"87,108","7,500","823,060","864,732",-,-,"66,415","1,754,207","133,120","294,260","21,004","227,146",-,-,-,-,-,"58,786",-,-,-,"11,947","12,733","263,904","31,342","559,882","99,183","2,728","38,171","1,754,207"
INVESCO ASSURANCE COMPANY,"1,680,000",-,508,-,"-1,336,363",-,"344,144","2,443,284",-,"139,720","176,638","3,103,786","74,533","1,178,480","59,298","176,000",-,-,-,-,-,"2,580",-,-,-,-,-,"165,860","315,930","404,337","272,490",-,"454,276","3,103,786"
JUBILEE INSURANCE COMPANY,"2,000,000",-,"21,912",-,"3,530,573",-,"5,552,485","6,840,193",-,-,"1,490,783","13,883,461",-,-,"54,800","2,961,418",-,"1,706,099","21,477",-,-,"1,339,466","583,636",432,-,"15,674","77,641","1,139,242","96,770","4,445,435","753,335","323,135","364,901","13,883,461"
KENINDIA ASSURANCE COMPANY,"400,000","1,198","-11,542",-,"1,858,986","329,573","2,578,215","2,425,794",-,"101,039","2,434,352","7,539,400","679,758","1,094,468","76,526","2,208,864",-,"81,905","52,780","41,082",-,"46,148","122,779",-,-,440,-,"505,889","34,765","1,811,358",-,"735,034","47,605","7,539,400"
KENYA ORIENT INSURANCE COMPANY,"810,721",-,"191,942",-,"-160,259","50,000","892,403","1,753,905",-,"107,307","264,683","3,018,299","77,122","429,152","50,816","170,453",-,"170,000","5,252",-,-,"5,922","859,050",-,-,-,-,"68,293","17,982","774,396","31,532","200,129","158,201","3,018,299"
KENYA REINSURANCE CORPORATION,"1,749,873",-,"3,795",-,"18,226,843","660,933","20,641,444","9,739,595",-,-,"576,774","30,957,813","28,098","7,438,000","79,866","9,463,737",-,"4,095,607","487,923",-,-,"1,830,479","202,231",89,-,-,"707,417","1,067,006","305,855","3,120,695","227,357","334,124","1,569,330","30,957,813"
MADISON INSURANCE COMPANY,"300,000",-,-,-,"761,937",-,"1,061,937","1,976,753",-,-,"184,506","3,223,196",-,"712,000","47,419","576,247",-,-,"16,584",-,-,"9,992","367,793",-,-,-,-,"140,657","10,529","1,039,201","124,584","32,729","145,459","3,223,196"
MAYFAIR INSURANCE COMPANY,"600,000",-,"338,186",-,"884,909",-,"1,823,095","1,700,004",-,-,"472,553","3,995,652","215,963","434,974","84,189","430,268",-,"335,194","111,380",-,-,"164,948","549,192",-,-,"11,539",-,"1,039,416","69,776","427,082",-,"103,872","17,859","3,995,652"
OCCIDENTAL INSURANCE COMPANY,"693,000",-,"-9,185",-,"340,918","30,000","1,054,734","1,574,184",-,-,"248,586","2,877,504",-,"491,000","39,291","1,056,675",-,-,"11,183",-,-,"95,961","100,825",-,-,-,-,"171,000","67,174","671,370","37,335","33,842","101,848","2,877,504"
PACIS INSURANCE COMPANY,"503,000","17,712",-,-,"389,461",-,"910,173","957,809",-,-,"186,250","2,054,233","113,850","730,000","36,915","156,955",-,-,-,-,-,"1,182","1,020",-,-,-,-,"28,101","216,534","588,693",-,"109,259","71,723","2,054,233"
PHOENIX OF EAST AFRICA ASSURANCE,"300,000",-,"52,489",-,"710,315",-,"1,062,804","416,135",-,-,"78,979","1,557,918",-,-,"33,021","517,500",-,"143,807",-,-,-,"159,125",-,-,-,"3,903",-,"51,021","18,470","324,044","84,005","183,757","39,264","1,557,918"
PIONEER GENERAL INSURANCE,"600,000",-,-,-,29,"30,000","630,029",-,-,-,"22,538","652,567",-,-,-,"30,000",-,-,-,-,-,-,-,-,-,-,-,"600,000",-,-,"22,567",-,-,"652,567"
RESOLUTION INSURANCE COMPANY,"410,000","990,000","-8,010",-,"-904,077",-,"487,913","1,017,384",-,-,"2,964,993","4,470,290",-,-,"145,578","372,559",-,-,-,-,-,-,-,-,-,-,-,"569,340","29,344","2,232,994","506,855","334,076","279,544","4,470,290"
SAHAM INSURANCE COMPANY,"300,000",-,"-4,945",-,"149,779","30,000","474,834","526,957",-,-,"251,665","1,253,455",-,-,"10,348","419,144",-,-,"55,796",-,-,"30,543",-,-,-,"9,692",-,"302,282","19,402","333,179",-,"40,051","33,017","1,253,455"
SANLAM INSURANCE COMPANY,"600,284","102,759","77,611",-,"-274,289",-,"506,366","1,468,369",-,-,"207,993","2,182,728",-,"516,700","23,605","224,800",-,-,"15,000",-,-,558,"104,095",-,-,"9,578",-,"154,759","89,453","332,973","11,660","687,809","11,739","2,182,728"
TAKAFUL INSURANCE OF AFRICA,"470,203","50,000",-,-,"-23,154",-,"497,049","652,175",-,"40,000","274,289","1,463,513",-,"21,100","47,501","32,547",-,-,"56,769",-,-,-,-,-,-,-,-,"557,995","159,846","262,552",-,"274,603","50,601","1,463,513"
TAUSI ASSURANCE COMPANY,"600,000",-,"149,944",-,"372,332","-25,035","1,097,241","735,124",-,"50,682","101,574","1,984,621","270,031",-,"19,047","1,009,123",-,-,-,"21,684",-,"184,925","5,713",-,-,"4,118","94,115","214,605","14,471","80,668",-,"13,933","52,187","1,984,621"
"THE KENYAN ALLIANCE INSURANCE
COMPANY","300,000",-,"97,313",-,"930,673","-1,700","1,326,286","1,242,501",-,"56,794","700,609","3,326,190","115,000","1,260,849","43,605","374,564",-,-,"28,422",-,-,"21,122",-,-,-,"9,461",-,"611,221","28,827","584,782","96,138","91,179","61,022","3,326,190"
THE MONARCH INSURANCE COMPANY,"316,476",-,-,-,"57,312","23,000","396,789","766,881",-,-,"81,744","1,245,413",-,"376,518","7,517","171,175",-,-,-,-,-,-,59,-,-,-,-,"58,334","23,140","516,233","3,250","44,090","45,097","1,245,413"
TRIDENT INSURANCE COMPANY,"500,000",-,"196,767",-,"1,471,341","25,000","2,193,108","1,584,547",-,"56,715","425,224","4,259,595","240,660","1,716,399","16,796","249,061","16,955","615,600","23,750",-,-,"5,113","7,985",-,-,"764,109",-,"61,427","4,210","478,837","29,840","23,508","5,345","4,259,595"
UAP INSURANCE COMPANY,"1,000,000",-,-,-,"4,787,884","1,859,987","7,647,871","6,617,516",-,-,"1,790,448","16,055,834",-,"3,636,700","67,768","3,399,986",-,-,"807,724",-,-,"1,386,329","65,550",-,-,"906,554","217,410","1,285,487","64,670","1,885,108","1,449,484","544,599","338,467","16,055,834"
XPLICO INSURANCE COMPANY,"887,500",-,"19,670",-,"157,336",-,"1,064,506","686,498",-,-,"341,374","2,092,379","586,500",-,"125,793","80,000","103,000","25,251",-,-,-,-,-,-,-,"3,613",-,"214,108","39,734","593,873","161,457","153,493","5,556","2,092,379"
TOTAL,"30,386,443","2,274,331","3,457,411",-,"49,772,302","4,128,725","90,019,211","100,761,797",-,"1,104,876","23,386,256","215,272,145","5,810,284","35,573,549","2,374,882","55,643,149","1,057,927","8,396,430","4,113,404","109,802",-,"9,559,663","3,552,828",521,-,"2,472,856","1,695,845","22,042,251","5,010,989","38,005,087","5,536,012","7,334,763","6,981,902","215,272,145"
AAR INSURANCE KENYA LIMITED,400000,600523,-,-,-220600,-,779923,2083398,-,-,252190,3115511,-,-,47991,605408,-,-,108977,-,-,-,-,-,-,-,-,1090143,15096,1088122,110719,-,49054,3115511
AFRICAN MERCHANT ASSURANCE COMPANY,857500,-,-,-,561094,12502,1431096,1954713,-,-,251462,3637271,49797,510000,88893,368711,-,-,21843,-,-,17714,-,-,-,18279,-,1377416,167753,871906,4589,121373,18996,3637271
AIG INSURANCE COMPANY,450000,-,-70987,-,1262928,200000,1841941,1748368,-,-,584398,4174707,-,600000,75868,2424458,-,-,-,-,-,-,-,-,-,29023,-,956,119241,594446,-,330716,-,4174707
ALLIANZ INSURANCE COMPANY OF KENYA,1000000,-,-,-,36369,-,1036369,-,-,-,23161,1059530,-,-,707,50345,-,-,-,-,-,-,-,-,-,-,-,874217,91968,-,-,42292,-,1059530
APA INSURANCE COMPANY,1250000,-,-,-,3068460,565428,4883888,8088791,-,-,704315,13676994,-,1160000,95236,4449241,-,573974,15313,284688,-,2090961,52027,-,-,67024,27578,2048194,32480,2176721,119217,173081,311258,13676994
BRITAM GENERAL INSURANCE COMPANY,2668000,-,-,-,-175124,-,2492876,6163832,-,-,634214,9290923,22375,-,177004,4511434,-,215588,517886,-,-,515482,20594,-,-,-,-,1088429,321882,335216,789520,203435,572077,9290923
CANNON ASSURANCE COMPANY LIMITED,300000,-,319102,-,159355,-7685,770772,1291989,-,-,266019,2328780,102500,266000,28003,360480,-,30000,32474,-,-,498308,303423,-,-,11077,34489,60636,30196,290651,181783,35414,63348,2328780
CIC GENERAL INSURANCE COMPANY,1700000,-,-,-,2561577,-77887,4183690,6085489,-,-,528874,10798053,220000,1440000,324415,1272494,315165,-,-,180631,-,440770,19125,-,-,364811,-,2243630,348440,2815871,232909,130811,448981,10798053
CONTINENTAL REINSURANCE PLC,500000,-,-1358,-,152026,-,650668,446235,-,-,236009,1332912,-,-,17986,295466,-,-,65296,-,-,61370,-,-,-,5243,27601,304895,37375,508802,-,8880,-,1332912
CORPORATE INSURANCE COMPANY,400000,-,-,-,504342,40000,944342,280326,-,-,190070,1414738,-,780000,4336,169900,-,-,-,-,-,1628,1524,-,-,2000,-,167805,-,249812,8570,21883,7279,1414738
DIRECTLINE ASSURANCE COMPANY,300000,-,-36517,-,586047,-,849530,3744262,-,450000,94176,5137968,-,1185400,103035,1010633,-,-,-,-,-,226532,-,-,-,16466,-,1437365,660433,-,-,395963,102142,5137968
EAST AFRICAN REINSURANCE COMPANY,1000000,-,212620,-,1127482,10300,2350402,2054694,-,99979,1126738,5631813,399185,765000,4095,928007,-,-,367622,-,-,111599,-,-,-,4965,29259,1872750,68234,886176,120576,74345,-,5631813
"FIDELITY SHIELD INSURANCE
COMPANY",450000,-,97920,-,550963,-,1098883,1357897,-,288310,142864,2887954,266805,1275795,44603,233628,-,-,-,-,-,110110,-,-,-,8465,25462,181873,55667,548222,-,92224,45101,2887954
FIRST ASSURANCE COMPANY,850000,-,137417,-,1351946,-,2339363,2249619,-,-,552382,5141363,186000,1325000,21298,794294,-,52929,66481,-,-,49288,-,-,-,22306,-,1529783,52426,822361,13040,145074,61084,5141363
GA INSURANCE LIMITED,450000,-,829766,-,1044092,205972,2529829,4091544,-,-,1265652,7887026,1161000,1380843,39579,1373278,-,308827,291502,10177,-,383094,184898,-,-,297446,-,808614,24859,1279782,2469,53750,286907,7887026
GATEWAY INSURANCE COMPANY,350284,102759,54362,-,-237500,-,269905,1553311,-,-,218258,2041474,-,1116700,27810,207959,-,-,15000,-,-,885,80738,-,-,4803,-,256746,23584,116095,12665,167727,10763,2041474
GEMINIA INSURANCE COMPANY,300000,-,578992,-,603611,100222,1582824,1748249,-,887,289718,3621679,19484,973000,30674,495200,-,-,24300,-,-,159713,6088,-,-,26179,-,857690,81558,262035,11644,672958,1156,3621679
HERITAGE INSURANCE COMPANY,500000,-,-,-,1586487,-,2086487,2641046,-,-,722716,5450249,-,145000,108413,1432563,-,88370,192349,-,-,161577,-,-,-,70558,274693,1062602,169448,1272086,64328,351140,57122,5450249
"ICEA LION GENERAL INSURANCE
COMPANY",1000000,-,327255,-,1975670,200000,3502924,4110982,-,539945,696310,8850161,-,2590000,162958,3013764,-,50147,303802,-,-,815582,20337,-,-,34847,-,374644,360,859185,116427,241430,266679,8850161
INTRA-AFRICA ASSURANCE COMPANY,400000,-,319752,-,67724,7500,794976,829560,-,-,62695,1687231,130020,288660,22503,222450,-,-,-,-,-,64112,-,-,-,7846,12733,280224,36796,498591,88764,-,34531,1687231
INVESCO ASSURANCE COMPANY,1680000,-,428,-,-1254908,-,425520,2539305,-,70426,83415,3118667,76444,1178480,62646,189000,-,-,-,-,-,2501,-,-,-,-,-,315442,93048,430259,293557,-,477289,3118667
"JUBILEE INSURANCE COMPANY
LIMITED",2000000,-,411780,-,3965149,-,6376929,6121640,-,-,1707749,14206318,-,-,55915,3526746,-,1587320,225992,-,-,1858547,579425,411,-,23398,64709,1438105,166332,3377785,840127,80390,381115,14206318
KENINDIA ASSURANCE COMPANY,400000,1198,-3012,-,1624603,289427,2312216,2328421,-,81251,3788152,8510040,635827,1022868,126789,1079982,-,81905,-,-,-,72003,122779,-,-,680,-,2574834,57259,261115,-,2472938,1061,8510040
KENYA ORIENT INSURANCE COMPANY,810721,-,391005,-,94617,50000,1346343,1301792,-,113093,176214,2937442,79807,429152,45424,171288,-,26685,5248,-,-,5081,1070273,-,-,-,-,109303,53846,560402,171996,68318,140619,2937442
KENYA REINSURANCE CORPORATION,1749873,-,4049,-,15760396,1303395,18817713,9484669,-,-,735839,29038221,28098,6725000,66444,7633477,-,3440365,494146,-,-,2553487,202231,86,-,-,643290,2409186,280741,2651005,290682,312793,1307188,29038221
MADISON INSURANCE COMPANY,300000,-,-,-,726011,-,1026011,1376517,-,8595,122441,2533564,-,567000,56663,227263,277,-,23388,18518,-,8837,244951,-,-,2626,-,337685,41826,814374,71528,3384,115244,2533564
MAYFAIR INSURANCE COMPANY,525000,-,408436,-,719887,-,1653323,1532637,-,32328,431097,3649385,205661,404913,71491,429352,-,321244,129477,-,-,226352,511238,-,-,10063,-,763718,55003,303289,-,208250,9335,3649385
OCCIDENTAL INSURANCE COMPANY,693000,-,1506,-,278594,40194,1013294,1315569,-,1044,250117,2580025,-,441683,29049,650593,-,-,34864,-,-,111234,100825,-,-,-,-,475477,44990,624477,25825,11687,29320,2580025
PACIS INSURANCE COMPANY,303000,17712,-,-,393395,-25219,688888,924616,-,-,128674,1742179,111825,709000,45455,145570,-,-,-,-,-,1603,1420,-,-,-,-,45087,4407,535917,-,88391,53503,1742179
PHOENIX OF EAST AFRICA INSURANCE COMPANY,300000,-,157803,-,1107447,-,1565250,278927,-,-,170160,2014337,-,-,44261,258000,-,143807,-,-,-,265494,-,-,-,5645,-,656819,2056,301914,97187,189003,50152,2014337
RESOLUTION INSURANCE COMPANY,330000,270000,-10997,-,-389968,-,199035,907822,-,-,366848,1473705,-,-,155623,130366,-,-,-,-,-,-,-,-,-,4516,-,429893,32273,298633,58738,165889,197775,1473705
SAHAM INSURANCE COMPANY,300000,-,-4184,-,152085,14965,462866,382819,-,-,202029,1047715,-,-,14445,330310,-,-,72129,-,-,35749,-,-,-,9992,-,380835,26404,152991,-,24859,-,1047715
TAKAFUL INSURANCE OF AFRICA,470203,50000,-,-,-124206,146400,542397,679142,-,-,200792,1422331,-,21100,38737,85026,-,-,80869,-,-,-,-,-,-,-,-,262384,386688,352735,-,155950,38842,1422331
TAUSI ASSURANCE COMPANY,600000,-,152683,-,257984,-17628,993039,696924,-,54362,129761,1874085,275000,-,20599,800034,28893,-,-,-,-,169148,6522,-,-,2764,108119,256677,30565,103404,-,71297,1064,1874085
THE KENYAN ALLIANCE INSURANCE COMPANY,300000,-,85660,-,1164110,2538,1552308,1303252,-,55008,240139,3150706,105000,1255849,40753,174784,-,-,27496,-,-,25583,-,-,-,12360,-,763234,18978,535534,70232,64740,56164,3150706
THE MONARCH INSURANCE COMPANY,316476,-,-,-,61735,62000,440211,490542,-,-,64681,995434,-,409025,1980,137551,-,-,-,-,-,-,59,-,-,-,-,5393,6994,370060,3980,26506,33885,995434
TRIDENT INSURANCE COMPANY,500000,-,209311,-,1479454,25000,2213765,1480141,-,51217,266064,4011187,240660,1716399,18502,253549,17155,-,25000,-,-,6034,7985,-,-,1089786,-,10905,28160,468883,90259,14250,23662,4011187
UAP INSURANCE COMPANY LIMITED,600000,-,-,-,5336622,1849562,7786184,5803438,-,-,929537,14519159,-,3582700,84465,2715040,-,-,579190,231737,-,2273805,66450,-,-,993958,206927,688896,438314,1554482,339126,493341,270730,14519159
XPLICO INSURANCE COMPANY,407500,480000,19670,-,66056,-,973226,772460,-,-,303365,2049050,586500,19200,141010,80000,103000,25251,-,-,-,-,-,-,-,3260,-,301785,51426,501060,131887,93597,11074,2049050
TOTAL,27711557,1522192,4592460,-,47986010,4996985,86809204,92244938,-,1846445,19139297,200039885,4901989,34283766,2545660,43237641,464491,6946412,3720643,725752,-,13324182,3602912,497,-,3150386,1454859,30144269,4157106,29674399,4362343,7808080,5534498,200039885
AAR INSURANCE KENYA,400000,600523,-,-,-505792,-,494730,1856618,-,-,377578,2728926,-,-,28666,332491,-,-,-,-,-,-,-,-,-,-,-,1256771,84551,891158,112413,-,22875,2728926
AFRICAN MERCHANT ASSURANCE COMPANY,550000,-,-,-,421637,9863,981500,1447987,-,10798,220865,2661151,49797,497500,98890,212000,-,-,27309,-,-,15076,-,-,-,14757,-,1011721,90638,524239,8428,106010,4786,2661151
AIG INSURANCE COMPANY,450000,-,-50861,-,1248865,200000,1848004,1569446,-,-,637678,4055129,-,600000,76657,2163262,-,-,-,-,-,10641,-,-,-,51396,-,347379,333668,364427,-,107699,-,4055129
APA INSURANCE COMPANY,750000,-,54281,-,2879214,1057190,4740685,6921164,-,-,726263,12388112,-,943000,96025,3332467,-,474225,19141,278626,-,2593973,57941,-,-,118183,12857,2022474,53411,1835602,157217,321417,71555,12388112
BRITISH AMERICAN INSURANCE COMPANY,700000,-,-,-,1086744,251553,2038297,2982603,-,-,262611,5283511,-,-,134867,2029875,-,-,486592,-,-,201267,18705,-,-,-,-,735513,147416,908562,150607,124210,345898,5283511
CANNON ASSURANCE COMPANY,300000,-,274154,-,148997,-,723150,1347607,-,-,243145,2313903,87500,260000,15061,379657,-,30000,35289,-,-,487099,251842,-,-,6753,53021,76364,32335,318411,180564,25615,74390,2313903
CIC GENERAL INSURANCE COMPANY,1700000,-,-13128,-,2075499,25321,3787692,6660974,-,-,156512,10605178,200000,1320000,366076,1196066,413691,-,-,63385,-,279779,17667,-,-,344060,-,2486306,322324,2142328,966286,45668,441542,10605178
CONTINENTAL REINSURANCE,500000,-,1403,-,91474,-,592877,618866,-,-,193181,1404924,-,-,27984,170196,-,-,48166,20437,-,58495,-,-,-,3457,14597,306316,24464,526226,-,45651,158934,1404924
CORPORATE INSURANCE COMPANY,300000,-,-,-,505560,-,805560,341993,-,-,132096,1279649,-,675000,4797,104400,1237,-,-,-,-,3779,-,-,-,2000,-,213046,11789,226017,-,24128,13456,1279649
DIRECTLINE ASSURANCE COMPANY,300000,-,16536,-,408992,-,725528,3538601,-,-,55476,4319606,-,294000,88268,915977,-,-,-,388929,-,221997,-,-,-,-,-,1484752,629864,-,-,173063,122755,4319606
EAST AFRICA REINSURANCE COMPANY,700000,-,231693,-,1141326,12136,2085155,2445659,-,90476,758745,5380035,400000,735809,3661,461170,-,-,376482,-,-,109077,-,-,-,5157,34395,2082941,28574,603279,140197,37260,362034,5380035
FIDELITY SHIELD INSURANCE COMPANY,450000,-,80697,-,492459,45000,1068156,1084905,-,16616,230679,2400357,245589,795411,28699,195992,-,-,-,-,-,122079,-,-,-,9815,12875,332465,43470,519820,-,54236,39907,2400357
FIRST ASSURANCE COMPANY,450000,-,132308,-,1156101,-,1738409,2329373,-,-,550177,4617959,180000,1435000,22261,417878,-,52929,76792,-,-,62011,-,-,-,25099,-,1434789,45107,700559,6882,129144,29506,4617959
GA GENERAL INSURANCE COMPANY,450000,-,829766,-,890806,174251,2344823,3667534,-,-,1081006,7093363,1170000,1273290,33492,777845,-,308827,309350,-,-,256324,284921,-,-,292640,-,1087507,12218,779361,221555,40154,245877,7093363
GATEWAY INSURANCE COMPANY,313225,135,397465,-,299702,-,1010527,1072855,-,2624,164972,2250978,350000,1034000,24918,234500,-,-,15000,-,-,25755,84817,-,-,7650,-,124984,69231,207233,20487,46936,5468,2250978
GEMINIA INSURANCE COMPANY LIMITED,300000,-,326992,-,552169,177938,1357099,1450177,-,969,258202,3066447,19762,721000,33615,459000,-,-,24300,-,-,192691,5826,-,-,15342,-,1057325,54468,182734,38478,260482,1423,3066447
HERITAGE INSURANCE COMPANY,500000,-,-,-,1569588,-,2069588,2115387,-,-,863134,5048110,-,120000,112037,1263920,-,88369,263375,-,-,104018,-,-,-,80845,346681,1119423,252446,1115759,59850,85691,35697,5048110
ICEA LION GENERAL INSURANCE COMPANY,600000,-,451313,-,2233774,200000,3485087,3959945,-,479042,799503,8723577,-,2355000,179129,2955330,-,50147,282990,-,-,902456,7378,-,-,38994,-,250433,24273,1123467,13714,273153,267113,8723577
INTRA-AFRICA ASSURANCE COMPANY,300000,-,291872,-,137608,7500,736980,746059,-,-,30085,1513125,120800,270000,19087,230200,-,-,-,-,-,73047,-,-,-,9022,12733,197302,28762,433132,89002,24908,5130,1513125
INVESCO ASSURANCE COMPANY,1680000,-,1680,-,-1307019,-,374662,2646003,-,-,87567,3108232,78356,1178480,69546,182000,-,-,-,-,-,3753,-,-,-,-,-,245969,48756,282210,554138,-,465024,3108232
