,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets
ALLIANZ INSURANCE COMPANY,1000000,0,0,0,-289750,0,710250,196392,0,0,434284,1340926,0,0,55105,55834,0,0,0,0,0,0,0,0,0,0,0,200211,527153,160081,0,11458,331083,1340926
APA INSURANCE COMPANY ,1250000,0,0,0,3463395,189191,4902586,7850566,0,0,435963,13189115,0,1000000,82953,5768374,27687,627607,327354,0,0,1076106,5515,0,0,31350,76990,2015421,137714,1271007,110494,410485,220058,13189115
BRITAM GENERAL INSURANCE COMPANY,2668000,0,0,0,332938,0,3000938,5166045,0,0,2234952,10401934,41305,0,83123,4402507,0,0,402931,0,0,623975,13042,0,0,0,0,256678,1351998,1798583,0,809265,618528,10401934
CIC GENERAL INSURANCE COMPANY,1700000,0,0,0,2569662,-125443,4144219,6825646,0,0,376788,11346654,234000,1602000,175795,2249307,185819,0,160203,63041,0,509755,20950,0,0,0,107496,2380461,203932,2334618,140100,871386,107789,11346654
CONTINENTAL REINSURANCE ,800000,0,556,0,346008,0,1146564,1066391,0,0,152534,2365489,0,0,12915,950072,0,0,8727,0,0,0,0,0,0,9724,4447,129908,6417,743742,1583,272770,225184,2365489
CORPORATE INSURANCE COMPANY ,400000,0,0,0,520865,1092,921957,333584,0,6053,106161,1367755,0,832500,5146,113709,0,0,0,0,0,0,932,0,0,0,0,10027,3135,286880,13867,83931,17628,1367755
DIRECTLINE ASSURANCE COMPANY,300000,0,-107878,0,764099,0,956221,4374041,0,0,236608,5566870,397000,1692606,26013,830371,0,536006,0,0,0,108357,0,0,0,16671,0,1059780,467044,137256,0,236602,59165,5566870
EAST AFRICA REINSURANCE COMPANY ,1000000,0,299955,0,2251662,5011,3556629,2462057,0,119483,998995,7137163,510890,825000,9833,2257377,0,0,521353,0,0,29860,0,0,0,11787,59885,1178029,181943,1007074,75115,148081,320937,7137163
FIDELITY SHIELD INSURANCE COMPANY ,600000,0,106980,0,535852,0,1242832,1707272,0,0,109036,3059140,272117,1015883,13599,588539,0,0,0,0,0,109950,0,0,0,2318,7986,269157,131759,386042,0,183056,78734,3059140
FIRST ASSURANCE COMPANY ,660000,512139,256865,0,73997,0,1503001,2113895,0,0,1055845,4672741,355000,1450000,38848,1253518,0,0,29467,0,0,0,0,0,0,27307,0,291944,133277,679180,0,306508,107692,4672741
GA GENERAL INSURANCE COMPANY,700000,0,854966,0,2410783,275364,4241113,4755928,0,0,1461701,10458741,1170000,1554000,41514,3055485,0,356109,261885,0,0,428452,304015,0,0,218216,0,829751,157687,1579016,24675,102693,375244,10458741
GEMINIA INSURANCE COMPANY LIMITED,550000,0,617992,0,601455,77074,1846521,3469777,0,3700,375131,5695129,482530,1012000,208301,1096712,0,86571,24300,0,0,140688,7596,0,0,129510,0,1151747,145239,1078803,26193,97726,7211,5695129
GHANA RE-INSURANCE COMPANY LIMITED,1000000,10871,0,0,52705,0,1063576,171970,0,0,26250,1261796,31170,0,8026,917167,0,0,0,0,0,0,0,0,0,2085,0,43010,109832,101588,2439,27403,19076,1261796
HERITAGE INSURANCE COMPANY ,500000,0,0,0,2585765,0,3085765,3263758,0,0,1108458,7457982,0,0,69858,3133240,0,146557,98322,0,0,285196,0,0,0,37742,225142,2028023,227754,742281,46763,351971,65134,7457982
ICEA LION GENERAL INSURANCE COMPANY ,1000000,0,-25365,0,3247157,200000,4421792,4114307,0,423484,768755,9728338,0,2750000,88891,4427685,47615,50147,232922,0,0,845473,7403,0,0,20056,0,176772,8895,509260,121080,235853,206286,9728338
INTRA-AFRICA ASSURANCE COMPANY ,500000,0,348572,0,26526,0,875098,949681,0,49808,29483,1904071,134070,313430,27742,229233,0,0,0,0,0,57094,0,0,0,21671,12733,293921,93728,569348,90641,0,60460,1904071
INVESCO ASSURANCE COMPANY ,1925000,0,-129,0,-1603765,0,321106,2731099,0,0,231752,3283957,70711,1423480,34871,174000,0,0,0,0,0,1319,625,0,0,0,0,58664,46082,670978,276045,0,527182,3283957
JUBILEE INSURANCE COMPANY,2000000,0,-55799,0,5108199,0,7052400,4987825,0,0,1703858,13744083,0,0,62983,3833458,0,1949419,7159,0,0,1401117,624298,402,0,4315,45245,807621,362824,3140011,921563,327954,255713,13744083
KENINDIA ASSURANCE COMPANY ,400000,1198,375303,0,2234184,427860,3438545,2616779,0,310146,1743374,8108844,789724,1272538,58028,2718541,0,105612,52525,0,0,37832,624274,0,0,10562,0,586500,13082,580689,0,1216580,42357,8108844
KENYA ORIENT INSURANCE COMPANY ,810721,0,-30516,0,-235251,190000,734955,1109114,0,185397,89137,2118603,137891,358323,25875,151380,0,134000,5258,0,0,6920,366725,0,0,0,0,93835,71584,392178,13766,286668,74199,2118603
KENYA REINSURANCE CORPORATION,1249873,0,15718,0,22165652,221234,23652477,10126500,0,0,401631,34180609,0,8430000,68541,11991015,0,4661744,475912,0,0,1311577,202231,81,0,0,716550,920336,154455,3098428,305945,370504,1473289,34180609
MADISON GENERAL INSURANCE COMPANY,605000,0,0,0,719953,0,1324953,3013814,0,0,309637,4648404,0,1030000,49447,533372,11723,0,0,0,0,1518,0,0,0,0,0,1229303,124216,1012124,391800,62861,202041,4648404
MAYFAIR INSURANCE COMPANY ,1000000,0,435603,0,1265037,0,2700640,2079236,0,0,358878,5138754,265885,426088,88374,1039620,0,639665,52493,0,0,163902,647986,0,0,12606,0,1165633,17675,521596,0,92324,4908,5138754
METROPOLITAN CANNON INSURANCE,453960,583039,0,0,-179628,0,857372,1145056,0,0,334934,2337362,92500,264000,22127,899675,0,20376,16048,0,0,48748,65767,0,0,3185,32582,367908,41377,223423,161458,17979,60208,2337362
MUA INSURANCE COMPANY,300000,0,-9366,0,545461,0,836095,435803,0,0,140954,1412852,0,0,18238,516456,0,143807,0,0,0,44927,0,0,0,1827,0,173132,19488,369482,28604,49396,47495,1412852
OCCIDENTAL INSURANCE COMPANY ,693000,0,-18797,0,588633,58004,1320839,1961017,0,6463,277216,3565535,0,540000,79477,1376751,0,0,10963,0,0,176677,825,0,0,0,0,112781,111093,983712,33344,11600,128314,3565535
PACIS INSURANCE COMPANY ,577560,5712,0,0,450127,30000,1063399,802626,0,0,323103,2189128,113850,730000,33193,240700,0,0,0,0,0,40975,113089,0,0,0,0,129215,12474,648091,0,52916,74625,2189128
PIONEER GENERAL INSURANCE ,600000,0,0,0,-5516,0,594484,394675,0,0,209625,1198784,0,0,7635,69376,0,0,0,0,0,0,0,0,0,753,0,724749,20395,219061,88354,13974,54486,1198784
AAR INSURANCE KENYA ,400000,600523,0,0,-344837,0,655686,2627879,0,0,303761,3587325,0,0,110081,1258329,0,0,107633,0,0,0,0,0,0,0,0,792967,33681,610225,206830,252245,215334,3587325
AFRICAN MERCHANT ASSURANCE COMPANY ,987386,0,0,0,506236,20852,1514474,2098941,0,0,260911,3874326,732676,530000,137119,502551,0,0,11012,0,0,26065,0,0,0,12463,0,617741,98007,843150,43958,180007,139577,3874326
AIG INSURANCE COMPANY ,450000,0,-2732,0,1332637,300000,2079905,1026522,0,0,1615395,4721822,0,510000,52849,2995295,0,0,0,0,0,0,0,0,0,9929,0,1101,92189,644915,143293,271277,974,4721822
ALLIANZ INSURANCE COMPANY,1000000,0,0,0,-154663,0,845337,127563,0,0,212282,1185182,0,0,66405,677842,0,0,0,0,0,0,0,0,0,0,0,51210,81378,104691,0,128412,75245,1185182
APA INSURANCE COMPANY ,1250000,0,0,0,4277802,474787,6002589,7647234,0,0,529845,14179668,0,1313000,98466,7332330,25516,618675,361573,0,0,1175915,21086,0,0,53231,77775,633241,219764,1669207,64979,303212,211698,14179668
BRITAM GENERAL INSURANCE COMPANY,2668000,0,0,0,716566,0,3384566,5777555,0,0,1434587,10596709,41425,0,110397,4739779,0,0,462139,0,0,636641,21567,0,0,0,0,463465,1311858,1109422,0,837475,862540,10596709
CANNON ASSURANCE COMPANY ,453960,396040,0,0,-265937,0,584063,1296943,0,0,534080,2415087,90000,276000,30532,817261,0,20883,26836,0,0,207345,241493,0,0,5951,33089,150374,32348,205552,139634,36087,101700,2415087
CIC GENERAL INSURANCE COMPANY,1700000,0,0,0,2469456,-173813,3995643,6890013,0,0,573147,11458803,234000,1588000,218521,2738823,269668,0,235150,40577,0,578556,23124,0,0,94764,162381,1873853,132463,2139829,136259,948775,44061,11458803
CONTINENTAL REINSURANCE ,800000,0,-101,0,256273,0,1056172,799616,0,0,104188,1959976,0,0,20373,611651,0,0,18068,0,0,601,0,0,0,10997,5355,315763,2919,596072,0,378178,0,1959976
CORPORATE INSURANCE COMPANY ,400000,0,0,0,547938,0,947938,313713,0,0,110158,1371809,0,813500,3958,129508,0,0,0,0,0,1626,1151,0,0,2966,0,18956,7911,285606,5414,83931,17283,1371809
DIRECTLINE ASSURANCE COMPANY ,300000,0,-84287,0,851153,0,1066865,4395967,0,619390,96657,6178880,397000,1332000,16594,800175,0,9667,0,0,0,132948,0,0,0,16583,0,405429,1162386,0,0,1836707,69391,6178880
EAST AFRICA REINSURANCE COMPANY ,1000000,0,312344,0,1650744,106624,3069711,2569662,0,134494,1026043,6799910,540000,800000,6684,2186446,0,0,533574,0,0,93461,0,0,0,6758,39640,1022861,65191,804256,206923,107287,386830,6799910
FIDELITY SHIELD INSURANCE COMPANY ,600000,0,109028,0,478844,0,1187872,1779878,0,0,131155,3098905,275117,1126883,23141,418781,0,0,0,0,0,120404,0,0,0,4195,12823,282356,122072,506569,0,121045,85520,3098905
FIRST ASSURANCE COMPANY ,660000,512139,249165,0,462393,0,1883697,1861705,0,0,922314,4667716,345000,1410000,46215,1337861,0,0,46278,0,0,14054,0,0,0,22217,0,245713,54135,797835,0,242328,106079,4667716
GA GENERAL INSURANCE COMPANY,700000,0,829766,0,1846564,243536,3619866,4565549,0,2134,1454643,9642192,1143000,1390757,31902,2702735,0,356109,291937,10000,0,495883,261880,0,0,213605,0,718747,217353,1373391,10183,85141,339571,9642192
GEMINIA INSURANCE COMPANY LIMITED,550000,0,578992,0,643461,136608,1909060,2864807,0,2292,262702,5038861,18929,973000,44560,890200,0,86571,24300,0,0,170698,7371,0,0,159437,0,968859,137112,920438,19043,609729,8616,5038861
HERITAGE INSURANCE COMPANY ,500000,0,0,0,2601771,0,3101771,2965959,0,0,1236078,7303808,0,0,87780,3279797,0,146557,175124,0,0,334696,0,0,0,51200,264746,742381,311870,1303112,82361,473282,50901,7303808
ICEA LION GENERAL INSURANCE COMPANY ,1000000,0,365035,0,2748505,150000,4263540,4426201,0,484447,1052253,10226441,0,2730000,130202,4642316,44700,50147,259896,0,0,917454,12248,0,0,20252,0,210452,13108,710342,120961,136546,227816,10226441
INTRA-AFRICA ASSURANCE COMPANY ,400000,0,339072,0,110617,10000,859689,864618,0,61448,75507,1861263,136800,301200,19285,238135,0,0,0,0,0,66994,0,0,0,20855,12733,248746,18745,658905,99722,0,39142,1861263
INVESCO ASSURANCE COMPANY ,1925000,0,345,0,-1510511,0,414834,2515948,0,200000,221859,3352641,72622,1423480,48980,177000,0,0,0,0,0,1793,625,0,0,0,0,88394,353446,412882,275502,0,497916,3352641
JUBILEE INSURANCE COMPANY,2000000,0,204160,0,4116230,1000000,7320390,5379682,0,0,387354,13087425,0,0,65425,3301863,0,1839745,14318,0,0,1846042,597240,432,0,5312,77765,914223,478281,3028585,505891,101247,311057,13087425
KENINDIA ASSURANCE COMPANY ,400000,1198,307534,0,2045252,387375,3141359,2457186,0,216401,2001500,7816446,746963,1203915,68590,2496457,0,81905,52780,46283,0,58347,547506,0,0,10186,0,663450,14328,479231,0,1295992,50513,7816446
KENYA ORIENT INSURANCE COMPANY ,810721,0,55679,0,-144987,50000,771413,1496449,0,94040,100066,2461968,141500,533823,38781,149024,0,170000,5254,0,0,8338,646137,0,0,0,0,57854,10675,313012,41708,217698,128163,2461968
KENYA REINSURANCE CORPORATION,1749873,0,15317,0,21008791,667309,23441290,10100726,0,0,334718,33876734,23000,8031800,56962,12388785,0,4587101,482696,0,0,1798691,202231,89,0,0,658423,212723,148448,3759717,292356,-287121,1520832,33876734
MADISON INSURANCE COMPANY,300000,0,0,0,824887,0,1124887,2660815,0,0,195164,3980866,0,898000,56286,653013,0,0,16588,0,0,1969,363359,0,0,0,0,476219,36663,1013031,220384,24071,221284,3980866
MAYFAIR INSURANCE COMPANY ,750000,0,429564,0,905425,150000,2234989,1933666,0,0,366033,4534689,226761,460458,76135,730458,0,454875,98895,0,0,197161,608280,0,0,14065,0,1062042,14572,473263,0,106573,11150,4534689
OCCIDENTAL INSURANCE COMPANY ,693000,0,15124,0,401758,12474,1122356,1933366,0,11782,299490,3366994,0,531000,46144,1201394,0,0,14675,0,0,131380,100825,0,0,0,0,135022,52747,952256,27994,41968,131589,3366994
PACIS INSURANCE COMPANY ,534605,17712,0,0,408138,-477,959977,1120376,0,0,232757,2313109,113850,730000,29475,224955,0,0,0,0,0,19545,65221,0,0,0,0,111720,19300,864717,0,61010,73315,2313109
PHOENIX OF EAST AFRICA ASSURANCE ,300000,0,2532,0,695447,0,997979,413139,0,0,115996,1527113,0,0,22375,576849,0,143807,0,0,0,3591,0,0,0,2158,0,81570,25542,382533,58735,190727,39226,1527113
PIONEER GENERAL INSURANCE ,600000,0,0,0,3143,0,603143,203240,0,0,239972,1046355,0,0,3367,38008,0,0,0,0,0,0,0,0,0,1159,0,723506,38762,181761,23213,381,36198,1046355
RESOLUTION  INSURANCE COMPANY,410000,990000,-2040,0,-1712351,0,-314391,1644457,0,0,2041777,3371844,0,0,139383,254081,0,0,0,0,0,0,0,0,0,0,0,352306,67209,800076,821407,650385,286998,3371844
