,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                               ,years, Amounts in thousand Shillings                                                                                                                                                                                              ,Ordinary Shares UnQuoted,Amounts in thousand Shillings
EAST AFRICA REINSURANCE COMPANY ,1000000.0,0.0,243434.0,0.0,2998910.0,1577.0,4243921.0,2544475.0,0.0,113775.0,979656.0,7881826.0,440000.0,760000.0,6593.0,3050859.0,0.0,0.0,208239.0,0.0,0.0,34256.0,0.0,0.0,0.0,9831.0,41853.0,1646126.0,241846.0,435277.0,632751.0,19534.0,354661.0,7881826.0,,2020,,,
FIDELITY SHIELD INSURANCE COMPANY ,600000.0,0.0,97370.0,0.0,419717.0,0.0,1117087.0,1751383.0,0.0,0.0,112358.0,2980829.0,235350.0,1015883.0,5212.0,887458.0,0.0,0.0,0.0,0.0,0.0,34281.0,0.0,0.0,0.0,0.0,5654.0,250784.0,71223.0,132609.0,0.0,296982.0,45391.0,2980829.0,,2020,,,
FIRST ASSURANCE COMPANY ,810000.0,512139.0,260218.0,0.0,107398.0,0.0,1689754.0,2147420.0,0.0,0.0,890749.0,4727924.0,436500.0,1450000.0,23744.0,530598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13678.0,0.0,1070073.0,84758.0,783311.0,0.0,196490.0,138772.0,4727924.0,,2020,,,
GA GENERAL INSURANCE COMPANY,1000000.0,0.0,881066.0,0.0,3227407.0,402595.0,5511069.0,5351273.0,0.0,6442.0,2114992.0,12983775.0,1170000.0,1663500.0,40340.0,4479634.0,0.0,566621.0,29147.0,0.0,0.0,374074.0,392053.0,0.0,0.0,221234.0,0.0,952244.0,140480.0,2337220.0,7065.0,155048.0,455115.0,12983775.0,,2020,,,
GEMINIA INSURANCE COMPANY LIMITED,606250.0,0.0,0.0,0.0,1478822.0,152820.0,2237892.0,3770509.0,0.0,0.0,735529.0,6743929.0,380000.0,1020000.0,224779.0,849902.0,0.0,86571.0,0.0,0.0,0.0,141935.0,7612.0,0.0,0.0,102649.0,0.0,1427951.0,56783.0,1709143.0,170662.0,178216.0,387727.0,6743929.0,,2020,,,
GHANA REINSURANCE COMPANY LIMITED,1000000.0,10871.0,0.0,0.0,266354.0,0.0,1277226.0,557313.0,0.0,0.0,138268.0,1972807.0,30406.0,0.0,5956.0,1057066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,143828.0,26852.0,603552.0,14492.0,30866.0,59217.0,1972807.0,,2020,,,
HERITAGE INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,2941472.0,0.0,3941472.0,3526145.0,0.0,0.0,1122772.0,8590389.0,0.0,0.0,91469.0,4940917.0,0.0,146557.0,0.0,0.0,0.0,6768.0,0.0,0.0,0.0,43618.0,206228.0,1897286.0,58665.0,570709.0,15012.0,528925.0,84235.0,8590389.0,,2020,,,
ICEA LION GENERAL INSURANCE COMPANY ,1000000.0,0.0,-21272.0,0.0,4292426.0,150000.0,5421154.0,3937037.0,0.0,258324.0,1368768.0,10985283.0,0.0,2710000.0,64322.0,5237802.0,93773.0,50147.0,96318.0,0.0,0.0,904976.0,6654.0,0.0,0.0,30939.0,0.0,333123.0,56445.0,649556.0,92031.0,426256.0,232942.0,10985283.0,,2020,,,
INTRA-AFRICA ASSURANCE COMPANY ,600000,0,357572,0,39966,10000,1007538,934125,0,0,41304,1982967,0,465300,59710,314518,0,0,0,0,0,51874,0,0,0,78635,2733,333999,40124,547389,21365,0,67318,1982967,Continued next page,2020,,,
INVESCO ASSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020,,,
JUBILEE GENERAL INSURANCE,2307000.0,0.0,0.0,0.0,-99797.0,0.0,2207203.0,3240245.0,0.0,0.0,362547.0,5809995.0,0.0,0.0,26186.0,3179692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80829.0,194390.0,1474937.0,360652.0,354620.0,138690.0,5809995.0,,2020,,,
JUBILEE HEALTH INSURANCE,2763720.0,0.0,0.0,0.0,748293.0,-180226.0,3331787.0,3247355.0,0.0,0.0,486252.0,7065394.0,0.0,0.0,19441.0,1762136.0,0.0,1427232.0,0.0,0.0,0.0,190802.0,703814.0,402.0,0.0,0.0,34396.0,712226.0,1023043.0,513083.0,346526.0,168003.0,164289.0,7065394.0,,2020,,,
KENINDIA ASSURANCE COMPANY ,600000.0,1198.0,600535.0,0.0,1611113.0,454209.0,3267055.0,3408628.0,0.0,333755.0,879481.0,7888919.0,790777.0,1273079.0,54613.0,3213879.0,0.0,105612.0,52555.0,0.0,0.0,28859.0,861931.0,0.0,0.0,16850.0,0.0,177214.0,85087.0,309249.0,0.0,897889.0,21325.0,7888919.0,,2020,,,
KENYA ORIENT INSURANCE COMPANY ,810721.0,0.0,-36097.0,0.0,-1253974.0,1499217.0,1019867.0,1608952.0,0.0,0.0,609840.0,3238660.0,104543.0,989500.0,12914.0,152371.0,0.0,184000.0,0.0,0.0,0.0,10676.0,465642.0,0.0,0.0,0.0,0.0,64705.0,65781.0,735291.0,60633.0,264790.0,127814.0,3238660.0,,2020,,,
KENYA REINSURANCE CORPORATION,6499491.0,0.0,20468.0,0.0,20742371.0,165027.0,27427357.0,11238963.0,0.0,0.0,742942.0,39409262.0,0.0,10460225.0,59150.0,12642882.0,0.0,8182971.0,0.0,0.0,0.0,900830.0,209674.0,81.0,0.0,0.0,765636.0,2391827.0,131457.0,2249511.0,465515.0,206801.0,742702.0,39409262.0,,2020,,,
MADISON GENERAL INSURANCE COMPANY,605000.0,0.0,0.0,0.0,598051.0,0.0,1203051.0,2930686.0,0.0,0.0,334387.0,4468124.0,0.0,653000.0,31468.0,1329158.0,22.0,0.0,0.0,0.0,0.0,7018.0,513455.0,0.0,0.0,0.0,0.0,169018.0,95654.0,786372.0,521959.0,165791.0,195208.0,4468124.0,,2020,,,
MAYFAIR INSURANCE COMPANY ,1500000.0,0.0,543473.0,0.0,1193417.0,0.0,3236890.0,2641769.0,0.0,0.0,532277.0,6410936.0,265885.0,426088.0,94853.0,1912145.0,0.0,720243.0,0.0,0.0,0.0,129021.0,765912.0,0.0,0.0,15908.0,0.0,1292678.0,59832.0,541035.0,0.0,169612.0,17726.0,6410936.0,,2020,,,
METROPOLITAN CANNON INSURANCE,453960.0,583040.0,0.0,0.0,-74101.0,0.0,962899.0,1105040.0,0.0,0.0,340174.0,2408113.0,92500.0,124000.0,15839.0,1149540.0,0.0,13217.0,0.0,0.0,0.0,0.0,9742.0,0.0,0.0,0.0,23163.0,529006.0,35059.0,148777.0,156172.0,39741.0,71357.0,2408113.0,,2020,,,
MUA INSURANCE COMPANY,300000.0,0.0,11960.0,0.0,358075.0,0.0,670034.0,440624.0,0.0,1215361.0,299884.0,2625903.0,0.0,0.0,7873.0,458575.0,0.0,1458468.0,0.0,0.0,0.0,66253.0,0.0,0.0,0.0,111598.0,0.0,32633.0,27945.0,330293.0,16384.0,69241.0,46640.0,2625903.0,,2020,,,
OCCIDENTAL INSURANCE COMPANY ,693000,0,24701,0,649477,0,1367178,2037138,0,0,666013,4070329,0,410000,66499,1838911,0,0,7256,0,0,248163,0,0,0,0,0,193358,94546,753110,48788,278489,131209,4070329,,2020, Continued next page,,
PACIS INSURANCE COMPANY ,650669.0,5712.0,0.0,0.0,240601.0,0.0,896982.0,1284262.0,0.0,0.0,426329.0,2607573.0,54668.0,787474.0,32136.0,248029.0,0.0,0.0,0.0,0.0,0.0,27202.0,0.0,0.0,0.0,0.0,0.0,68108.0,293.0,872280.0,212849.0,235138.0,69396.0,2607573.0,,2020,,,
PIONEER GENERAL INSURANCE ,600000.0,0.0,0.0,0.0,7472.0,100000.0,707472.0,613923.0,0.0,0.0,90292.0,1411687.0,0.0,380000.0,13112.0,188311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,257823.0,173141.0,258699.0,32923.0,43442.0,63639.0,1411687.0,,2020,,,
RESOLUTION  INSURANCE COMPANY,410000.0,1490000.0,13447.0,0.0,-2189341.0,0.0,-275895.0,1511242.0,0.0,0.0,3389318.0,4624666.0,0.0,0.0,70702.0,267612.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,604718.0,329767.0,763189.0,1460180.0,834664.0,293833.0,4624666.0,,2020,,0.0,
SAHAM INSURANCE COMPANY,402000.0,0.0,-18287.0,0.0,379619.0,0.0,763332.0,946170.0,0.0,109171.0,143858.0,1962531.0,0.0,0.0,5334.0,625965.0,0.0,0.0,36642.0,0.0,0.0,18440.0,,0.0,0.0,101869.0,0.0,639523.0,50707.0,259529.0,76.0,166258.0,58188.0,1962531.0,,2020,,0.0,
SANLAM INSURANCE COMPANY,1028998.0,100361.0,0.0,0.0,52910.0,0.0,1182269.0,1986457.0,0.0,0.0,365288.0,3534014.0,0.0,70000.0,77748.0,1524440.0,0.0,0.0,0.0,0.0,0.0,0.0,,547.0,0.0,312.0,0.0,186556.0,446345.0,767243.0,2780.0,254725.0,203317.0,3534014.0,,2020,,0.0,
TAKAFUL INSURANCE OF AFRICA ,636804.0,66601.0,25539.0,18171.0,-155580.0,9000.0,600535.0,978869.0,0.0,30000.0,601059.0,2210463.0,0.0,32228.0,40425.0,11579.0,39503.0,0.0,49323.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,468498.0,190197.0,173699.0,0.0,1162967.0,42045.0,2210463.0,,2020,,0.0,
TAUSI ASSURANCE COMPANY,600000.0,0.0,182091.0,0.0,1170412.0,8306.0,1960809.0,743372.0,0.0,66927.0,100423.0,2871530.0,311733.0,0.0,25708.0,1674372.0,0.0,0.0,0.0,0.0,0.0,179969.0,,0.0,0.0,3039.0,65224.0,363084.0,47080.0,82770.0,0.0,46482.0,65721.0,2871530.0,,2020,,6349.0,
THE KENYAN ALLIANCE INSURANCE COMPANY,600000.0,0.0,0.0,2750.0,666332.0,-5037.0,1264045.0,1807512.0,0.0,278332.0,87706.0,3437595.0,0.0,1065349.0,57260.0,332364.0,0.0,0.0,0.0,0.0,0.0,12553.0,,0.0,0.0,91114.0,0.0,97263.0,164317.0,741667.0,387677.0,351694.0,100908.0,3437595.0,,2020,,35430.0,
THE MONARCH INSURANCE COMPANY,497024.0,0.0,0.0,0.0,266537.0,0.0,763561.0,1531438.0,0.0,0.0,129410.0,2424408.0,0.0,753226.0,60389.0,113519.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,198067.0,49890.0,978596.0,0.0,188228.0,82434.0,2424408.0,,2020,,59.0,
TRIDENT INSURANCE COMPANY ,500000.0,0.0,184223.0,0.0,1035508.0,25000.0,1744731.0,1901907.0,0.0,21685.0,587494.0,4255817.0,240660.0,1717344.0,10600.0,243050.0,0.0,615600.0,0.0,0.0,0.0,4828.0,,0.0,0.0,710863.0,0.0,0.0,25552.0,70287.0,31888.0,526986.0,29817.0,4255817.0,,2020,,28342.0,
UAP INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,4678192.0,1000000.0,6678192.0,6819807.0,0.0,0.0,1825881.0,15323880.0,0.0,3482700.0,126186.0,4790634.0,0.0,0.0,0.0,0.0,0.0,1041518.0,,0.0,0.0,165783.0,250661.0,2442752.0,399522.0,1114156.0,229691.0,863756.0,316339.0,15323880.0,,2020,,100184.0,
WAICA REINSURANCE KENYA LIMITED,1102550.0,0.0,0.0,0.0,42162.0,0.0,1144712.0,281485.0,0.0,0.0,234164.0,1660361.0,0.0,0.0,13229.0,251457.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,972992.0,39098.0,220059.0,34030.0,36663.0,92832.0,1660361.0,,2020,,0.0,
XPLICO INSURANCE COMPANY ,887500.0,0.0,0.0,0.0,21515.0,220000.0,1129015.0,1910457.0,0.0,0.0,256973.0,3296446.0,0.0,892200.0,73441.0,143000.0,43453.0,245251.0,0.0,0.0,0.0,0.0,,0.0,0.0,20034.0,0.0,214108.0,129453.0,947060.0,292943.0,235651.0,59853.0,3296446.0,,2020,,0.0,
TOTAL,43810364.0,3430445.0,3297696.0,20921.0,53793532.0,5110232.0,109463189.0,112949608.0,0.0,2433772.0,28183285.0,253029854.0,5507948.0,38364153.0,2117700.0,85685314.0,859597.0,14552241.0,611118.0,0.0,0.0,5567319.0,,1030.0,0.0,3310623.0,1521925.0,26327988.0,6529594.0,31179152.0,6400986.0,13658000.0,6699474.0,253029854.0,,2020,,4135694.0,
Unnamed: 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,
Insurers,,3419574.0,3032896.0,20921.0,29220087.0,4943628.0,73845427.0,96492606.0,0.0,2319997.0,25994831.0,198652863.0,5037542.0,27143928.0,2026108.0,67642319.0,859597.0,6369270.0,402879.0,0.0,0.0,4632233.0,,949.0,0.0,3295823.0,712218.0,20783943.0,6072804.0,26538654.0,5254198.0,12504318.0,5450062.0,198652863.0,,2020,,3926020.0,
Reinsurers,,10871.0,264800.0,0.0,24573445.0,166604.0,35617762.0,16457002.0,0.0,113775.0,2188454.0,54376991.0,470406.0,11220225.0,91592.0,18042995.0,0.0,8182971.0,208239.0,0.0,0.0,935086.0,,81.0,0.0,14800.0,809707.0,5544045.0,456790.0,4640498.0,1146788.0,1153682.0,1249412.0,54376991.0,,2020,,209674.0,
AAR INSURANCE KENYA ,500000.0,660523.0,0.0,0.0,-88725.0,0.0,1071797.0,2014487.0,0.0,0.0,942026.0,4028310.0,0.0,0.0,81154.0,931673.0,0.0,0.0,106067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324303.0,423772.0,264786.0,615597.0,122164.0,158795.0,4028310.0,,2019,,,
AFRICAN MERCHANT ASSURANCE ,987386.0,0.0,15885.0,0.0,469618.0,0.0,1472889.0,1429616.0,0.0,0.0,502389.0,3404894.0,725694.0,535000.0,107865.0,511184.0,0.0,0.0,0.0,0.0,0.0,2227.0,0.0,0.0,0.0,7889.0,0.0,290445.0,29070.0,867589.0,16372.0,267717.0,43842.0,3404894.0,,2019,,,
AIG INSURANCE COMPANY ,450000.0,0.0,-40521.0,0.0,1525366.0,150000.0,2084844.0,1023872.0,0.0,0.0,2089037.0,5197753.0,0.0,0.0,139590.0,3794350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11321.0,0.0,2057.0,225608.0,662275.0,34380.0,318892.0,9282.0,5197753.0,,2019,,,
ALLIANZ INSURANCE COMPANY,1340290.0,0.0,0.0,0.0,-337942.0,0.0,1002348.0,328335.0,0.0,0.0,702802.0,2033485.0,0.0,0.0,44603.0,912050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268011.0,146853.0,56610.0,196573.0,35937.0,372850.0,2033485.0,,2019,,,
APA INSURANCE COMPANY ,1250000.0,0.0,0.0,0.0,2933625.0,894224.0,5077849.0,7537515.0,0.0,0.0,835385.0,13450749.0,0.0,1020000.0,76802.0,6351757.0,30197.0,662479.0,223731.0,0.0,0.0,1391929.0,11882.0,0.0,0.0,41003.0,76850.0,1319255.0,74839.0,996425.0,48633.0,806903.0,318065.0,13450749.0,,2019,,,
BRITAM GENERAL INSURANCE COMPANY,2668000.0,0.0,0.0,0.0,47539.0,0.0,2715539.0,5761604.0,0.0,0.0,1853074.0,10330217.0,0.0,0.0,98292.0,5435467.0,0.0,0.0,170738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761801.0,347989.0,996299.0,11.0,926477.0,593143.0,10330217.0,,2019,,,
CIC GENERAL INSURANCE COMPANY,1700000.0,0.0,0.0,0.0,2619773.0,-96301.0,4223471.0,7298551.0,0.0,0.0,539634.0,12061657.0,234000.0,1602000.0,118227.0,2458715.0,185670.0,0.0,96945.0,66412.0,0.0,500780.0,20236.0,0.0,0.0,700000.0,60521.0,1605152.0,536184.0,2397696.0,425713.0,947557.0,105849.0,12061657.0,,2019,,,
CONTINENTAL REINSURANCE ,800000,0,1012,0,511169,0,1312180,1754822,0,0,98153,3165155,0,0,13511,1052974,0,0,0,0,0,0,0,0,0,5319,2991,172313,18274,844000,0,621667,434105,3165155,Continued next page,2019,,,
CORPORATE INSURANCE COMPANY ,400000.0,0.0,0.0,0.0,313690.0,0.0,713690.0,699863.0,0.0,0.0,83460.0,1497014.0,0.0,727523.0,5272.0,107698.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,0.0,0.0,0.0,0.0,3088.0,11331.0,408155.0,27444.0,161504.0,44211.0,1497014.0,,2019,,,
DIRECTLINE ASSURANCE COMPANY,300000.0,0.0,-118035.0,0.0,375315.0,0.0,557279.0,4401519.0,0.0,0.0,598869.0,5557667.0,380500.0,781516.0,26692.0,811933.0,0.0,516612.0,0.0,0.0,0.0,109471.0,0.0,0.0,0.0,729482.0,0.0,408490.0,142951.0,170753.0,0.0,1414517.0,64751.0,5557667.0,,2019,,,
EAST AFRICA REINSURANCE COMPANY ,1000000.0,0.0,281068.0,0.0,2794949.0,3950.0,4079967.0,2684286.0,0.0,124674.0,1070453.0,7959381.0,480407.0,800000.0,9179.0,2245671.0,0.0,0.0,192805.0,0.0,0.0,45335.0,0.0,0.0,0.0,13575.0,75819.0,1863533.0,243512.0,389073.0,928054.0,265267.0,407152.0,7959381.0,,2019,,,
FIDELITY SHIELD INSURANCE COMPANY ,600000.0,0.0,106980.0,0.0,459803.0,0.0,1166783.0,1780852.0,0.0,0.0,156979.0,3104614.0,272117.0,1015883.0,6590.0,893196.0,0.0,0.0,0.0,0.0,0.0,52063.0,0.0,0.0,0.0,19.0,6583.0,233184.0,108888.0,257734.0,0.0,194225.0,64132.0,3104614.0,,2019,,,
FIRST ASSURANCE COMPANY ,810000.0,512139.0,256865.0,0.0,94377.0,0.0,1673380.0,1976771.0,0.0,0.0,1126321.0,4776472.0,439000.0,1450000.0,32298.0,1141673.0,0.0,0.0,20785.0,0.0,0.0,0.0,0.0,0.0,0.0,21896.0,0.0,447393.0,110445.0,672084.0,0.0,341412.0,99486.0,4776472.0,,2019,,,
GA GENERAL INSURANCE COMPANY,700000.0,0.0,872516.0,0.0,3052614.0,377479.0,5002609.0,4850612.0,0.0,5561.0,1671379.0,11530161.0,1170000.0,1663413.0,48239.0,3923483.0,0.0,566621.0,43353.0,0.0,0.0,439970.0,364931.0,0.0,0.0,244802.0,0.0,762507.0,121800.0,1637892.0,18228.0,129816.0,395105.0,11530161.0,,2019,,,
GEMINIA INSURANCE COMPANY LIMITED,550000.0,0.0,0.0,0.0,1456194.0,220193.0,2226387.0,3556255.0,0.0,0.0,457942.0,6240584.0,380000.0,1009000.0,250369.0,889003.0,0.0,86571.0,0.0,0.0,0.0,174054.0,7647.0,0.0,0.0,141989.0,0.0,1321736.0,232358.0,1191557.0,0.0,161946.0,394354.0,6240584.0,,2019,,,
GHANA REINSURANCE COMPANY LIMITED,1000000.0,10871.0,0.0,0.0,121459.0,0.0,1132330.0,298338.0,0.0,0.0,75648.0,1506317.0,30789.0,0.0,7320.0,987453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,89258.0,29605.0,301760.0,0.0,21123.0,37658.0,1506317.0,,2019,,,
HERITAGE INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,2471899.0,0.0,3471899.0,3473159.0,0.0,0.0,930633.0,7875691.0,0.0,0.0,61991.0,4429968.0,0.0,146557.0,28693.0,0.0,0.0,11304.0,0.0,0.0,0.0,40397.0,216203.0,1161266.0,490459.0,616706.0,6688.0,561545.0,103915.0,7875691.0,,2019,,,
ICEA LION GENERAL INSURANCE COMPANY ,1000000.0,0.0,-13216.0,0.0,3819538.0,150000.0,4956322.0,4125019.0,0.0,306019.0,1536148.0,10923507.0,0.0,2765000.0,69778.0,4832722.0,50510.0,50147.0,156832.0,0.0,0.0,1004468.0,7568.0,0.0,0.0,26775.0,0.0,335800.0,21779.0,655041.0,94909.0,605576.0,246602.0,10923507.0,,2019,,,
INTRA-AFRICA ASSURANCE COMPANY ,500000,0,357572,0,81256,0,938828,1021290,0,65677,57889,2083684,134775,321725,25818,336855,0,0,0,0,0,58156,0,0,0,30141,12733,302429,44606,613438,90368,0,112642,2083684,Continued next page,2019,,,
INVESCO ASSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019,,,
JUBILEE GENERAL INSURANCE,2307000.0,0.0,0.0,0.0,0.0,0.0,2307000.0,3693179.0,0.0,0.0,505013.0,6505191.0,0.0,0.0,25735.0,2463793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446956.0,1260404.0,1971898.0,-94414.0,212883.0,217937.0,6505191.0,,2019,,,
JUBILEE HEALTH INSURANCE,2763720.0,0.0,0.0,0.0,0.0,0.0,2763720.0,2403928.0,0.0,0.0,482683.0,5650330.0,0.0,0.0,25913.0,957323.0,0.0,1407975.0,0.0,0.0,0.0,466792.0,696556.0,402.0,0.0,0.0,36923.0,56645.0,448495.0,797808.0,214279.0,447263.0,93956.0,5650330.0,,2019,,,
KENINDIA ASSURANCE COMPANY ,400000.0,1198.0,376628.0,0.0,1846602.0,427860.0,3052288.0,3052903.0,0.0,310714.0,1460216.0,7876121.0,790571.0,1272800.0,62360.0,2752720.0,0.0,105612.0,52799.0,0.0,0.0,41393.0,624274.0,0.0,0.0,13030.0,0.0,359659.0,84323.0,344121.0,0.0,1342809.0,29650.0,7876121.0,,2019,,,
KENYA ORIENT INSURANCE COMPANY ,810721.0,0.0,-79171.0,0.0,-1065981.0,382000.0,47569.0,1415877.0,0.0,203668.0,598127.0,2265242.0,108000.0,194500.0,16833.0,153297.0,0.0,134000.0,0.0,0.0,0.0,9819.0,332029.0,0.0,0.0,0.0,0.0,41605.0,81423.0,631791.0,75373.0,402810.0,83762.0,2265242.0,,2019,,,
KENYA REINSURANCE CORPORATION,6499491.0,0.0,17530.0,0.0,19011449.0,208339.0,25736809.0,11116138.0,0.0,0.0,840485.0,37693433.0,0.0,10330225.0,66794.0,13069364.0,0.0,5633316.0,156450.0,0.0,0.0,1218978.0,205733.0,81.0,0.0,0.0,668076.0,1231788.0,346207.0,1951838.0,602478.0,746512.0,1465592.0,37693433.0,,2019,,,
